npi,basic_organization_name,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number
1265535942,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2015-09-10,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,118 W MAIN ST,"",LIBERTY,SC,296571141,864-843-2726,
1265819205,KARMA HEALTHCARE LLC,NO,2015-04-29,2018-07-19,A,,SURYAKANT,PATEL,864-761-4566,OWNER,KARMA HEALTHCARE LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,301 W CHEROKEE ST STE B,"",BLACKSBURG,SC,297021558,864-761-4566,864-761-0003
1265953251,RPVR CORPORATION,YES,2017-06-29,2017-06-29,A,,BHAVESH,PATEL,864-416-4927,OWNER,RPVR CORPORATION,<UNAVAIL>,RPVR CORPORATION,,,,,,,,,,,,US,United States,LOCATION,DOM,100D FLEMING ST,"",LAURENS,SC,293601902,864-416-4927,864-416-4928
1265957047,WALGREEN CO,YES,2017-08-14,2019-02-25,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,501 N HARPER ST,"",LAURENS,SC,293602337,864-984-3026,864-984-9257
1275025942,PREFERRED PHARMACY LLC,NO,2018-05-30,2019-04-26,A,PHARMD,JEREMY,SIMMONS,843-729-5583,OWNER,PREFERRED PHARMACY LLC,,,MICHAEL,,,,,,,,,,,US,United States,LOCATION,DOM,101 COMMERCE PL W STE H,"",OKATIE,SC,299094678,843-227-3501,843-705-4444
1275030645,LONGS DRUGSTORES OF SC INC,NO,2018-04-11,2018-06-27,A,,ASHLEY,ELLIS,704-641-7967,CORPORATE COUNSEL/AO,LONGS DRUGSTORES OF SC INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,455 LAKESHORE PKWY,"",ROCK HILL,SC,297304205,803-992-3263,844-641-3263
1275150815,HEALTH CARE PARTNERS PHARMACY,YES,2020-06-30,2020-06-30,A,,JIM,EUBANKS,843-488-6363,CEO,HEALTH CARE PARTNERS PHARMACY,<UNAVAIL>,"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC.",,,,2020-06-30,,,,,,,,US,United States,LOCATION,DOM,145 PALMETTO POINTE RD,"",MARION,SC,295716721,843-488-6341,843-488-6346
1275548349,WALGREEN CO,YES,2006-07-29,2016-08-26,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4779 HIGHWAY 501,"",MYRTLE BEACH,SC,295799444,843-903-5695,
1275548364,WALGREEN CO,YES,2006-07-29,2015-11-28,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,868 FORDING ISLAND RD,"",BLUFFTON,SC,299108663,843-815-9953,
1275596249,DELTA PHARMACY INC,NO,2006-04-10,2015-11-25,A,,ANDRIA,WELCH,843-761-5255,OWNER,DELTA PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,402 E MAIN ST,"",MONCKS CORNER,SC,294613616,843-761-5255,843-899-4970
1275596876,"MULLINS DISCOUNT DRUG, INC",NO,2006-04-06,2007-11-19,A,R.PH.,DOUGLAS,JOHNSON,843-464-1757,OWNER/PHARMACIST IN CHARGE,"MULLINS DISCOUNT DRUG, INC",,,TODD,MR.,,,,,,,,,,US,United States,LOCATION,DOM,310 S MAIN ST,"",MULLINS,SC,295743112,843-464-1757,843-464-1751
1275671851,BHP LAX LLC,NO,2007-02-03,2019-01-25,A,,VIPUL,PATEL,803-804-4735,OWNER/AO,BHP LAX LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1228 COLONIAL COMMONS CT,"",LANCASTER,SC,297202215,803-286-8444,803-286-8466
1275686628,HUSAM BADR,NO,2007-01-19,2016-11-04,A,,HUSAM,BADR,864-233-9532,OWNER,HUSAM BADR,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1803 AUGUSTA ST STE F,"",GREENVILLE,SC,296052980,864-233-9532,864-233-2075
1275929218,DELTA OF ISLE OF PALMS LLC,NO,2015-04-07,2015-11-25,A,,ANDRIA,WELCH,843-761-5255,MANAGER,DELTA OF ISLE OF PALMS LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1400 PALM BLVD,"",ISLE OF PALMS,SC,294512280,843-885-8008,843-899-4970
1275937104,WAL-MART STORES EAST LP,NO,2014-10-21,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1225 CHERRY RD,"",ROCK HILL,SC,297322507,803-324-1260,803-324-1275
1285027391,RON GROUP,NO,2015-03-13,2020-06-03,A,,CURT,NESBITT,843-276-1950,CEO,RON GROUP,,,,MR.,,2020-06-03,,,,,,,,US,United States,LOCATION,DOM,570 LONG POINT RD STE 170,"",MOUNT PLEASANT,SC,294647931,843-352-7662,843-352-7629
1285162305,RICHBURG DISCOUNT PHARMACY LLC,NO,2017-06-02,2018-10-22,A,PHARMACIST,HITESH,BHIMANI,803-500-2998,PHARMACIST IN CHARGE,RICHBURG DISCOUNT PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3191 LANCASTER HWY STE H,"",RICHBURG,SC,29729,803-500-2998,803-619-2211
1285171728,"ROWLAND OLD MAIN, INC.",NO,2017-01-23,2017-02-28,A,,AMBER,LOCKLEAR,910-422-3774,PRESIDENT,"ROWLAND OLD MAIN, INC.",,,,,,,,,,,,,,US,United States,LOCATION,DOM,101 S BOND ST,"",ROWLAND,NC,283839639,910-422-3774,
1285181891,THE PHARMACY,NO,2016-09-01,2016-09-28,A,RPH,JARROD,TIPPINS,843-496-8041,"OWNER, PIC, AO",THE PHARMACY,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2500 HOFFMEYER RD,"",FLORENCE,SC,295017407,843-773-2821,843-773-2822
1285649350,WALGREEN CO,YES,2006-07-29,2016-08-25,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2872 S HIGHWAY 17,"",MURRELLS INLET,SC,295767621,843-357-3985,
1285649368,WALGREEN CO,YES,2006-07-29,2016-08-26,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2700 WADE HAMPTON BLVD,"",GREENVILLE,SC,296151152,864-268-7123,
1285649376,WALGREEN CO,YES,2006-07-29,2016-08-05,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,6057 WHITE HORSE RD,"",GREENVILLE,SC,296113842,864-295-0243,
1285651448,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,5420 FOREST DR,"",COLUMBIA,SC,292065401,803-782-8428,
1285674622,PUBLIX SUPER MARKETS INC,NO,2006-06-07,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1611 E GREENVILLE ST,"",ANDERSON,SC,296212006,864-231-5246,864-231-5251
1285731786,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-20,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3700 TWO NOTCH RD,"",COLUMBIA,SC,292042872,803-254-6871,
1285746602,"TRIANGLE PHARMACY AND HOME MEDICAL EQUIPMENT, INC.",NO,2006-08-31,2012-01-09,A,,WILLIAMS,STROUD,803-794-4840,PHARMACY MANAGER,"TRIANGLE PHARMACY AND HOME MEDICAL EQUIPMENT, INC.",,,JENNINGS,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1239 D AVE,"",WEST COLUMBIA,SC,291696307,803-794-4840,803-791-7776
1285826974,INGLES MARKETS INC,NO,2007-08-16,2019-08-14,A,RPH,STEPHEN,CUCCHI,828-669-2941,VP OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4396 HIGHWAY 24,"",ANDERSON,SC,296265212,864-226-2398,864-226-7598
1285912170,"COLONIAL FAMILY PRACTICE, LLC",NO,2011-07-27,2021-03-15,A,,STEPHANIE,DISHER,803-773-5227,CREDENTIALING MANAGER,"COLONIAL FAMILY PRACTICE, LLC",,,,,,2021-03-15,,,,,,,,US,United States,LOCATION,DOM,325 BROAD ST,SUITE 100,SUMTER,SC,291504167,803-773-5227,803-774-5400
1295038438,CORAM ALTERNATE SITE SERVICES INC,YES,2010-12-09,2019-08-19,A,,WILLIAM,BOLGAR,720-895-3211,PRESIDENT/TREASURER,CORAM ALTERNATE SITE SERVICES INC,<UNAVAIL>,CORAM ALTERNATE SITE SERVICES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,5955 CORE AVE STE 512,"",NORTH CHARLESTON,SC,294066085,843-744-4183,843-743-2902
1295258358,WALGREEN CO,YES,2017-07-20,2019-04-29,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1233 WILSON RD,"",NEWBERRY,SC,291084000,803-597-3202,803-597-3202
1295289742,WATERWAY PHARMACY LLC,NO,2016-08-12,2017-09-20,A,MS PHARMACOLOGY,MOHIT,PAWAR,843-734-0612,PHARMACIST,WATERWAY PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3373 HIGHWAY 9 E,"",LITTLE RIVER,SC,295667826,843-734-0612,843-734-0793
1295359818,SCOTLAND MEMORIAL HOSPITAL INC,NO,2020-05-29,2020-05-29,A,,MATTHEW,PRACHT,910-291-7000,CFO,SCOTLAND MEMORIAL HOSPITAL INC,,,D.,,,2020-05-29,,,,,,,,US,United States,LOCATION,DOM,957 CHERAW ST,"",BENNETTSVILLE,SC,295122420,843-456-7735,843-456-7739
1295740140,INGLES MARKETS INC,NO,2006-07-29,2019-08-14,A,RPH,STEPHEN,CUCCHI,828-669-2941,VP OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1500 POINSETT HWY,"",GREENVILLE,SC,296092929,864-235-7183,864-235-7534
1295752459,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,508 BYPASS 72 NW,"",GREENWOOD,SC,296491300,864-229-6722,
1295838050,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,100 OUTLET POINTE BLVD,"",COLUMBIA,SC,292105669,803-772-0403,
1295838068,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,7647 HIGHWAY 76,"",PENDLETON,SC,296709162,864-646-7553,864-646-6184
1295840148,MEDICAL UNIVERSITY OF SC,NO,2006-08-20,2021-04-06,A,MD,PATRICK,CAWLEY,843-792-4000,CEO/HOSPITAL ADMINISTRATION,MEDICAL UNIVERSITY OF SC,,,,,,2021-04-06,,,,,,,,US,United States,LOCATION,DOM,650 ELLIS OAK DR RM 119,"",CHARLESTON,SC,294123089,843-876-2969,843-876-2967
1306002167,PUBLIX SUPER MARKETS INC,NO,2008-07-31,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,101 BUCKWATER PLACE BLVD,"",BLUFFTON,SC,29910,843-815-6435,843-815-6447
1306004478,WALGREEN CO,YES,2008-05-27,2016-01-12,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1532 LAKE MURRAY BLVD,"",COLUMBIA,SC,292128622,803-732-1975,
1306149950,PUBLIX SUPER MARKETS INC,NO,2010-12-20,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,847 HIGHWAY 378,"",LEXINGTON,SC,290728316,803-996-6171,803-996-6180
1306164413,PUBLIX SUPER MARKETS INC,NO,2010-05-13,2020-01-03,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,2020-01-03,,,,,,,,US,United States,LOCATION,DOM,112 NICKLE PLATE RD,"",HARDEEVILLE,SC,299274414,843-208-3605,843-208-3611
1306187653,WAL-MART STORES EAST LP,NO,2013-03-12,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2637 GENTRY MEMORIAL HWY,"",PICKENS,SC,296719429,864-605-6617,864-878-9158
1306369335,WALGREEN CO,YES,2017-07-21,2019-01-29,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,214 SAINT JAMES AVE,"",GOOSE CREEK,SC,294452974,217-709-2386,217-709-2344
1306467766,LAMAR FAMILY PHARMACY,NO,2020-04-27,2020-04-27,A,R.PH.,MONICA,VARGAS,843-319-5836,OWNER,LAMAR FAMILY PHARMACY,,,MICHELLE,,,2020-04-27,,,,,,,,US,United States,LOCATION,DOM,100 N RAILROAD AVE,"",LAMAR,SC,290699726,843-326-5231,843-326-5068
1306829668,PROFESSIONAL PHARMACY AT MT VIEW IN,NO,2005-11-21,2016-05-25,A,RPH,PAULA,KING,864-877-4281,PHARMACIST IN CHARGE,PROFESSIONAL PHARMACY AT MT VIEW IN,,,JAGINA,MR.,JR.,,,,,,,,,US,United States,LOCATION,DOM,428 MEMORIAL DRIVE EXTENSION,"",GREER,SC,296511818,864-877-4281,864-877-4077
1306863576,SAMS EAST INC,YES,2006-07-16,2013-08-07,A,,LAURA,LEVINE,479-204-8550,MGR OF GOVERNMENT CONTRACTING,SAMS EAST INC,<UNAVAIL>,WAL-MART STORES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,5426 FOREST DR,"",COLUMBIA,SC,292065401,803-790-7284,
1306864111,WAL-MART STORES EAST LP,NO,2006-07-18,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,9880 DORCHESTER RD,"",SUMMERVILLE,SC,294858545,843-871-2550,
1306916481,MEDICINE CABINET OF LAKE CITY,NO,2006-11-08,2014-12-02,A,BS PHARMACY,TERRY,BLACKMON,843-374-2825,PRESIDENT,MEDICINE CABINET OF LAKE CITY,,,,,,,,,,,,,,US,United States,LOCATION,DOM,319 MERCY ST,"",LAKE CITY,SC,295602331,843-374-2825,843-374-9914
1306940119,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",NO,2006-09-12,2012-02-29,A,,SUSAN,COLBERT,401-770-2751,DIRECTOR PAYER RELATIONS,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,,,,,,,,,,,,,US,United States,LOCATION,DOM,41 E CALHOUN ST,"",SUMTER,SC,291504367,803-418-0919,
1306949177,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1500 RIBAUT RD,"",PORT ROYAL,SC,299351403,803-524-5440,
1306950381,COLE-MCGILL ENTERPRISES INC,NO,2006-08-18,2016-06-17,A,,WALTER,TOOLE,864-843-9207,SEC,COLE-MCGILL ENTERPRISES INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,115 W MAIN ST,"",LIBERTY,SC,296571140,864-843-9207,864-843-9208
1306953096,F & L DRUG STORE INC,NO,2006-08-25,2008-07-15,A,R. PH.,MONICA,VARGAS,843-396-4431,PHARMACIST IN CHARGE,F & L DRUG STORE INC,,,MICHELLE,,,,,,,,,,,US,United States,LOCATION,DOM,223 N JONES RD,"",OLANTA,SC,291140428,843-396-4431,843-396-4658
1316020589,OCEAN LAKES PHARMACY INC,NO,2006-10-23,2017-02-28,A,,ROGER,WILLIAMS,848-238-5159,OWNER,OCEAN LAKES PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1415 HWY 17 BUSINESS N,"",SURFSIDE BEACH,SC,29575,843-238-5159,843-238-8270
1316040181,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1302 HIGHWAY 72 221 E,"",GREENWOOD,SC,296492916,864-223-1892,
1316121262,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",NO,2007-12-27,2010-11-19,A,,SUSAN,COLBERT,401-770-2751,DIRECTOR PAYER RELATIONS,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,,,MRS.,,,,,,,,,,US,United States,LOCATION,DOM,9625 HIGHWAY 78,"",LADSON,SC,294563913,843-818-1190,401-770-7108
1316135999,SELF REGIONAL HEALTHCARE,NO,2007-10-09,2016-04-06,A,RPH,CLIFF,COLLIE,864-725-4155,DIRECTOR OF PHARMACY,SELF REGIONAL HEALTHCARE,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1325 SPRING ST,"",GREENWOOD,SC,296463860,864-725-2768,864-725-5768
1316155823,SOUTH CAROLINA CVS PHARMACY LLC,NO,2007-05-18,2016-12-05,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,5119 SUNSET BLVD,"",LEXINGTON,SC,290729155,803-520-2859,803-520-2859
1316188105,WALGREEN CO,YES,2009-03-09,2016-10-03,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1100 TIGER BLVD,"",CLEMSON,SC,296312664,864-653-7962,
1316326887,WAL-MART STORES EAST LP,NO,2015-05-29,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3685 LADSON RD,"",LADSON,SC,294564304,843-879-5288,843-879-5289
1316339906,SENECA PHARMACY,NO,2015-02-19,2015-07-20,A,RPH,DONALD,CALVERT,864-985-1359,PHARMACIST IN CHARGE,SENECA PHARMACY,,,L,MR.,,,,,,,,,,US,United States,LOCATION,DOM,15891 WELLS HWY,"",SENECA,SC,296781078,864-985-1359,864-985-1362
1316374507,AIDS HEALTHCARE FOUNDATION,NO,2013-10-02,2021-02-26,A,,SCOTT,CARRUTHERS,323-860-5266,SR. MGR/CHIEF PHARMACY OFFICER,AIDS HEALTHCARE FOUNDATION,,,,,,2021-02-26,,,,,,,,US,United States,LOCATION,DOM,3025 FARROW RD,"",COLUMBIA,SC,292037001,803-509-5676,803-509-4855
1316415755,BABAJI LLC,NO,2018-11-03,2020-06-15,A,RPH,MANISH,CHOMAL,864-921-8366,AGENT,BABAJI LLC,,,RAJKUMAR,,,2020-06-15,,,,,,,,US,United States,LOCATION,DOM,2660 REIDVILLE RD STE 8,"",SPARTANBURG,SC,293013512,864-921-8366,
1316918436,"OPTUM INFUSION SERVICES 209, INC.",NO,2006-01-27,2020-10-16,A,,DAVID,OBERG,949-988-5893,"VICE PRESIDENT, COMPLIANCE","OPTUM INFUSION SERVICES 209, INC.",,,JOHN,,,2020-10-09,,,,,,,,US,United States,LOCATION,DOM,1000 BUSINESS CENTER DRIVE STE 120,"",SAVANNAH,GA,31405,866-881-6505,844-849-9188
1316987738,PUBLIX SUPER MARKETS INC,NO,2006-06-07,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2816 WASHINGTON RD,"",AUGUSTA,GA,309092199,706-731-5206,706-731-5211
1326013517,GILDER & WEEKS INC,NO,2006-02-21,2011-06-16,A,,EDDIE,ABRAMS,864-697-6580,OWNER,GILDER & WEEKS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,200 N MAIN ST,"",JOANNA,SC,293511030,864-697-6580,864-697-6233
1326141094,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2571 FOREST DR,"",COLUMBIA,SC,292042029,803-254-2376,
1326250952,WALGREEN CO,YES,2007-05-04,2018-06-15,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,1376 MAIN ST S,"",GREENWOOD,SC,29646,864-953-2251,
1326366493,WAL-MART STORES EAST LP,NO,2010-05-13,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,175 HIGHWAY 274,"",LAKE WYLIE,SC,297106045,803-831-5078,
1336161082,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-07-24,2016-11-08,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1300 LONG GROVE DR,"",MT PLEASANT,SC,294649462,843-388-8769,843-388-8769
1336215581,SARATHIRX LLC,NO,2006-11-28,2018-09-11,A,RPH,RAMAN,BARAL,605-695-7263,OWNER,SARATHIRX LLC,,,SHARMA,,,,,,,,,,,US,United States,LOCATION,DOM,1409 N MAIN ST,"",ANDERSON,SC,296214732,864-224-3581,864-231-6240
1336217132,GEORGE PARKS PHARMACY INC,NO,2006-12-01,2015-06-10,A,,P STEVEN,MCELMURRAY,803-279-7450,OWNER,GEORGE PARKS PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,437 GEORGIA AVE,"",NORTH AUGUSTA,SC,298413851,803-279-7450,803-278-3018
1336242007,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,592 LANCASTER HWY,"",CHESTER,SC,297061658,803-377-4137,
1336242015,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1888 BOILING SPRINGS RD,"",BOILING SPRINGS,SC,293165124,864-599-0920,
1336409846,SOUTH CAROLINA CVS PHARMACY LLC,NO,2012-05-18,2021-02-01,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,2021-01-29,,,,,,,,US,United States,LOCATION,DOM,140 SAYEBROOK PKWY,"",MYRTLE BEACH,SC,295886834,843-294-2727,
1336424167,LAKE WYLIE HEALTH INVESTORS INC,NO,2011-10-12,2021-01-27,A,,KYLE,MCHUGH,803-240-9882,PRESIDENT,LAKE WYLIE HEALTH INVESTORS INC,,,,,,2021-01-27,,,,,,,,US,United States,LOCATION,DOM,221 LATITUDE LN STE 109,"",LAKE WYLIE,SC,297108117,803-831-2044,803-939-8489
1336504695,WALGREEN CO .,YES,2015-12-30,2019-08-26,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO .,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,MANAGER,,,,,,,,,,,US,United States,LOCATION,DOM,805 PAMPLICO HWY STE B130,"",FLORENCE,SC,295056049,803-799-6270,
1336506427,CARESOUTH CAROLINA INC,NO,2016-01-21,2018-07-19,A,,ANN,LEWIS,843-857-0111,PRESIDENT,CARESOUTH CAROLINA INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,122 LATIMER ST,"",LATTA,SC,295651828,843-627-6261,843-627-6265
1336512623,PUBLIX SUPER MARKETS INC,NO,2015-11-09,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,501 GERVAIS ST,"",COLUMBIA,SC,292013045,803-255-6101,803-828-7965
1336745561,SOCASTEE PHARMACY,NO,2020-12-11,2020-12-11,A,,MOHIT,PAWAR,843-691-0402,OWNER,SOCASTEE PHARMACY,,,,,,2020-12-11,,,,,,,,US,United States,LOCATION,DOM,4490 SOCASTEE BLVD,"",MYRTLE BEACH,SC,295887206,843-691-0402,843-691-0403
1346267598,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,511 N HIGHWAY 52,"",MONCKS CORNER,SC,294613132,843-899-5755,
