cleanup_name,brownfields_id,frs_id,geoid,tract_latitude,tract_longitude,lat,lon
HENRY'S CLEANERS,208582,110067221072,45081960201,+33.9955697,-081.8669890,34.00027495,-81.77335334
HIGH POINT PROPERTY,166703,110059721742,45019003400,+32.8958105,-079.9746618,32.88568,-79.97333
HILTON DISPLAYS,14775,110061025288,45045000200,+34.8478319,-082.3974862,34.84803481,-82.40009999
HILTON PROPERTY,93603,110040478925,45091060501,+34.9325443,-081.0382008,34.92955812,-81.02906449
HOLLEY HOUSE,241493,110070675686,45003021300,+33.5673561,-081.7526423,33.56020824,-81.72233549
HOME AVENUE PROPERTY,145241,110054626856,45031010600,+34.3700380,-080.0231357,34.3803,-80.06198
HOOPERS AUTO SERVICE,134072,110017036964,45007000600,+34.4882459,-082.6349474,34.497654,-82.648865
HOWARD PROPERTIES,14778,110039546836,45045003103,+34.6681953,-082.2357458,34.694237,-82.22849845
IMPERIAL TOBACCO WAREHOUSE,230041,110070384725,45041002201,+33.8669969,-079.7884800,33.86931,-79.75587
INDEPENDENT AVE SITE,163964,110056363796,45019003300,+32.8846062,-080.0074054,32.87983,-79.99537
INTERSTATE TRUCK TERMINAL,22581,110017081174,45005970300,+33.0551986,-081.2151634,33.09556,-81.2134537
ISHAM'S GROCERY,240472,110070605141,45005970400,+32.8745690,-081.3241455,32.96075,-81.23374
IVA FARMERS MARKET,125962,110070258559,45007011700,+34.3109700,-082.6793835,34.306675,-82.6638
JACKSON PETROLEUM CO,241157,110070671425,45003021400,+33.5732059,-081.7228476,33.5562045,-81.70774355
JANICE CIRCLE TRACT,231842,110070164204,45025950501,+34.7620024,-079.9701003,34.70902003,-79.96065636
KINGSTREE SOUTH KINGSTREE IND WWF,158141,110064633197,45089970501,+33.6474741,-079.7149055,33.64706,-79.81916
KNIGHT INDUSTRIES MILL,208622,110067221081,45081960202,+33.9835560,-081.7334123,33.99806,-81.771675
LAKE CITY PLAZA,230022,110070069134,45041002201,+33.8669969,-079.7884800,33.8777122,-79.75608268
LAKE CONESTEE,10420,110015330685,45045003304,+34.7063155,-082.3397434,34.73771049,-82.32785688
LANCASTER BELK BUILDING,11709,110039529828,45057010700,+34.7180813,-080.7600821,34.7267599,-80.7519883
LAURENS CLEANERS,19722,110002193411,45059920400,+34.4928213,-082.0269534,34.500046,-82.01395
LAW RANGE BUILDING,123225,110043692117,45079003100,+34.0078902,-081.0307786,34.008205,-81.0366
LEAGUE (VACANT) PROPERTY,177865,110067153555,45045002304,+34.8877798,-082.3940491,34.88637446,-82.40427162
LEAGUE PROPERTY,177862,110067153476,45045002302,+34.8811322,-082.4173125,34.887325,-82.407005
LIBERT HILL SITE,133502,110070258563,45019003300,+32.8846062,-080.0074054,32.8807044,-79.9963119
LIBERTY HILL SITE,133503,110045010144,45019003300,+32.8846062,-080.0074054,32.8807044,-79.9963119
LINCOLN ST. PROPERTY,111152,110040823106,45079001600,+34.0035118,-081.0483875,34.00058,-81.03892
LLOYD CANNADYS PLACE,25303,110017022176,45065920300,+33.7542930,-082.1999073,33.75438324,-82.20256167
LOURIES BLDG,111145,110040823071,45079003100,+34.0078902,-081.0307786,34.006763,-81.03597
LOWER PELZER MILL,125985,110043425549,45007010300,+34.6570078,-082.4929075,34.6431394,-82.454655
LYMAN MILLS #2,241393,110054081747,45083023102,+34.9459973,-082.1019723,34.944145,-82.12764
LYMAN TOWN OF WASTE WATER TREATMENT PLANT,10349,110002181987,45083023102,+34.9459973,-082.1019723,34.950928,-82.123634
MAIN & TAYLOR SHOE STORE,111158,110070068442,45079003100,+34.0078902,-081.0307786,34.006924,-81.036026
MARKLEY STREET PROPERTIES,149921,110054365860,45045000700,+34.8504139,-082.4126907,34.84586961,-82.41018147
"MASJID AS-SALAAM, INC",122121,110043424997,45079000300,+34.0467069,-081.0624544,34.050953,-81.044685
MAYBERRY STREET PROPERTIES,146622,110054365236,45045000700,+34.8504139,-082.4126907,34.854233,-82.41667
MAYFAIR MILL,249318,,45077010802,+34.8426672,-082.5770296,34.8343,-82.584984
MCABEE PROPERTY,75981,110038760392,45083021500,+34.9800448,-081.9284454,34.986645,-81.935715
MCBRIDE'S QUALITY CLEANERS,210582,110070164158,45025950600,+34.5951251,-079.8967144,34.693145,-79.879974
MCLEOD REGIONAL DEVELOPEMENT CENTER & ABDALLAH PROPERTY,111100,110040821448,45041001000,+34.1911403,-079.7695503,34.197339,-79.766074
MEETING STREET MOTORS,126281,110043692279,45063020300,+33.9896272,-081.0628508,33.990665,-81.068184
MEETING STREET PROPERTIES,125624,110043692206,45063020505,+33.9923387,-081.0921352,33.987659,-81.077089
MELTON PROPERTIES,73021,110040479274,45091060501,+34.9325443,-081.0382008,34.92849249,-81.02816053
METAL TRADES,11844,110039535438,45019005400,+32.8200646,-079.9429888,32.83502,-79.94778
MILLIKEN PROPERTIES AREA 1,162162,110056253021,45031010600,+34.3700380,-080.0231357,34.37082,-80.06257
MILLIKEN PROPERTY AREA 2,162184,110056253049,45031010600,+34.3700380,-080.0231357,34.369823,-80.06431
MILLIKEN PROPERTY AREA 3,162187,110056253058,45031010600,+34.3700380,-080.0231357,34.372272,-80.06329
MILLIKEN PROPERTY AREA 4,162188,110067448792,45031010600,+34.3700380,-080.0231357,34.37082,-80.06257
MILLS MILL,14774,110039546818,45045000700,+34.8504139,-082.4126907,34.8487299,-82.4040922
MITCHELL PROPERTY,12475,110039536856,45075010900,+33.5692930,-080.9216953,33.612167,-80.952705
MONAGHAN PLANT PARKING LOT,223461,110070004627,45045002201,+34.8682367,-082.4358816,34.8662879,-82.4260258
MOOREFIELD MEMORIAL HIGHWAY,244480,,45077010402,+34.9027375,-082.7107738,34.8763307,-82.70472094
MOREHEAD OIL BULK PLANT,22301,110038744712,45071950502,+34.3098563,-081.6453407,34.29496,-81.62381
MOUNT PLEASANT STREET TEXACO SERVICE STATION,11848,110039550125,45019004400,+32.8305580,-079.9619676,32.81241,-79.953964
MULTI-TENANT RETAIL BUILDING,117701,110043692019,45079002900,+33.9936414,-081.0372080,33.99984,-81.038246
N. PLEASANTBURG AT LAURENS RD.,206783,110070247861,45045001302,+34.8343593,-082.3606077,34.843285,-82.36269
NAPA AUTO PARTS STORE,19721,110039544455,45059920400,+34.4928213,-082.0269534,34.499783,-82.01457
NATIONAL FENCE COMPANY,11704,110039529775,45091060401,+34.9148169,-081.0342626,34.918543,-81.036397
NATIONAL FENCE SITE,175212,110060374081,45091060501,+34.9325443,-081.0382008,34.934708,-81.03465
NATIONAL GUARD ARMORY,145221,110054626847,45031010500,+34.3693401,-080.0874346,34.369892,-80.084366
NE MAIN STREET AT N A STREET,242880,,45077010802,+34.8426672,-082.5770296,34.83087252,-82.60202813
NICHOL STREET PROPERTY,239338,110070789509,45045004300,+34.8417160,-082.3753525,34.8406616,-82.3824638
NICKELPUMPER 233,22622,110017332251,45053950202,+32.5364880,-080.8861724,32.63121002,-80.87942855
NORFOLK SOUTHERN RAILROAD PROPERTY,14574,110039556520,45007012300,+34.5134656,-082.6052554,34.50038014,-82.64951876
NORTH STREET DUMP,12474,110038748442,45083021200,+34.9509248,-081.9167596,34.95097846,-81.92966488
O'HEAR AVE - NOISETTE CREEK,163682,110059721056,45019003700,+32.8671057,-079.9825338,32.8712536,-79.9754437
OAKLAND AVE SITE,74721,110038760338,45091060501,+34.9325443,-081.0382008,34.92702656,-81.02413664
OAKWOOD COMMONS TRACT 2,134461,110045011786,45063020505,+33.9923387,-081.0921352,33.9966076,-81.1021708
OIL CITY GARAGE,11847,110039535517,45019001000,+32.7919285,-079.9443325,32.793316,-79.94717
OLD DSS BUILDING,166942,110056364811,45005970200,+33.0356436,-081.4486751,33.005493,-81.303764
OLD JAIL BUILDING,166943,110056364820,45005970200,+33.0356436,-081.4486751,33.009834,-81.304565
OLD YORK ROAD PROPERTY,242162,110070789883,45023020400,+34.7811483,-081.2137768,34.756493,-81.19686
OLYMPIA 1,61881,110038716379,45079002800,+33.9821485,-081.0333383,33.98642681,-81.03499686
OLYMPIA 2,61901,110038716388,45079002800,+33.9821485,-081.0333383,33.98551941,-81.03714262
OSCAR AND MEADOW ST,239343,110070789513,45045000700,+34.8504139,-082.4126907,34.85421,-82.41179
OSCAR STREET PROPERTIES,117764,110042301791,45045000700,+34.8504139,-082.4126907,34.85242588,-82.40714765
"OSCAR, NASSAU, AND MEADOW ST PROPERTY",239339,110070789510,45045000700,+34.8504139,-082.4126907,34.852512,-82.409164
PAGE PROPERTY,12473,110039536838,45075010900,+33.5692930,-080.9216953,33.612167,-80.952705
PALMETTO CLUB,133943,110045010974,45079003100,+34.0078902,-081.0307786,34.00224,-81.03213
PALMETTO COMPRESS & WAREHOUSE BUILDING,229344,110070117631,45079002900,+33.9936414,-081.0372080,33.99203001,-81.03961107
PALMETTO PETROLEUM,125982,110054625054,45033970400,+34.3943810,-079.3862993,34.38832894,-79.38678635
PALMETTO PROPERTIES,111094,110040821420,45041000900,+34.2077622,-079.7859632,34.1999732,-79.7683858
PALMETTO TRANSPORT SPECIALIST LLC,235293,110070164265,45025950600,+34.5951251,-079.8967144,34.686596,-79.89786
PARADISE POINT,244957,,45007010300,+34.6570078,-082.4929075,34.65654409,-82.4582096
PARK SOUTH TRACT,150023,110054625713,45019003700,+32.8671057,-079.9825338,32.8646762,-79.9796499
PEDIGREED 1  PROPERTY,145261,110054626865,45031010800,+34.3024008,-080.0484845,34.355515,-80.05827
PEDIGREED 2 PROPERTY,145441,110054626892,45031010700,+34.3541929,-080.0756425,34.37123368,-80.07425371
PEE DEE COMMUNITY ACTION /CASTEN MCDANIEL PROPERTY,110642,110040821395,45041000900,+34.2077622,-079.7859632,34.200878,-79.766074
PEE DEE ICE & FUEL,228143,110070164186,45025950600,+34.5951251,-079.8967144,34.696564,-79.87808
PELZER MILL DISPOSAL SITE,154122,110070354605,45007010300,+34.6570078,-082.4929075,34.651844,-82.46096
PELZER RIVERFRONT,243950,,45007010300,+34.6570078,-082.4929075,34.65654409,-82.4582096
PENDLETON ST FORMER EXXON STA,14771,110017328453,45045002202,+34.8547583,-082.4401273,34.847836,-82.441986
PENDLETON STREET PROPERTY,92521,110038734643,45079001300,+34.0080154,-081.0131624,34.00483,-81.014015
PETE HOLLIS SITE,130621,110070671372,45045000900,+34.8607575,-082.4098233,34.86031,-82.40613
PHUNG PROPERTY,78441,110040478881,45091060501,+34.9325443,-081.0382008,34.927819,-81.027407
PICKENS RAILWAY PROPERTY,14576,110039556557,45007012300,+34.5134656,-082.6052554,34.50038014,-82.64951876
PIE'S COUNTRY KITCHEN,208121,110067367165,45087030600,+34.6087329,-081.4943191,34.59314,-81.46284
PIEDMONT SHIRT FACTORY,166083,110070209623,45045002303,+34.8728159,-082.4105209,34.87703,-82.404396
POE MILL,111384,110064692765,45045000900,+34.8607575,-082.4098233,34.8586445,-82.4046842
POINSETT HIGHWAY SITE,222541,110070004601,45045002701,+34.9392993,-082.3924602,34.92074375,-82.37744203
POST & COURIER PROPERTY,158121,110055084625,45019005300,+32.8001609,-079.9443767,32.79632313,-79.94029016
POST AND COURIER PROPERTY II,172822,110063010566,45019001000,+32.7919285,-079.9443325,32.7936347,-79.9417405
PRESSLEY PROPERTY,158444,110070068698,45019005400,+32.8200646,-079.9429888,32.839497,-79.96225
PRESTO PROPERTY,93601,110040478916,45091060501,+34.9325443,-081.0382008,34.92969649,-81.02919796
PRINCES GROCERY,22361,110017035411,45087030700,+34.6214610,-081.7049843,34.648716,-81.76376
PRINTING AND FINISHING CO.,15126,110060913338,45091060501,+34.9325443,-081.0382008,34.932827,-81.032074
PROPOSED BLENHEIM SCHOOL SITE,145721,110063007981,45069960600,+34.4523897,-079.6514364,34.5022273,-79.6510525
PUBLIC HEALTH BUILDING,239729,110070629024,45077011101,+34.7346996,-082.8081851,34.724625,-82.78176
QUALITY STITCHING,237291,110070525767,45081960201,+33.9955697,-081.8669890,34.0372404,-81.8531631
RAILLE STREET PROPERTIES,242879,,45091061602,+34.9921871,-081.2207561,34.99869972,-81.237412
RANDOLPH TRUCKING (COMMERCE DR.) PROPERTY,104441,110040316716,45079002602,+33.9798771,-081.0027441,33.97857766,-81.00992284
RANDY'S AUTO PARTS,41841,110038758617,45009960100,+33.3261599,-081.1667580,33.326412,-81.14378
RED BARN PROPERTY,193701,110064566768,45003020400,+33.5687354,-081.8385837,33.57058522,-81.80703331
REEDY VIEW DRIVE PROPERTY,226081,110070004582,45045003010,+34.7569276,-082.2476429,34.74061736,-82.25220747
REGIONS BANK,239722,110070556312,45003021300,+33.5673561,-081.7526423,33.56019167,-81.71918698
REPUBLIC MILL #1,59741,110038758886,45023021000,+34.5721311,-080.9053042,34.56470137,-80.89118842
REPUBLIC MILL #2,90982,110054625429,45023021000,+34.5721311,-080.9053042,34.571194,-80.89478
REPUBLIC MILL 1,242161,110070789882,45023021000,+34.5721311,-080.9053042,34.5758916,-80.9020732
REPUBLIC MILLS SITE,82841,110038763460,45023021000,+34.5721311,-080.9053042,34.5659327,-80.9046979
RHODES PROPERTIES,72981,110060913356,45091060501,+34.9325443,-081.0382008,34.92895076,-81.02947758
RIVERPLACE PHASE III,193021,110070117629,45045000200,+34.8478319,-082.3974862,34.847343,-82.40386
RIVERSIDE MILL,94442,110045009511,45007000600,+34.4882459,-082.6349474,34.49921,-82.629456
RIVERSIDE SCHOOL,236932,110070247692,45081960202,+33.9835560,-081.7334123,34.00854,-81.7554
ROADWAY INN,111150,110040823080,45079003100,+34.0078902,-081.0307786,34.002728,-81.03416
ROCK HILL BODY COMPANY,15127,110060913374,45091060501,+34.9325443,-081.0382008,34.932045,-81.036705
ROCK HILL FEED & SEED,175164,110017031898,45091060300,+34.9144554,-081.0197342,34.921701,-81.013966
ROHDE SHOP-RITE,22602,110017093349,45029970500,+32.9053462,-080.6718142,32.893856,-80.6631
ROWND PROPERTY,131101,110043637865,45033970300,+34.4536751,-079.4414521,34.4249,-79.370445
S MURRAY AVENUE PROPERTIES,134071,110070258567,45007000700,+34.4939131,-082.6616905,34.495453,-82.65023
S. ACADEMY AT N. CALHOUN,206782,110070247860,45045000700,+34.8504139,-082.4126907,34.846153,-82.413925
S. ACADEMY AT WARDLAW ST.,206781,110070247859,45045000700,+34.8504139,-082.4126907,34.84740204,-82.40780031
SAFETY DISPOSAL SYSTEMS STORAGE PROPERTIES,72361,110038733975,45049920200,+32.8590563,-081.0106074,32.874181,-81.109176
SALUDA MARKET CONSIGNMENTS,238574,110070507863,45081960201,+33.9955697,-081.8669890,34.001728,-81.772125
SALUDA THEATRE,238575,110070507864,45081960202,+33.9835560,-081.7334123,34.00151,-81.771255
SC AG LAB,111155,110002243509,45079002900,+33.9936414,-081.0372080,33.99659,-81.0462
SCE&AMP;G CREW QUARTERS PHOTOS,241159,110070671426,45003021400,+33.5732059,-081.7228476,33.568756,-81.70869
SCE&G - STALL ROAD PROPERTY,150102,110054625777,45019003104,+32.9290256,-080.0392057,32.92667346,-80.05090335
SCHUMPERTS STORE,25341,110017196791,45071950601,+34.1917033,-081.5448551,34.21710132,-81.50680887
SCRA PROPERTY,111141,110040821616,45079002800,+33.9821485,-081.0333383,33.988285,-81.030785
SE ELECTRICAL / USC CATAWBA,111143,110043691797,45079002800,+33.9821485,-081.0333383,33.98714,-81.0347
SECOND & KERSHAW STREET,228145,110070164188,45025950600,+34.5951251,-079.8967144,34.70062713,-79.88528037
SECOND AND DUVALL STREET,228144,110070164187,45025950600,+34.5951251,-079.8967144,34.69882607,-79.88438698
SECTION OF OLD RIVER ROAD,244357,,45055970800,+34.2226390,-080.5951484,34.245552,-80.61538
SEMINOLE MILLS,15774,110017945358,45003021002,+33.5044854,-081.9155699,33.49615,-81.891777
SESAME PARKING LOT,166104,110059720707,45019003600,+32.8778634,-079.9842690,32.880615,-79.98015
SHAW MANUFACTURING SITE,122289,110043315212,45007012002,+34.4883851,-082.7367187,34.470726,-82.68971
SHELTON WAREHOUSE,11707,110039529793,45087030600,+34.6087329,-081.4943191,34.595136,-81.445602
SHIPWATCH SQUARE,113901,110043085032,45019003700,+32.8671057,-079.9825338,32.85902956,-79.98214015
SHIRLEY AND WEST WASHINGTON STREET PROPERTY,239340,110070789511,45045000700,+34.8504139,-082.4126907,34.85652,-82.411224
SHORT STOP 3,238466,110070671528,45029970500,+32.9053462,-080.6718142,32.9298855,-80.6894036
SPARTAN GRAIN & MILL CO.,110085,110044215015,45083020800,+34.9367442,-081.9385301,34.9417745,-81.9358006
SPARTAN MILLS,110089,110061025527,45083020400,+34.9541386,-081.9489874,34.955463,-81.939995
SPINNING MILL SITE,177866,110067153564,45045002303,+34.8728159,-082.4105209,34.87287,-82.411705
SPRING/MCBEE,14777,110061025297,45045000200,+34.8478319,-082.3974862,34.84803481,-82.40009999
SPRINGFIELD HOLT PROPERTY,149965,110054625660,45089970600,+33.6990298,-079.8814089,33.66463,-79.82888
SPRINGS INDUSTRIES LANCASTER MILL,111382,110064692756,45057010800,+34.7162854,-080.7786524,34.712444,-80.77344
SPRINGS PARKING LOT,70121,110040478355,45091060501,+34.9325443,-081.0382008,34.92903712,-81.02934521
SPRINGSTEEN MILL,175203,110060282313,45023020300,+34.7207553,-081.2148403,34.705006,-81.20712
STAR CLEANERS & LAUNDERETTE,248370,,45007000700,+34.4939131,-082.6616905,34.501809,-82.651631
STOCKADE,244478,,45077010403,+34.8488264,-082.7112797,34.874107,-82.69603
STRICKLAND'S DIXIE CLEANERS,238464,110070671527,45029970500,+32.9053462,-080.6718142,32.901794,-80.661934
SUMMERS STORE,25361,110017171200,45039960500,+34.2860838,-081.1792971,34.293427,-81.126335
SWEAT PROPERTIES,241494,110070675687,45029970402,+32.9671267,-080.6527418,32.91153348,-80.66769338
TALS QUICK STOP,25301,110017110348,45043920201,+33.4085413,-079.4854138,33.468792,-79.56042
TATHAM PROPERTY,177881,110063211153,45047970400,+34.1698568,-082.2054546,34.189214,-82.166152
TAYLOR ST. PARKING LOT,104421,110040129223,45079003100,+34.0078902,-081.0307786,34.006786,-81.035515
THE STATION @ FIVE POINTS,235228,110070117650,45079003100,+34.0078902,-081.0307786,34.00553,-81.02005
TIGER PRIDE AUTOMOTIVE,235723,110070164291,45077011102,+34.7109098,-082.7563613,34.717907,-82.78641
TODD PROPERTY,11966,110039555166,45059920400,+34.4928213,-082.0269534,34.498955,-82.010284
TOWN CENTER MALL 1.8 ACRE SITE 3B,71341,110038760971,45091060300,+34.9144554,-081.0197342,34.9204079,-81.0124008
TOWN OF ALLENDALE COMMERCIAL BUILDINGS,240475,110070605145,45005970200,+33.0356436,-081.4486751,33.015889,-81.320272
TOWN OF ALLENDALE FORMER HOTEL,240446,110070671516,45005970200,+33.0356436,-081.4486751,33.00858522,-81.30881739
TOWN OF HOLLYWOOD PROPERTY,163963,110059721323,45019002502,+32.7290527,-080.2269830,32.73438473,-80.24292029
TOXAWAY MILL,94443,110045009520,45007012300,+34.5134656,-082.6052554,34.50177,-82.62936
TRAVIS AVENUE SITE,238572,110070523711,45081960202,+33.9835560,-081.7334123,34.004982,-81.76985
UNIBLEND SPINNERS INCORPORATED,138282,110002231790,45087030200,+34.7080486,-081.6317056,34.716125,-81.62643
UNION MILL,11705,110061033983,45087030300,+34.7154252,-081.5908516,34.7110985,-81.6082631
UNITED HOUSING CONNECTIONSSITE,219121,110069498225,45045002302,+34.8811322,-082.4173125,34.87742583,-82.41296708
UPPER PELZER MILL,126001,110043425558,45007010300,+34.6570078,-082.4929075,34.653871,-82.458238
VAUCLUSE LANDFILL,137025,110045012703,45003020302,+33.6120849,-081.7527523,33.61481,-81.803276
VICTOR MILL,107161,110040218065,45083023302,+34.9348111,-082.2098924,34.92722,-82.20641
VILLAGE INN,177781,110063699038,45005970200,+33.0356436,-081.4486751,33.0155822,-81.30039
VIOLA STREET,14776,110061025304,45045001000,+34.8606403,-082.4002483,34.860176,-82.401122
WAKEFIELD BUICK PONTIAC GMC,115384,110044214613,45083020500,+34.9469448,-081.9517727,34.94918561,-81.93869983
WALTER FARMS BIRD SEED CO.,10366,110015335207,45037970300,+33.7963576,-081.7706297,33.82921788,-81.80264258
WARE STREET PROPERTY,239337,110070789468,45045000700,+34.8504139,-082.4126907,34.84358191,-82.41266034
WARREN PLANT,193681,110064566759,45003020400,+33.5687354,-081.8385837,33.567896,-81.807141
WARRENVILLE TRACT,110086,110046368024,45003021001,+33.5096425,-081.8696608,33.5109217,-81.869211
WASHINGTON AND HUDSON STREET PROPERTIES,146601,110070671373,45045000900,+34.8607575,-082.4098233,34.85401422,-82.40781395
WASHINGTON SCHOOL,14779,110039546863,45045000200,+34.8478319,-082.3974862,34.8507678,-82.3990726
WELBORN STREET PROPERTY,223641,110070117633,45045000700,+34.8504139,-082.4126907,34.850702,-82.409629
WENTWORTH BUILDING,241562,110070790037,45041002202,+33.8389294,-079.7194929,33.864796,-79.748926
WEST WASHINGTON STREET PROPERTY,239334,110070525754,45045000700,+34.8504139,-082.4126907,34.857389,-82.4124976
WESTERN AUTO,107401,110043315953,45085001300,+33.9165836,-080.3525729,33.922447,-80.34148
WHITE'S CONVENIENCE STORE,25321,110038751320,45053950100,+32.5531475,-081.0749103,32.60007989,-81.16015637
WHITLOCK COMBING COMPANY,165663,110067033294,45005970200,+33.0356436,-081.4486751,32.998938,-81.292345
WILDCAT CREEK AT ARCADE TEXTILE MILL,15124,110038744384,45091060502,+34.9213349,-081.0520735,34.925674,-81.04102
WILEY ST. PROPERTY,111154,110040823115,45079002602,+33.9798771,-081.0027441,33.9808,-81.01141
WILLIAMS GROCERY,22281,110017006764,45007000700,+34.4939131,-082.6616905,34.49640939,-82.65399032
YEMASSEE CHIPPER/SHREDDER SITE,10360,110015335181,45049920300,+32.7268667,-080.9155997,32.70132581,-80.8667527
