name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
CAROLINA GARDENS AT CONWAY,33.843521,-79.090143,2310 Hwy 378,Conway,SC,29527,Horry County,US,Match,Non_Exact,639286548,R,45,051,070400,1032
CAROLINA GARDENS AT GARDEN CITY,33.587267,-79.024915,11951 Grandhaven Dr,Murrells Inlet,SC,29576,Horry County,US,Match,Exact,630941974,L,45,051,051406,2000
CAROLINA GARDENS AT KATHWOOD,34.008527,-80.969036,4540 Trenholm Rd,Columbia,SC,29206,Richland County,US,Match,Exact,604769674,R,45,079,002400,2010
CAROLINA GARDENS AT LAURENS,34.489569,-82.026629,420 W Farley Ave,Laurens,SC,29360,Laurens County,US,No_Match,,,,,,,
CAROLINA GARDENS AT LEXINGTON,33.976916,-81.218782,5422 Augusta Rd,Lexington,SC,29072,Lexington County,US,No_Match,,,,,,,
CAROLINA GARDENS AT ROCK HILL,34.983969,-80.994786,1785 Lexington Commons Dr,Rock Hill,SC,29732,York County,US,Match,Exact,19817843,R,45,091,060913,2000
CAROLINA GARDENS AT WEST COLUMBIA,33.990506,-81.111213,2705 Leaphart Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,70076868,L,45,063,020513,1016
CAROLINA GARDENS AT YORK,35.007368,-81.224532,1020 Congress St N,York,SC,29745,York County,US,No_Match,,,,,,,
CAROLINA HEALTH CARE,34.012952,-81.035066,2025 Marion St,Columbia,SC,29201,Richland County,US,Match,Exact,71820714,L,45,079,003100,2000
CAROLINA HEALTH CARE CHARLESTON,32.814372,-79.864384,1018 Anna Knapp Blvd,Mount Pleasant,SC,29464,Charleston County,US,Match,Exact,108887939,R,45,019,004622,1021
CAROLINA HEALTH FORCE,32.820834,-80.06665,122 Ashley Villa Cir,Charleston,SC,29414,Charleston County,US,Match,Exact,617587118,L,45,019,005602,2001
CAROLINA HEARTS HOME CARE LLC,34.768343,-79.466162,811 S Main St,Laurinburg,NC,28352,Scotland County,US,Tie,,,,,,,
CAROLINA HOME CARE SERVICES,34.978076,-80.815101,1708 Funny Cide Dr,Waxhaw,NC,28173,Union County,US,Match,Exact,614176924,R,37,179,021016,1002
CAROLINA IN HOME CARE & ASSISTANCE,33.98887,-81.008153,2600 Kiawah Ave,Columbia,SC,29205,Richland County,US,Match,Exact,71828242,R,45,079,002100,2013
CAROLINA IN-HOME CARE,33.929585,-80.348336,130 Broad St,Sumter,SC,29150,Sumter County,US,Match,Exact,202710258,L,45,085,002000,2021
CAROLINA INTERVENTIONAL PAIN INSTITUTE,34.014347,-81.006152,1625 Cobb St,Columbia,SC,29204,Richland County,US,Match,Exact,71850529,L,45,079,001100,2027
CAROLINA MEDSTAFF & SERVICES,34.41026,-79.379911,998 E St,Dillon,SC,29536,Dillon County,US,Match,Exact,28817843,L,45,033,970401,2041
CAROLINA NURSING ASSOCIATES LLC,34.813517,-82.368529,880 2e S Pleasantburg Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,38303368,R,45,045,004300,4006
CAROLINA PINES REGIONAL MEDICAL CENTER,34.34957,-80.104974,1304 Bobo Newsom Hwy,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
CAROLINA PLACE,33.874094,-79.74885,240 Rodgers St,Lake City,SC,29560,Florence County,US,Match,Non_Exact,28898924,L,45,041,002202,1017
CAROLINA SPECIALTY EYE SURGERY,35.010154,-81.953309,119 Parris Brg,Spartanburg,SC,29316,Spartanburg County,US,No_Match,,,,,,,
CAROLINA SURGICAL CENTER,34.956225,-81.049837,202 Herlong Ave S,Rock Hill,SC,29732,York County,US,Match,Non_Exact,19818186,R,45,091,060700,1000
CAROLINA WATERBIRTH,34.723317,-82.255044,915 H South St,Simpsonville,SC,29681,Greenville County,US,No_Match,,,,,,,
CAROLINAS CAREGIVERS,34.948955,-80.998862,425 Anderson Rd N,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
CAROLINAS HOME HEALTH,34.189284,-79.808066,1945 W Palmetto St,Florence,SC,29501,Florence County,US,Match,Non_Exact,640936326,R,45,041,001100,1029
CAROLINIAN,34.186053,-79.763416,718 S Dargan St,Florence,SC,29506,Florence County,US,Tie,,,,,,,
CARRIAGE HOUSE SENIOR LIVING OF FLORENCE,34.176744,-79.82716,713 S Parker Dr,Florence,SC,29501,Florence County,US,Match,Non_Exact,28877248,R,45,041,000202,4011
CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE,34.382652,-80.045889,1131 Home Ave,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,78402367,R,45,031,010600,2021
CARRIAGE HOUSE SENIOR LIVING OF SUMTER,33.928893,-80.341015,431 N Main St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202670793,R,45,085,001500,2004
CARRIAGE HOUSE SENIOR LIVING OF TAYLORS,34.919517,-82.310994,400 W Main St,Taylors,SC,29687,Greenville County,US,Tie,,,,,,,
CARRIES HEART HOMECARE,34.777309,-82.389103,716 E Fairfield Rd,Greenville,SC,29605,Greenville County,US,Tie,,,,,,,
CARSON'S COMMUNITY CARE,34.15386,-80.954143,10235 State Hwy 555,Blythewood,SC,29016,Richland County,US,No_Match,,,,,,,
CARTER STREET GROUP HOME,34.038624,-80.997935,1101 Meadowlark Dr,Columbia,SC,29204,Richland County,US,Match,Exact,71855137,R,45,079,011101,3027
CARTER-MAY HOME,32.814213,-79.993459,1660 Ingram Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,605543434,R,45,019,002606,1010
CASANIA'S CARING HANDS,34.016083,-81.040735,367 Belleview Cir,Columbia,SC,29201,Richland County,US,Match,Exact,71820501,L,45,079,000700,2025
CASCADES VERDAE ASSISTED LIVING,34.824889,-82.317753,4 Creekridge Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,639819079,R,45,045,001900,3000
"CASH, JOSEPH P.",33.528329,-82.066389,3594 Parliament Pl,Augusta,GA,30907,Columbia County,US,Match,Exact,55375202,L,13,073,030108,3009
CAST YOUR CARE HEALTH CARE LLC,34.090446,-80.926713,8946 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
CASTLE POINTE HOME CARE,33.920686,-80.353176,515 W Liberty St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202670369,L,45,085,002000,1017
CASUAL COMMUNITY CARE HOME,34.117489,-80.939732,175 Goodrich St,Columbia,SC,29223,Richland County,US,Match,Exact,71822334,L,45,079,011421,2014
CATHERINE'S MANOR II,33.494124,-80.861999,261 Summers Ave,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19217370,L,45,075,011400,4015
"CAUDILL, NANCY S.",34.081459,-80.935288,1050 N Kings Way,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
CEDARS,33.996642,-79.572522,123 W 5th Ave,Pamplico,SC,29583,Florence County,US,Tie,,,,,,,
CENTER FOR ADVANCED SURGERY,32.987392,-80.097975,9581 Highway 78,Ladson,SC,29456,Charleston County,US,Match,Non_Exact,647985958,R,45,019,003107,3014
CENTER FOR BEHAVIORAL HEALTH SOUTH CAROLINA,32.846632,-79.979321,2325 State Hwy 7,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
CENTER FOR BEHAVIORAL HEALTH SPECIAL SERVICES,32.845144,-79.978314,2322 Coral Bell Ln,North Charleston,SC,29405,Charleston County,US,Match,Exact,108909486,L,45,019,004400,2042
CENTER FOR COLON AND DIGESTIVE DISEASES,33.564585,-81.760591,100 Gregg Ave NW,Aiken,SC,29801,Aiken County,US,Match,Exact,64989790,L,45,003,021300,1025
CENTER FOR ORTHOPAEDIC SURGERY,34.96061,-81.049513,118 Professional Park Dr,Rock Hill,SC,29732,York County,US,Match,Exact,19809346,R,45,091,060700,4018
CENTER OF HOPE OF MYRTLE BEACH,33.719337,-78.931993,104 George Bishop Pkwy,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,29056832,L,45,051,060204,2005
CENTRAL BAMBERG DIALYSIS,33.308447,-81.030017,50 Sunset Dr,Bamberg,SC,29003,Bamberg County,US,Match,Exact,18955654,R,45,009,960201,1029
CENTRAL COLUMBIA KIDNEY CENTER,34.03153,-81.036273,3543 Medical Dr,Columbia,SC,29203,Richland County,US,Match,Exact,71820192,L,45,079,000500,2005
CENTRAL MIDLANDS ADULT DAY CENTER,33.935058,-80.365646,500 Miller Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202670870,L,45,085,000901,2012
CHANDLER PLACE ASSISTED LIVING & MEMORY CARE,34.963069,-81.033075,1800 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19799014,R,45,091,060803,3017
CHAPIN ORTHOPEDIC SURGERY CENTER,34.169275,-81.337321,106 Ellett Rd,Chapin,SC,29036,Lexington County,US,Match,Exact,640801601,L,45,063,021204,2042
CHAPPELL ADULT CARE LLC,34.323817,-81.174959,4338 4340 Jackson Creek Rd Rd,Winnsboro,SC,29180,Fairfield County,US,Match,Exact,40610481,R,45,039,960501,1075
CHARITY HOME CARE SERVICE LLC,33.664306,-80.77795,804 F R Huff Dr,Saint Matthews,SC,29135,Calhoun County,US,Match,Non_Exact,71400298,L,45,017,950202,3042
CHARLES LEA CENTER,34.982822,-81.904679,195 Burdette St,Spartanburg,SC,29307,Spartanburg County,US,Match,Exact,19470642,L,45,083,021403,3000
CHARLES M INGRAM SR COMMUNITY RESIDENCE,34.699601,-79.928715,1601 State,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,646999808,R,45,025,950504,2011
CHARLES TOWNE DIALYSIS,32.808648,-80.023153,1964 Ashley River Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,605836256,R,45,019,002612,5061
CHARLES TOWNE HOME PROGRAM,32.808648,-80.023153,1964 Ashley River Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,605836256,R,45,019,002612,5061
CHARLESTON BIRTH PLACE,32.813516,-79.854013,NA US 17,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
CHARLESTON CENTER,32.782076,-79.952355,3 Charleston Center Dr,Charleston,SC,29401,Charleston County,US,No_Match,,,,,,,
CHARLESTON CENTER NEW LIFE UNIT,32.782217,-79.952159,5 Charleston Center Dr,Charleston,SC,29401,Charleston County,US,No_Match,,,,,,,
CHARLESTON CENTER SUBACUTE DETOXIFICATION PROGRAM,32.782076,-79.952355,3 Charleston Center Dr,Charleston,SC,29401,Charleston County,US,No_Match,,,,,,,
CHARLESTON CENTER TRANSITIONAL CARE UNIT,32.782217,-79.952159,5 Charleston Center Dr,Charleston,SC,29401,Charleston County,US,No_Match,,,,,,,
CHARLESTON ENDOSCOPY CENTER,32.815703,-80.043917,1962 Charlie Hall Blvd,Charleston,SC,29414,Charleston County,US,Match,Exact,615118053,R,45,019,002613,4046
CHARLESTON SURGERY CENTER,33.055751,-80.137918,145 Netherfield Dr,Summerville,SC,29486,Berkeley County,US,Match,Exact,630189432,R,45,015,020713,1079
CHARLESTON TATTOO COMPANY INC,32.740706,-79.967188,792 C Folly Rd,Charleston,SC,29412,Charleston County,US,No_Match,,,,,,,
CHEERS HEALTHCARE SERVICES,34.030754,-81.092834,300 Bush River Rd,Columbia,SC,29210,Richland County,US,Match,Exact,608832659,L,45,079,010403,1055
CHERAW HEALTHCARE,34.68803,-79.91129,396 Moffat,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14341404,L,45,025,950503,1011
CHEROKEE COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE,35.071319,-81.65355,201 W Montgomery St,Gaffney,SC,29340,Cherokee County,US,Match,Non_Exact,18988683,R,45,021,970201,1087
CHEROKEE MEDICAL CENTER,35.089838,-81.634563,1530 N Limestone St,Gaffney,SC,29340,Cherokee County,US,Match,Non_Exact,649536015,R,45,021,970302,2003
CHERRY BOMB TATTOO 3,34.620787,-82.775861,7202 Highway 76,Pendleton,SC,29670,Anderson County,US,Match,Non_Exact,651614307,R,45,007,010701,1032
CHESTERFIELD COMMUNITY RESIDENCE,34.736071,-80.100508,817 Main,Chesterfield,SC,29709,Chesterfield County,US,No_Match,,,,,,,
CHESTERFIELD VISITING NURSES SERVICE,34.698099,-79.925214,918 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,14331331,R,45,025,950504,2019
"CHIARELLO, THOMAS A.",34.798638,-82.597952,102 Terrace Rd,Easley,SC,29642,Pickens County,US,Match,Exact,26175780,L,45,077,010901,2009
CHILDREN'S HABILITATION CENTER,34.909647,-81.874208,2971 Kelsey Creek Rd,Spartanburg,SC,29302,Spartanburg County,US,Match,Exact,640596527,R,45,083,022004,1000
CHOSEN HANDS IN HOME CARE,34.723938,-80.825062,522 Echo Woods Dr,Lancaster,SC,29720,Lancaster County,US,No_Match,,,,,,,
CHRISTIAN COMFORTS LLC,34.179873,-80.897727,307 Long Pointe Ln,Columbia,SC,29229,Richland County,US,Match,Exact,608832023,R,45,079,011422,2000
CHRISTIANS SERVING SENIORS HOME CARE,33.337591,-80.422626,1687 Jill St,Holly Hill,SC,29059,Orangeburg County,US,Match,Exact,19224547,L,45,075,010200,1010
CHRYSALIS CENTER,34.167003,-79.823894,1430 S Cashua Dr,Florence,SC,29501,Florence County,US,Tie,,,,,,,
CIRCLE OF ANGELS HEALTH CARE,34.977657,-81.873665,2445 E Main St,Spartanburg,SC,29307,Spartanburg County,US,No_Match,,,,,,,
CIRCLE OF LOVE HOME CARE,33.405792,-81.440854,14070 Church St,Williston,SC,29853,Barnwell County,US,Match,Exact,19064914,R,45,011,970102,3009
CIRCLE PARK FAMILY COUNSELING & ADDICTION CENTER,34.195001,-79.776336,601 Gregg Ave,Florence,SC,29501,Florence County,US,Match,Exact,28878223,R,45,041,001100,5010
CITADEL INFIRMARY,32.7952,-79.962047,9 Hammond Ave,Charleston,SC,29403,Charleston County,US,No_Match,,,,,,,
CITY CARE HOME CARE,33.719113,-78.939872,3926 Wesley St,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,29056840,R,45,051,060204,2008
CIVITAN COMMUNITY RESIDENCE,34.788399,-82.337001,1820 Ridge Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,648662580,R,45,045,002901,1053
CLARENDON BEHAVIORAL HEALTH SERVICES,33.69585,-80.208956,12 N Church St,Manning,SC,29102,Clarendon County,US,Match,Non_Exact,71432442,R,45,027,960500,3027
CLARKE HOUSE,34.09971,-81.780107,919 Shiloh Rd,Saluda,SC,29138,Saluda County,US,Match,Exact,65528046,L,45,081,960100,1046
CLEAR SKYE TREATMENT CENTER,34.482928,-81.938783,1035 Medical Ridge Rd,Clinton,SC,29325,Laurens County,US,No_Match,,,,,,,
CLEMSON AREA RETIREMENT CENTER-HEALTH CARE CENTER,34.675882,-82.794311,500 Downs Loop,Clemson,SC,29631,Pickens County,US,Match,Exact,26208126,R,45,077,011207,1008
CLEMSON DOWNS ASSISTED LIVING,34.675521,-82.795735,1000 Keystone Ln,Clemson,SC,29631,Pickens County,US,Match,Exact,26164882,R,45,077,011207,1006
CLEMSON ENDOSCOPY CENTER,34.684845,-82.813917,108 Azalea Dr,Clemson,SC,29631,Pickens County,US,Match,Exact,26214398,L,45,077,011206,1007
CLEMSON HERITAGE LLC,34.696495,-82.791912,102 Cambridge Dr,Clemson,SC,29631,Pickens County,US,Match,Exact,636621190,R,45,077,011104,3019
CLEMSON IN HOME CARE,34.67868,-82.799782,102 Downs Blvd,Clemson,SC,29631,Pickens County,US,Match,Exact,26164851,R,45,077,011207,1019
"CLINE, JOSEPH F.",33.659069,-78.938035,3516 Chestnut Dr,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,29096198,L,45,051,051000,1015
CLINTON DIALYSIS CLINIC,34.467315,-81.909551,103 A B Jacks Rd,Clinton,SC,29325,Laurens County,US,No_Match,,,,,,,
CLINTON MANOR COMMUNITY RESIDENCE,34.467562,-81.908365,101 Clinton Manor Dr,Clinton,SC,29325,Laurens County,US,Match,Exact,647070819,L,45,059,920700,2032
CLS CARE HOME,33.819025,-80.698117,1024 Tucker Town Rd,Gadsden,SC,29052,Richland County,US,Match,Exact,608832502,R,45,079,012000,4039
CLUB HORIZONS OF CHARLESTON,32.953607,-80.042031,NA US 78,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
COASTAL CAROLINA HOME CARE,33.735768,-78.894825,1533 Biltmore Dr,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,630407741,L,45,051,060210,1010
COASTAL CAROLINA HOSPITAL,32.315196,-81.053825,1010 Medical Center Dr,Hardeeville,SC,29927,Jasper County,US,No_Match,,,,,,,
COASTAL CENTER-HIGHLANDS 510,32.984101,-80.150528,9995 Miles-Jamison Rd,Summerville,SC,29483,Dorchester County,US,No_Match,,,,,,,
COASTAL CENTER-HIGHLANDS HILLSIDE,32.981054,-80.14569,191 Chandler Dr,Ladson,SC,29456,Dorchester County,US,Match,Exact,178464022,R,45,035,010813,4000
COASTAL HEALTH LLC,34.195819,-79.817396,2420 Hoffmeyer Rd,Florence,SC,29501,Florence County,US,Match,Exact,653318760,L,45,041,000201,2064
COASTAL RECOVERY CENTER,33.73124,-78.864428,1304 Azalea Ct,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,622307121,R,45,051,050500,1002
COASTAL TRINITY HOMECARE SOLUTIONS LTD,32.244607,-80.877817,337 Buck Island Rd,Bluffton,SC,29910,Beaufort County,US,Match,Exact,87613713,R,45,013,002107,1033
COLD WAR CITIZENS HEALTH CARE,34.850171,-82.396583,217 B E Washington St,Greenville,SC,29601,Greenville County,US,Match,Exact,38301020,L,45,045,000200,1021
"COLE, ANDREA B.",32.263345,-80.936222,11 Parklands Dr,Bluffton,SC,29910,Beaufort County,US,Match,Exact,646085525,L,45,013,002103,2003
COLLETON AMBULATORY SURGERY CENTER,32.922977,-80.671385,107 Rebecca Ln,Walterboro,SC,29488,Colleton County,US,Match,Exact,19168934,R,45,029,970402,3042
COLLETON COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE,32.947621,-80.626926,1439 Thunderbolt Dr,Walterboro,SC,29488,Colleton County,US,No_Match,,,,,,,
COLLETON MEDICAL CENTER,32.922378,-80.668612,124 Medical Park Dr,Walterboro,SC,29488,Colleton County,US,No_Match,,,,,,,
COLONIAL AT OLD CAMDEN,34.232227,-80.605736,140 US Hwy 521,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
COLONIAL GARDENS ALZHEIMER'S SPECIAL CARE CENTER,34.007578,-81.132852,3565 Sunset Blvd,West Columbia,SC,29169,Lexington County,US,Match,Exact,653325900,L,45,063,020506,1016
COLORECTAL ENDOSURGERY INSTITUTE OF THE CAROLINAS,32.813242,-79.847806,1455 Stuart Engals Blvd,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
COLUMBIA ADULT CARE,33.988172,-80.998272,3149 State Hwy 16,Columbia,SC,29205,Richland County,US,No_Match,,,,,,,
COLUMBIA EYE SURGERY CENTER,34.015251,-81.032432,2101 Pickens St,Columbia,SC,29201,Richland County,US,Match,Exact,604785122,L,45,079,000700,1028
COLUMBIA GASTROINTESTINAL ENDOSCOPY CENTER,34.017722,-81.015197,2 Harper St,Columbia,SC,29204,Richland County,US,Match,Exact,604769337,R,45,079,001000,1008
COLUMBIA METRO TREATMENT CENTER,33.984993,-81.106345,560 Chris Dr,West Columbia,SC,29169,Lexington County,US,Match,Exact,70068607,R,45,063,020505,1061
COLUMBIA NEPHROLOGY ASSOCIATES PA,34.066463,-81.029229,NA I 20,Columbia,SC,29203,Richland County,US,No_Match,,,,,,,
COLUMBIA NORTHEAST KIDNEY CENTER,34.077489,-80.957802,7572 Parklane Rd,Columbia,SC,29223,Richland County,US,Match,Exact,71823330,R,45,079,011303,2024
"COMBS, FRED T., JR.",32.239441,-80.852099,40 Lake Linden Ln,Bluffton,SC,29910,Beaufort County,US,Match,Exact,87654943,R,45,013,002107,4000
COMFORCARE HOME CARE,34.786015,-82.47877,3401 Highway 153,Piedmont,SC,29673,Anderson County,US,Match,Non_Exact,640778465,L,45,007,010105,1009
COMFORCARE HOME CARE- GREATER CHARLOTTE,35.087177,-80.840285,7263 Pineville-Matthews Rd,Charlotte,NC,28226,Mecklenburg County,US,Match,Non_Exact,70505718,L,37,119,005853,1005
COMFORCARE HOME CARE-CHARLESTON,32.782013,-79.987658,3 Daniel St,Charleston,SC,29407,Charleston County,US,Match,Exact,605885798,R,45,019,003000,2013
COMFORCARE OF THE MIDLANDS,34.09933,-80.920221,44 Office Park Ct,Columbia,SC,29223,Richland County,US,Match,Exact,71855033,L,45,079,011411,3001
COMFORCARE SENIOR SERVICES - MYRTLE BEACH LLC,33.731708,-78.858541,1201 48th Ave N,Myrtle Beach,SC,29577,Horry County,US,No_Match,,,,,,,
COMFORT CARE HOSPICE,34.072114,-81.214258,2211 Lake Murray Blvd,Columbia,SC,29212,Lexington County,US,Match,Exact,70048467,R,45,063,021115,1006
COMFORT CARE PROVIDERS LLC,34.822137,-82.289918,1200 Woodruff Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,635858548,R,45,045,002805,1037
COMFORT CORNER HOME CARE,33.601273,-81.956658,401 Big Oak,North Augusta,SC,29860,Edgefield County,US,No_Match,,,,,,,
COMFORT HOME CARE INC,33.796387,-81.888784,1 Pecan Park,Edgefield,SC,29824,Edgefield County,US,Match,Exact,55847983,L,45,037,970203,2012
COMFORT HOME CARE OF SC,33.501888,-80.868008,1511 Carolina Ave,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19227870,L,45,075,011400,2016
COMFORT HOME CARE-GREENWOOD,34.191132,-82.161018,210 Main St,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50821693,L,45,047,970401,1016
COMFORT KEEPERS - ANDERSON,34.511748,-82.648379,402 E Greenville St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25451396,R,45,007,000200,2045
COMFORT KEEPERS - MYRTLE BEACH,33.723146,-78.879059,3009 Church St,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,651683865,R,45,051,050102,1037
COMFORT KEEPERS #429 OF NORTH AUGUSTA,33.494857,-81.971923,511 West Ave,North Augusta,SC,29841,Aiken County,US,Match,Exact,64984391,R,45,003,020802,1070
COMFORT KEEPERS #469 OF FLORENCE SUMTER & COLUMBIA,34.192322,-79.810216,218 Dozier Blvd,Florence,SC,29501,Florence County,US,Match,Exact,28885065,R,45,041,001100,1032
COMFORT KEEPERS OF GREENVILLE,34.866044,-82.331378,1200 Haywood Rd,Greenville,SC,29615,Greenville County,US,No_Match,,,,,,,
COMFORT KEEPERS OF WEST COLUMBIA,34.000931,-81.129309,3214 Leaphart Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,652911120,R,45,063,020506,1014
COMFORT KEEPERS SPARTANBURG,34.957282,-81.910641,791 E Main St,Spartanburg,SC,29302,Spartanburg County,US,Match,Non_Exact,19524109,R,45,083,021200,2002
COMFORTING HEARTS HOME CARE,34.302812,-79.870786,44 Public Sq,Darlington,SC,29532,Darlington County,US,Match,Exact,78399263,L,45,031,011100,1022
COMFORT-ZONE CARE,35.067551,-81.905351,341 Joe H Stephens Rd,Chesnee,SC,29323,Spartanburg County,US,No_Match,,,,,,,
COMMANDER NURSING CENTER,34.105143,-79.704175,4438 Pamplico Hwy,Florence,SC,29505,Florence County,US,Match,Exact,28906962,L,45,041,001602,1012
COMMONWISE HOME CARE CHARLESTON,32.795426,-79.955994,4 Kenilworth Ave,Charleston,SC,29403,Charleston County,US,Match,Exact,108806150,R,45,019,005900,1027
COMMUNITY HOME CARE OF SOUTH CAROLINA LLC,34.66638,-79.545256,100 E Railroad Ave,McColl,SC,29570,Marlboro County,US,Tie,,,,,,,
COMMUNITY HOME CARE SERVICES LLC,34.836557,-82.36707,294 S Pleasantburg Dr,Greenville,SC,29607,Greenville County,US,Tie,,,,,,,
COMPASS POST ACUTE REHABILITATION,33.843455,-79.09133,2320 Hwy 378,Conway,SC,29527,Horry County,US,Match,Non_Exact,639286548,R,45,051,070400,1032
COMPASSION HEALTHCARE,32.317926,-80.93993,502 Browns Cove Rd,Ridgeland,SC,29936,Jasper County,US,Match,Exact,33162995,R,45,053,950201,2041
COMPASSION HEARTS HOME CARE,33.196882,-79.993012,230 N Hwy 52,Moncks Corner,SC,29461,Berkeley County,US,No_Match,,,,,,,
COMPASSIONATE CARE AT HOME LLC,33.946743,-79.747637,NA US 52,Scranton,SC,29591,Florence County,US,No_Match,,,,,,,
COMPASSIONATE CARE SENIOR SERVICES,33.835685,-79.046489,315 Main St,Conway,SC,29526,Horry County,US,Match,Exact,29042983,L,45,051,070200,2080
COMPASSIONATE CAREGIVERS LLC,33.77485,-80.972257,150 Furtick Rd,Swansea,SC,29160,Lexington County,US,Match,Exact,70048088,L,45,063,020801,1003
COMPASSIONATE COUNSELING SERVICES LLC,34.926905,-79.751712,1217 State Rd 1648,Rockingham,NC,28379,Richmond County,US,No_Match,,,,,,,
COMPASSIONATE HANDS HOMECARE SERVICES LLC,34.866052,-82.381402,427 Wade Hampton Blvd,Greenville,SC,29609,Greenville County,US,Match,Exact,38357661,L,45,045,001101,4028
COMPASSIONATE HEARTS HEALTHCARE,33.563133,-81.721189,231 Barnwell Ave NW,North Augusta,SC,29841,Aiken County,US,No_Match,,,,,,,
COMPASSIONATE HOME CARE SERVICES LLC,33.496195,-82.138599,209 S Belair Rd,Augusta,GA,30907,Columbia County,US,Match,Non_Exact,55378636,L,13,073,030313,3000
COMPASSIONATE PRIVATE DUTY SITTERS,34.035002,-81.091982,1200 Bakersfield Rd,Columbia,SC,29210,Richland County,US,Match,Exact,647345079,R,45,079,010403,1047
COMPASSUS-CHARLESTON,32.481628,-80.979561,10876 N Jacob Smart Blvd,Ridgeland,SC,29936,Jasper County,US,Match,Non_Exact,33148435,R,45,053,950203,3024
COMPLETE CARE,33.088721,-80.197633,204 Summer View Rd,Summerville,SC,29486,Berkeley County,US,Match,Exact,605127732,L,45,015,020710,2006
COMPLETE CARE MANAGEMENT SERVICES LLC,34.941563,-81.912443,716 Union St,Spartanburg,SC,29306,Spartanburg County,US,Match,Exact,19471388,R,45,083,021100,1019
COMPLETE HOME CARE SERVICES,34.048497,-80.986149,5304 US Hwy 1,Columbia,SC,29204,Richland County,US,No_Match,,,,,,,
COMPLETE HOMECARE OF AMERICA,34.808457,-82.286682,128 Millport Cir,Greenville,SC,29607,Greenville County,US,Match,Exact,633720494,R,45,045,002811,1011
COMPLETE PRO HOME CARE,34.977046,-81.95002,102 Metro Dr,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19491579,R,45,083,021600,1011
CONDOR HEALTH - ANDERSON,34.496019,-82.639506,611 E Hampton St,Anderson,SC,29624,Anderson County,US,Match,Exact,639312439,L,45,007,000600,3004
CONIFER I COMMUNITY RESIDENCE,33.167974,-80.044474,110 Resinwood Rd,Moncks Corner,SC,29461,Berkeley County,US,Match,Exact,100737132,L,45,015,020505,2023
CONIFER II COMMUNITY RESIDENCE,33.168269,-80.04406,114 Resinwood Rd,Moncks Corner,SC,29461,Berkeley County,US,Match,Exact,100737132,L,45,015,020505,2023
"CONLEY, MARIE A.",33.015336,-80.244571,197 Regent St,Summerville,SC,29483,Dorchester County,US,Match,Exact,178458303,R,45,035,010503,2002
CONNECTED HEARTS HOME CARE LLC,34.020347,-80.983749,3962 State Hwy 12,Columbia,SC,29204,Richland County,US,No_Match,,,,,,,
CONTINUECARE HOSPITAL AT PALMETTO HEALTH BAPTIST,34.008941,-81.033302,1700 Marion St,Columbia,SC,29201,Richland County,US,Match,Exact,71820729,R,45,079,003100,1025
