"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"45","South Carolina","45031010700","Darlington County, SC - 45031010700","2013-2017","41.2%","",
"45","South Carolina","45031010800","Darlington County, SC - 45031010800","2013-2017","23.4%","",
"45","South Carolina","45031010900","Darlington County, SC - 45031010900","2013-2017","29.2%","",
"45","South Carolina","45031011000","Darlington County, SC - 45031011000","2013-2017","27.5%","",
"45","South Carolina","45031011100","Darlington County, SC - 45031011100","2013-2017","33.5%","",
"45","South Carolina","45031011200","Darlington County, SC - 45031011200","2013-2017","35.2%","",
"45","South Carolina","45031011300","Darlington County, SC - 45031011300","2013-2017","31.3%","",
"45","South Carolina","45031011400","Darlington County, SC - 45031011400","2013-2017","40.6%","",
"45","South Carolina","45031011500","Darlington County, SC - 45031011500","2013-2017","41.1%","",
"45","South Carolina","45031011600","Darlington County, SC - 45031011600","2013-2017","46.6%","",
"45","South Carolina","45033970100","Dillon County, SC - 45033970100","2013-2017","43.7%","",
"45","South Carolina","45033970200","Dillon County, SC - 45033970200","2013-2017","36.5%","",
"45","South Carolina","45033970300","Dillon County, SC - 45033970300","2013-2017","37.8%","",
"45","South Carolina","45033970400","Dillon County, SC - 45033970400","2013-2017","57.1%","",
"45","South Carolina","45033970500","Dillon County, SC - 45033970500","2013-2017","47.6%","",
"45","South Carolina","45033970600","Dillon County, SC - 45033970600","2013-2017","44.7%","",
"45","South Carolina","45035010100","Dorchester County, SC - 45035010100","2013-2017","44.6%","",
"45","South Carolina","45035010200","Dorchester County, SC - 45035010200","2013-2017","49.9%","",
"45","South Carolina","45035010300","Dorchester County, SC - 45035010300","2013-2017","42.5%","",
"45","South Carolina","45035010400","Dorchester County, SC - 45035010400","2013-2017","30.0%","",
"45","South Carolina","45035010501","Dorchester County, SC - 45035010501","2013-2017","11.7%","",
"45","South Carolina","45035010503","Dorchester County, SC - 45035010503","2013-2017","9.6%","",
"45","South Carolina","45035010504","Dorchester County, SC - 45035010504","2013-2017","20.7%","",
"45","South Carolina","45035010505","Dorchester County, SC - 45035010505","2013-2017","14.9%","",
"45","South Carolina","45035010603","Dorchester County, SC - 45035010603","2013-2017","15.2%","",
"45","South Carolina","45035010604","Dorchester County, SC - 45035010604","2013-2017","20.5%","",
"45","South Carolina","45035010605","Dorchester County, SC - 45035010605","2013-2017","26.0%","",
"45","South Carolina","45035010606","Dorchester County, SC - 45035010606","2013-2017","18.2%","",
"45","South Carolina","45035010700","Dorchester County, SC - 45035010700","2013-2017","18.8%","",
"45","South Carolina","45035010801","Dorchester County, SC - 45035010801","2013-2017","14.6%","",
"45","South Carolina","45035010807","Dorchester County, SC - 45035010807","2013-2017","13.4%","",
"45","South Carolina","45035010808","Dorchester County, SC - 45035010808","2013-2017","14.3%","",
"45","South Carolina","45035010809","Dorchester County, SC - 45035010809","2013-2017","13.0%","",
"45","South Carolina","45035010813","Dorchester County, SC - 45035010813","2013-2017","12.7%","",
"45","South Carolina","45035010814","Dorchester County, SC - 45035010814","2013-2017","12.8%","",
"45","South Carolina","45035010815","Dorchester County, SC - 45035010815","2013-2017","16.4%","",
"45","South Carolina","45035010816","Dorchester County, SC - 45035010816","2013-2017","4.8%","",
"45","South Carolina","45035010817","Dorchester County, SC - 45035010817","2013-2017","4.7%","",
"45","South Carolina","45035010818","Dorchester County, SC - 45035010818","2013-2017","17.9%","",
"45","South Carolina","45035010819","Dorchester County, SC - 45035010819","2013-2017","4.4%","",
"45","South Carolina","45035010820","Dorchester County, SC - 45035010820","2013-2017","3.3%","",
"45","South Carolina","45037970201","Edgefield County, SC - 45037970201","2013-2017","37.6%","",
"45","South Carolina","45037970202","Edgefield County, SC - 45037970202","2013-2017","44.2%","",
"45","South Carolina","45037970300","Edgefield County, SC - 45037970300","2013-2017","47.3%","",
"45","South Carolina","45037970400","Edgefield County, SC - 45037970400","2013-2017","34.3%","",
"45","South Carolina","45037970501","Edgefield County, SC - 45037970501","2013-2017","19.3%","",
"45","South Carolina","45037970502","Edgefield County, SC - 45037970502","2013-2017","16.5%","",
"45","South Carolina","45039960100","Fairfield County, SC - 45039960100","2013-2017","49.9%","",
"45","South Carolina","45039960200","Fairfield County, SC - 45039960200","2013-2017","40.9%","",
"45","South Carolina","45039960300","Fairfield County, SC - 45039960300","2013-2017","40.8%","",
"45","South Carolina","45039960400","Fairfield County, SC - 45039960400","2013-2017","44.3%","",
"45","South Carolina","45039960500","Fairfield County, SC - 45039960500","2013-2017","39.2%","",
"45","South Carolina","45041000101","Florence County, SC - 45041000101","2013-2017","8.3%","",
"45","South Carolina","45041000102","Florence County, SC - 45041000102","2013-2017","5.2%","",
"45","South Carolina","45041000201","Florence County, SC - 45041000201","2013-2017","13.5%","",
"45","South Carolina","45041000202","Florence County, SC - 45041000202","2013-2017","11.0%","",
"45","South Carolina","45041000300","Florence County, SC - 45041000300","2013-2017","21.1%","",
"45","South Carolina","45041000400","Florence County, SC - 45041000400","2013-2017","17.1%","",
"45","South Carolina","45041000500","Florence County, SC - 45041000500","2013-2017","28.2%","",
"45","South Carolina","45041000600","Florence County, SC - 45041000600","2013-2017","18.7%","",
"45","South Carolina","45041000700","Florence County, SC - 45041000700","2013-2017","46.2%","",
"45","South Carolina","45041000800","Florence County, SC - 45041000800","2013-2017","50.4%","",
"45","South Carolina","45041000900","Florence County, SC - 45041000900","2013-2017","49.1%","",
"45","South Carolina","45041001000","Florence County, SC - 45041001000","2013-2017","44.2%","",
"45","South Carolina","45041001100","Florence County, SC - 45041001100","2013-2017","27.5%","",
"45","South Carolina","45041001200","Florence County, SC - 45041001200","2013-2017","11.7%","",
"45","South Carolina","45041001300","Florence County, SC - 45041001300","2013-2017","21.5%","",
"45","South Carolina","45041001400","Florence County, SC - 45041001400","2013-2017","13.6%","",
"45","South Carolina","45041001503","Florence County, SC - 45041001503","2013-2017","13.8%","",
"45","South Carolina","45041001504","Florence County, SC - 45041001504","2013-2017","22.5%","",
"45","South Carolina","45041001505","Florence County, SC - 45041001505","2013-2017","11.1%","",
"45","South Carolina","45041001506","Florence County, SC - 45041001506","2013-2017","39.0%","",
"45","South Carolina","45041001601","Florence County, SC - 45041001601","2013-2017","38.0%","",
"45","South Carolina","45041001602","Florence County, SC - 45041001602","2013-2017","37.4%","",
"45","South Carolina","45041001700","Florence County, SC - 45041001700","2013-2017","44.4%","",
"45","South Carolina","45041001800","Florence County, SC - 45041001800","2013-2017","45.6%","",
"45","South Carolina","45041001900","Florence County, SC - 45041001900","2013-2017","38.1%","",
"45","South Carolina","45041002000","Florence County, SC - 45041002000","2013-2017","43.4%","",
"45","South Carolina","45041002201","Florence County, SC - 45041002201","2013-2017","46.2%","",
"45","South Carolina","45041002202","Florence County, SC - 45041002202","2013-2017","31.5%","",
"45","South Carolina","45041002300","Florence County, SC - 45041002300","2013-2017","38.6%","",
"45","South Carolina","45041002400","Florence County, SC - 45041002400","2013-2017","38.8%","",
"45","South Carolina","45041002500","Florence County, SC - 45041002500","2013-2017","24.1%","",
"45","South Carolina","45041002600","Florence County, SC - 45041002600","2013-2017","35.5%","",
"45","South Carolina","45041980100","Florence County, SC - 45041980100","2013-2017","0.0%","",
"45","South Carolina","45043920100","Georgetown County, SC - 45043920100","2013-2017","45.3%","",
"45","South Carolina","45043920201","Georgetown County, SC - 45043920201","2013-2017","37.5%","",
"45","South Carolina","45043920202","Georgetown County, SC - 45043920202","2013-2017","32.8%","",
"45","South Carolina","45043920301","Georgetown County, SC - 45043920301","2013-2017","29.7%","",
"45","South Carolina","45043920302","Georgetown County, SC - 45043920302","2013-2017","27.2%","",
"45","South Carolina","45043920400","Georgetown County, SC - 45043920400","2013-2017","52.3%","",
"45","South Carolina","45043920501","Georgetown County, SC - 45043920501","2013-2017","9.2%","",
"45","South Carolina","45043920502","Georgetown County, SC - 45043920502","2013-2017","16.3%","",
"45","South Carolina","45043920503","Georgetown County, SC - 45043920503","2013-2017","15.6%","",
"45","South Carolina","45043920504","Georgetown County, SC - 45043920504","2013-2017","6.8%","",
"45","South Carolina","45043920505","Georgetown County, SC - 45043920505","2013-2017","9.6%","",
"45","South Carolina","45043920600","Georgetown County, SC - 45043920600","2013-2017","30.0%","",
"45","South Carolina","45043920700","Georgetown County, SC - 45043920700","2013-2017","24.3%","",
"45","South Carolina","45043920800","Georgetown County, SC - 45043920800","2013-2017","31.4%","",
"45","South Carolina","45043990100","Georgetown County, SC - 45043990100","2013-2017","0.0%","",
"45","South Carolina","45045000100","Greenville County, SC - 45045000100","2013-2017","12.0%","",
"45","South Carolina","45045000200","Greenville County, SC - 45045000200","2013-2017","16.7%","",
"45","South Carolina","45045000400","Greenville County, SC - 45045000400","2013-2017","17.0%","",
"45","South Carolina","45045000500","Greenville County, SC - 45045000500","2013-2017","49.0%","",
"45","South Carolina","45045000700","Greenville County, SC - 45045000700","2013-2017","44.2%","",
"45","South Carolina","45045000800","Greenville County, SC - 45045000800","2013-2017","57.7%","",
"45","South Carolina","45045000900","Greenville County, SC - 45045000900","2013-2017","38.4%","",
"45","South Carolina","45045001000","Greenville County, SC - 45045001000","2013-2017","28.6%","",
"45","South Carolina","45045001101","Greenville County, SC - 45045001101","2013-2017","11.8%","",
"45","South Carolina","45045001102","Greenville County, SC - 45045001102","2013-2017","11.9%","",
"45","South Carolina","45045001203","Greenville County, SC - 45045001203","2013-2017","16.2%","",
"45","South Carolina","45045001204","Greenville County, SC - 45045001204","2013-2017","17.8%","",
"45","South Carolina","45045001205","Greenville County, SC - 45045001205","2013-2017","18.9%","",
"45","South Carolina","45045001302","Greenville County, SC - 45045001302","2013-2017","12.7%","",
"45","South Carolina","45045001400","Greenville County, SC - 45045001400","2013-2017","14.2%","",
"45","South Carolina","45045001501","Greenville County, SC - 45045001501","2013-2017","9.5%","",
"45","South Carolina","45045001502","Greenville County, SC - 45045001502","2013-2017","33.4%","",
"45","South Carolina","45045001600","Greenville County, SC - 45045001600","2013-2017","18.3%","",
"45","South Carolina","45045001700","Greenville County, SC - 45045001700","2013-2017","33.6%","",
"45","South Carolina","45045001803","Greenville County, SC - 45045001803","2013-2017","20.0%","",
"45","South Carolina","45045001804","Greenville County, SC - 45045001804","2013-2017","10.7%","",
"45","South Carolina","45045001805","Greenville County, SC - 45045001805","2013-2017","16.8%","",
"45","South Carolina","45045001807","Greenville County, SC - 45045001807","2013-2017","10.5%","",
"45","South Carolina","45045001808","Greenville County, SC - 45045001808","2013-2017","8.6%","",
"45","South Carolina","45045001809","Greenville County, SC - 45045001809","2013-2017","9.8%","",
"45","South Carolina","45045001810","Greenville County, SC - 45045001810","2013-2017","18.5%","",
"45","South Carolina","45045001900","Greenville County, SC - 45045001900","2013-2017","14.9%","",
"45","South Carolina","45045002001","Greenville County, SC - 45045002001","2013-2017","47.3%","",
"45","South Carolina","45045002003","Greenville County, SC - 45045002003","2013-2017","37.9%","",
"45","South Carolina","45045002005","Greenville County, SC - 45045002005","2013-2017","34.6%","",
"45","South Carolina","45045002103","Greenville County, SC - 45045002103","2013-2017","27.0%","",
"45","South Carolina","45045002104","Greenville County, SC - 45045002104","2013-2017","37.6%","",
"45","South Carolina","45045002105","Greenville County, SC - 45045002105","2013-2017","47.5%","",
"45","South Carolina","45045002106","Greenville County, SC - 45045002106","2013-2017","43.7%","",
"45","South Carolina","45045002107","Greenville County, SC - 45045002107","2013-2017","50.6%","",
"45","South Carolina","45045002108","Greenville County, SC - 45045002108","2013-2017","40.3%","",
"45","South Carolina","45045002201","Greenville County, SC - 45045002201","2013-2017","38.7%","",
"45","South Carolina","45045002202","Greenville County, SC - 45045002202","2013-2017","43.0%","",
"45","South Carolina","45045002301","Greenville County, SC - 45045002301","2013-2017","42.3%","",
"45","South Carolina","45045002302","Greenville County, SC - 45045002302","2013-2017","35.6%","",
"45","South Carolina","45045002303","Greenville County, SC - 45045002303","2013-2017","67.2%","",
"45","South Carolina","45045002304","Greenville County, SC - 45045002304","2013-2017","46.0%","",
"45","South Carolina","45045002402","Greenville County, SC - 45045002402","2013-2017","14.6%","",
"45","South Carolina","45045002403","Greenville County, SC - 45045002403","2013-2017","24.1%","",
"45","South Carolina","45045002404","Greenville County, SC - 45045002404","2013-2017","22.4%","",
"45","South Carolina","45045002503","Greenville County, SC - 45045002503","2013-2017","12.2%","",
"45","South Carolina","45045002504","Greenville County, SC - 45045002504","2013-2017","30.4%","",
"45","South Carolina","45045002505","Greenville County, SC - 45045002505","2013-2017","40.4%","",
"45","South Carolina","45045002506","Greenville County, SC - 45045002506","2013-2017","17.7%","",
"45","South Carolina","45045002507","Greenville County, SC - 45045002507","2013-2017","17.4%","",
"45","South Carolina","45045002602","Greenville County, SC - 45045002602","2013-2017","17.8%","",
"45","South Carolina","45045002604","Greenville County, SC - 45045002604","2013-2017","18.4%","",
"45","South Carolina","45045002606","Greenville County, SC - 45045002606","2013-2017","14.3%","",
"45","South Carolina","45045002608","Greenville County, SC - 45045002608","2013-2017","5.8%","",
"45","South Carolina","45045002609","Greenville County, SC - 45045002609","2013-2017","7.5%","",
"45","South Carolina","45045002610","Greenville County, SC - 45045002610","2013-2017","17.5%","",
"45","South Carolina","45045002611","Greenville County, SC - 45045002611","2013-2017","24.8%","",
"45","South Carolina","45045002701","Greenville County, SC - 45045002701","2013-2017","20.3%","",
"45","South Carolina","45045002702","Greenville County, SC - 45045002702","2013-2017","11.6%","",
"45","South Carolina","45045002803","Greenville County, SC - 45045002803","2013-2017","10.0%","",
"45","South Carolina","45045002804","Greenville County, SC - 45045002804","2013-2017","9.9%","",
"45","South Carolina","45045002805","Greenville County, SC - 45045002805","2013-2017","11.9%","",
"45","South Carolina","45045002808","Greenville County, SC - 45045002808","2013-2017","15.3%","",
"45","South Carolina","45045002811","Greenville County, SC - 45045002811","2013-2017","7.6%","",
"45","South Carolina","45045002812","Greenville County, SC - 45045002812","2013-2017","3.8%","",
"45","South Carolina","45045002813","Greenville County, SC - 45045002813","2013-2017","2.9%","",
"45","South Carolina","45045002814","Greenville County, SC - 45045002814","2013-2017","4.3%","",
"45","South Carolina","45045002815","Greenville County, SC - 45045002815","2013-2017","5.7%","",
"45","South Carolina","45045002816","Greenville County, SC - 45045002816","2013-2017","5.9%","",
"45","South Carolina","45045002901","Greenville County, SC - 45045002901","2013-2017","17.8%","",
"45","South Carolina","45045002903","Greenville County, SC - 45045002903","2013-2017","20.0%","",
"45","South Carolina","45045002904","Greenville County, SC - 45045002904","2013-2017","11.9%","",
"45","South Carolina","45045002905","Greenville County, SC - 45045002905","2013-2017","4.9%","",
"45","South Carolina","45045003005","Greenville County, SC - 45045003005","2013-2017","26.8%","",
"45","South Carolina","45045003008","Greenville County, SC - 45045003008","2013-2017","4.8%","",
"45","South Carolina","45045003009","Greenville County, SC - 45045003009","2013-2017","5.4%","",
"45","South Carolina","45045003010","Greenville County, SC - 45045003010","2013-2017","9.6%","",
"45","South Carolina","45045003011","Greenville County, SC - 45045003011","2013-2017","17.7%","",
"45","South Carolina","45045003012","Greenville County, SC - 45045003012","2013-2017","15.7%","",
"45","South Carolina","45045003013","Greenville County, SC - 45045003013","2013-2017","4.8%","",
"45","South Carolina","45045003014","Greenville County, SC - 45045003014","2013-2017","8.7%","",
"45","South Carolina","45045003015","Greenville County, SC - 45045003015","2013-2017","4.9%","",
"45","South Carolina","45045003101","Greenville County, SC - 45045003101","2013-2017","17.3%","",
"45","South Carolina","45045003103","Greenville County, SC - 45045003103","2013-2017","14.6%","",
"45","South Carolina","45045003104","Greenville County, SC - 45045003104","2013-2017","23.8%","",
"45","South Carolina","45045003201","Greenville County, SC - 45045003201","2013-2017","23.7%","",
"45","South Carolina","45045003202","Greenville County, SC - 45045003202","2013-2017","34.1%","",
"45","South Carolina","45045003301","Greenville County, SC - 45045003301","2013-2017","27.6%","",
"45","South Carolina","45045003303","Greenville County, SC - 45045003303","2013-2017","27.7%","",
"45","South Carolina","45045003304","Greenville County, SC - 45045003304","2013-2017","13.9%","",
"45","South Carolina","45045003401","Greenville County, SC - 45045003401","2013-2017","42.2%","",
"45","South Carolina","45045003500","Greenville County, SC - 45045003500","2013-2017","34.5%","",
"45","South Carolina","45045003601","Greenville County, SC - 45045003601","2013-2017","38.7%","",
"45","South Carolina","45045003602","Greenville County, SC - 45045003602","2013-2017","48.4%","",
"45","South Carolina","45045003701","Greenville County, SC - 45045003701","2013-2017","24.5%","",
"45","South Carolina","45045003704","Greenville County, SC - 45045003704","2013-2017","46.8%","",
"45","South Carolina","45045003705","Greenville County, SC - 45045003705","2013-2017","31.2%","",
"45","South Carolina","45045003706","Greenville County, SC - 45045003706","2013-2017","37.9%","",
"45","South Carolina","45045003707","Greenville County, SC - 45045003707","2013-2017","47.1%","",
"45","South Carolina","45045003801","Greenville County, SC - 45045003801","2013-2017","15.2%","",
"45","South Carolina","45045003802","Greenville County, SC - 45045003802","2013-2017","17.8%","",
"45","South Carolina","45045003902","Greenville County, SC - 45045003902","2013-2017","29.3%","",
"45","South Carolina","45045003903","Greenville County, SC - 45045003903","2013-2017","35.5%","",
"45","South Carolina","45045003904","Greenville County, SC - 45045003904","2013-2017","21.7%","",
"45","South Carolina","45045004001","Greenville County, SC - 45045004001","2013-2017","25.9%","",
"45","South Carolina","45045004002","Greenville County, SC - 45045004002","2013-2017","23.7%","",
"45","South Carolina","45045004101","Greenville County, SC - 45045004101","2013-2017","34.9%","",
"45","South Carolina","45045004102","Greenville County, SC - 45045004102","2013-2017","39.3%","",
"45","South Carolina","45045004200","Greenville County, SC - 45045004200","2013-2017","13.9%","",
"45","South Carolina","45045004300","Greenville County, SC - 45045004300","2013-2017","48.6%","",
"45","South Carolina","45045004400","Greenville County, SC - 45045004400","2013-2017","27.6%","",
"45","South Carolina","45047970101","Greenwood County, SC - 45047970101","2013-2017","25.2%","",
"45","South Carolina","45047970102","Greenwood County, SC - 45047970102","2013-2017","31.1%","",
"45","South Carolina","45047970201","Greenwood County, SC - 45047970201","2013-2017","20.7%","",
"45","South Carolina","45047970202","Greenwood County, SC - 45047970202","2013-2017","22.7%","",
"45","South Carolina","45047970301","Greenwood County, SC - 45047970301","2013-2017","23.8%","",
"45","South Carolina","45047970302","Greenwood County, SC - 45047970302","2013-2017","14.0%","",
"45","South Carolina","45047970400","Greenwood County, SC - 45047970400","2013-2017","23.9%","",
"45","South Carolina","45047970500","Greenwood County, SC - 45047970500","2013-2017","57.0%","",
"45","South Carolina","45047970600","Greenwood County, SC - 45047970600","2013-2017","34.9%","",
"45","South Carolina","45047970701","Greenwood County, SC - 45047970701","2013-2017","12.8%","",
"45","South Carolina","45047970702","Greenwood County, SC - 45047970702","2013-2017","30.4%","",
"45","South Carolina","45047970800","Greenwood County, SC - 45047970800","2013-2017","31.8%","",
"45","South Carolina","45047970900","Greenwood County, SC - 45047970900","2013-2017","24.8%","",
"45","South Carolina","45047971000","Greenwood County, SC - 45047971000","2013-2017","27.8%","",
"45","South Carolina","45049920100","Hampton County, SC - 45049920100","2013-2017","27.9%","",
"45","South Carolina","45049920200","Hampton County, SC - 45049920200","2013-2017","33.5%","",
"45","South Carolina","45049920300","Hampton County, SC - 45049920300","2013-2017","30.0%","",
"45","South Carolina","45049920400","Hampton County, SC - 45049920400","2013-2017","38.3%","",
"45","South Carolina","45049920500","Hampton County, SC - 45049920500","2013-2017","43.4%","",
"45","South Carolina","45051010100","Horry County, SC - 45051010100","2013-2017","40.2%","",
"45","South Carolina","45051020100","Horry County, SC - 45051020100","2013-2017","34.6%","",
"45","South Carolina","45051020200","Horry County, SC - 45051020200","2013-2017","34.7%","",
"45","South Carolina","45051020300","Horry County, SC - 45051020300","2013-2017","35.2%","",
"45","South Carolina","45051030101","Horry County, SC - 45051030101","2013-2017","36.2%","",
"45","South Carolina","45051030102","Horry County, SC - 45051030102","2013-2017","19.0%","",
"45","South Carolina","45051030103","Horry County, SC - 45051030103","2013-2017","19.8%","",
"45","South Carolina","45051040101","Horry County, SC - 45051040101","2013-2017","9.5%","",
"45","South Carolina","45051040102","Horry County, SC - 45051040102","2013-2017","17.0%","",
"45","South Carolina","45051040103","Horry County, SC - 45051040103","2013-2017","8.6%","",
"45","South Carolina","45051040104","Horry County, SC - 45051040104","2013-2017","15.1%","",
"45","South Carolina","45051040105","Horry County, SC - 45051040105","2013-2017","17.6%","",
"45","South Carolina","45051040200","Horry County, SC - 45051040200","2013-2017","14.2%","",
"45","South Carolina","45051040300","Horry County, SC - 45051040300","2013-2017","16.7%","",
"45","South Carolina","45051040400","Horry County, SC - 45051040400","2013-2017","9.8%","",
"45","South Carolina","45051040500","Horry County, SC - 45051040500","2013-2017","15.3%","",
"45","South Carolina","45051050102","Horry County, SC - 45051050102","2013-2017","12.6%","",
"45","South Carolina","45051050200","Horry County, SC - 45051050200","2013-2017","11.2%","",
"45","South Carolina","45051050303","Horry County, SC - 45051050303","2013-2017","16.3%","",
"45","South Carolina","45051050401","Horry County, SC - 45051050401","2013-2017","22.5%","",
"45","South Carolina","45051050402","Horry County, SC - 45051050402","2013-2017","14.9%","",
"45","South Carolina","45051050500","Horry County, SC - 45051050500","2013-2017","17.3%","",
"45","South Carolina","45051050600","Horry County, SC - 45051050600","2013-2017","43.2%","",
"45","South Carolina","45051050700","Horry County, SC - 45051050700","2013-2017","17.8%","",
"45","South Carolina","45051050900","Horry County, SC - 45051050900","2013-2017","29.5%","",
"45","South Carolina","45051051000","Horry County, SC - 45051051000","2013-2017","8.4%","",
"45","South Carolina","45051051201","Horry County, SC - 45051051201","2013-2017","15.8%","",
"45","South Carolina","45051051202","Horry County, SC - 45051051202","2013-2017","9.1%","",
"45","South Carolina","45051051301","Horry County, SC - 45051051301","2013-2017","15.8%","",
"45","South Carolina","45051051302","Horry County, SC - 45051051302","2013-2017","10.7%","",
"45","South Carolina","45051051403","Horry County, SC - 45051051403","2013-2017","7.6%","",
"45","South Carolina","45051051404","Horry County, SC - 45051051404","2013-2017","10.9%","",
"45","South Carolina","45051051405","Horry County, SC - 45051051405","2013-2017","8.5%","",
"45","South Carolina","45051051406","Horry County, SC - 45051051406","2013-2017","24.9%","",
"45","South Carolina","45051051501","Horry County, SC - 45051051501","2013-2017","20.5%","",
"45","South Carolina","45051051502","Horry County, SC - 45051051502","2013-2017","14.2%","",
"45","South Carolina","45051051503","Horry County, SC - 45051051503","2013-2017","24.2%","",
"45","South Carolina","45051051601","Horry County, SC - 45051051601","2013-2017","9.1%","",
"45","South Carolina","45051051603","Horry County, SC - 45051051603","2013-2017","22.0%","",
"45","South Carolina","45051051604","Horry County, SC - 45051051604","2013-2017","4.1%","",
"45","South Carolina","45051051605","Horry County, SC - 45051051605","2013-2017","13.0%","",
"45","South Carolina","45051051700","Horry County, SC - 45051051700","2013-2017","22.3%","",
"45","South Carolina","45051060101","Horry County, SC - 45051060101","2013-2017","24.4%","",
"45","South Carolina","45051060102","Horry County, SC - 45051060102","2013-2017","20.4%","",
"45","South Carolina","45051060203","Horry County, SC - 45051060203","2013-2017","10.2%","",
"45","South Carolina","45051060204","Horry County, SC - 45051060204","2013-2017","7.8%","",
"45","South Carolina","45051060206","Horry County, SC - 45051060206","2013-2017","3.0%","",
"45","South Carolina","45051060207","Horry County, SC - 45051060207","2013-2017","10.8%","",
"45","South Carolina","45051060208","Horry County, SC - 45051060208","2013-2017","4.5%","",
"45","South Carolina","45051060209","Horry County, SC - 45051060209","2013-2017","1.6%","",
"45","South Carolina","45051060301","Horry County, SC - 45051060301","2013-2017","15.2%","",
"45","South Carolina","45051060303","Horry County, SC - 45051060303","2013-2017","4.9%","",
"45","South Carolina","45051060308","Horry County, SC - 45051060308","2013-2017","5.9%","",
"45","South Carolina","45051060403","Horry County, SC - 45051060403","2013-2017","7.1%","",
"45","South Carolina","45051060404","Horry County, SC - 45051060404","2013-2017","1.6%","",
"45","South Carolina","45051060405","Horry County, SC - 45051060405","2013-2017","9.0%","",
"45","South Carolina","45051060406","Horry County, SC - 45051060406","2013-2017","7.5%","",
"45","South Carolina","45051070101","Horry County, SC - 45051070101","2013-2017","18.7%","",
"45","South Carolina","45051070102","Horry County, SC - 45051070102","2013-2017","16.5%","",
"45","South Carolina","45051070200","Horry County, SC - 45051070200","2013-2017","12.9%","",
"45","South Carolina","45051070300","Horry County, SC - 45051070300","2013-2017","23.1%","",
"45","South Carolina","45051070400","Horry County, SC - 45051070400","2013-2017","17.5%","",
"45","South Carolina","45051070500","Horry County, SC - 45051070500","2013-2017","21.3%","",
"45","South Carolina","45051070601","Horry County, SC - 45051070601","2013-2017","21.0%","",
"45","South Carolina","45051070602","Horry County, SC - 45051070602","2013-2017","21.0%","",
"45","South Carolina","45051070701","Horry County, SC - 45051070701","2013-2017","17.3%","",
"45","South Carolina","45051070702","Horry County, SC - 45051070702","2013-2017","29.8%","",
"45","South Carolina","45051080101","Horry County, SC - 45051080101","2013-2017","24.3%","",
"45","South Carolina","45051080102","Horry County, SC - 45051080102","2013-2017","30.3%","",
"45","South Carolina","45051080200","Horry County, SC - 45051080200","2013-2017","21.0%","",
"45","South Carolina","45051980100","Horry County, SC - 45051980100","2013-2017","17.3%","",
"45","South Carolina","45051990100","Horry County, SC - 45051990100","2013-2017","0.0%","",
"45","South Carolina","45053950100","Jasper County, SC - 45053950100","2013-2017","29.2%","",
"45","South Carolina","45053950201","Jasper County, SC - 45053950201","2013-2017","23.3%","",
"45","South Carolina","45053950202","Jasper County, SC - 45053950202","2013-2017","43.1%","",
"45","South Carolina","45053950300","Jasper County, SC - 45053950300","2013-2017","40.5%","",
"45","South Carolina","45053990100","Jasper County, SC - 45053990100","2013-2017","0.0%","",
"45","South Carolina","45055970100","Kershaw County, SC - 45055970100","2013-2017","46.4%","",
"45","South Carolina","45055970200","Kershaw County, SC - 45055970200","2013-2017","40.9%","",
"45","South Carolina","45055970300","Kershaw County, SC - 45055970300","2013-2017","34.0%","",
"45","South Carolina","45055970401","Kershaw County, SC - 45055970401","2013-2017","27.6%","",
"45","South Carolina","45055970402","Kershaw County, SC - 45055970402","2013-2017","29.0%","",
"45","South Carolina","45055970403","Kershaw County, SC - 45055970403","2013-2017","28.8%","",
"45","South Carolina","45055970500","Kershaw County, SC - 45055970500","2013-2017","22.4%","",
"45","South Carolina","45055970601","Kershaw County, SC - 45055970601","2013-2017","32.7%","",
"45","South Carolina","45055970602","Kershaw County, SC - 45055970602","2013-2017","38.9%","",
"45","South Carolina","45055970700","Kershaw County, SC - 45055970700","2013-2017","28.0%","",
"45","South Carolina","45055970800","Kershaw County, SC - 45055970800","2013-2017","34.2%","",
"45","South Carolina","45055970902","Kershaw County, SC - 45055970902","2013-2017","30.8%","",
"45","South Carolina","45055970903","Kershaw County, SC - 45055970903","2013-2017","25.2%","",
"45","South Carolina","45055970904","Kershaw County, SC - 45055970904","2013-2017","16.5%","",
"45","South Carolina","45055970905","Kershaw County, SC - 45055970905","2013-2017","19.8%","",
"45","South Carolina","45057010100","Lancaster County, SC - 45057010100","2013-2017","18.6%","",
"45","South Carolina","45057010200","Lancaster County, SC - 45057010200","2013-2017","30.1%","",
"45","South Carolina","45057010300","Lancaster County, SC - 45057010300","2013-2017","36.5%","",
"45","South Carolina","45057010400","Lancaster County, SC - 45057010400","2013-2017","37.8%","",
"45","South Carolina","45057010500","Lancaster County, SC - 45057010500","2013-2017","41.1%","",
"45","South Carolina","45057010600","Lancaster County, SC - 45057010600","2013-2017","31.1%","",
"45","South Carolina","45057010700","Lancaster County, SC - 45057010700","2013-2017","54.9%","",
"45","South Carolina","45057010800","Lancaster County, SC - 45057010800","2013-2017","44.3%","",
"45","South Carolina","45057010900","Lancaster County, SC - 45057010900","2013-2017","15.5%","",
"45","South Carolina","45057011001","Lancaster County, SC - 45057011001","2013-2017","27.3%","",
