name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Beckman Center for Mental Health,Laurens Clinic,442 Professional Park Road,,Clinton,SC,29325,,Laurens,864-938-0912,,,,http://www.beckmancenter.com,34.4819399,-81.9352671,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,,,,,,1,,1,1,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Community Mental Health Center,Lancaster Clinic,1906 Highway 521 Bypass South,,Lancaster,SC,29720,,Lancaster,803-285-7456,,,,http://www.scdmh.net,34.7022833,-80.7457958,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,,1,,1,,1,1,,,1,1,,,,,,1,1,1,,1,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckman Center for Mental Health,McCormick Clinic,202 Highway 28 North,,McCormick,SC,29835,,McCormick,864-465-2412,,,,http://www.beckmancenter.com,33.9106194,-82.2941398,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,1,,,,,1,,1,1,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg Area Mental Health Center,Union Mental Mental Health Center,130 Medical Sciences Drive,,Union,SC,29379,,Union,864-427-1224,,,,http://www.SCDMH.org,34.7156363,-81.6435349,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,,1,1,1,,,,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Empire Community MH Ctr,Hampton County Mental Health Clinic,65 Forest Drive,,Varnville,SC,29944,,Hampton,803-943-2828,,,,http://www.cecmhc.org,32.854723,-81.090566,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colleton Medical Center,,501 Robertson Boulevard,,Walterboro,SC,29488,,Colleton,843-782-2380,Intake,,843-782-2811,http://www.colletonmedical.com/,32.923153,-80.66984,MH,1,1,,,,,,,,1,,1,1,1,,,1,1,,1,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,1,1,,1,1,,,,1,,,1,1,,,1,,,,,,1,,1,1,,,,,,,,1,,1,1,,,1,,1,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Empire Community MH Ctr,Colleton County Area Office,507 Forest Circle,,Walterboro,SC,29488,,Colleton,843-549-1551,,,,http://www.cecmhc.org,32.9150564,-80.6791371,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,1,,,,1,1,1,1,1,,1,1,,,,1,1,1,,1,1,1,,1,,,,,,,,,,,1,1,,,,,,1,,1,,1,1,,,1,,,,,,,1,,1,1,,,,,1,1,1,1,,,,,,1,,,,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee Mental Health Center,Hartsville Clinic,900 South 4th Street,,Hartsville,SC,29550,,Darlington,843-332-4141,,,,http://www.peedeementalhealth.org,34.3635086,-80.0646245,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,1,,1,1,,1,,,,1,,1,1,1,,1,,1,1,1,1,,,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebound Behavioral Health,,134 East Rebound Road,,Lancaster,SC,29720,,Lancaster,803-313-3700,,,,http://www.reboundbehavioralhealth.com,34.8630169,-80.8029127,MH,1,1,,,,,,,,1,,,1,,,1,,1,,,,,,1,,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,1,1,1,1,1,,,,1,,1,,1,1,1,1,,1,1,,,1,,,,1,,1,1,,,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckman Center for Mental Health,Abbeville Clinic,101 Commercial Drive,,Abbeville,SC,29620,5593,Abbeville,864-459-9671,,,,http://www.beckmancenter.com,34.1781719,-82.3790147,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,,,,,,1,,1,1,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Community Mental Health Center,Catawba Family Center,448 Lake Shore Parkway,Suite 110,Rock Hill,SC,29732,,York,803-329-3177,,,,http://www.scdmh.net,34.9327896,-80.9992743,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,,1,,,,,1,1,,1,1,,,1,,1,,,,1,,,1,1,,1,,,,,,,,,1,,,,,,1,1,1,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Carolinas Inc,,101 Sedgewood Drive,,Rock Hill,SC,29732,,York,803-328-9300,Intakes,800-776-6482,800-520-2810,http://www.newhopetreatment.com,34.950516,-81.040136,MH,1,,1,,,,,,,1,,1,1,1,1,,1,1,,1,1,,,,1,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,1,1,,,1,1,,,1,,,,,,1,,,,,1,1,,,,,,,,1,,,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Community Mental Health Center,York Adult Services,205 Piedmont Boulevard,,Rock Hill,SC,29732,,York,803-327-2012,Intake,,800-252-2168,http://www.scdmh.net,34.954053,-81.0503655,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,,,,1,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,,,,,,,1,,1,1,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmont Medical Center,Center for Psychiatry,222 South Herlong Avenue,,Rock Hill,SC,29732,1158,York,803-329-1234,Intake,803-323-6224,,http://www.piedmontmedicalcenter.com,34.956853,-81.05266,MH,1,1,,,,,,,,1,1,1,1,,,1,,1,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,,,1,1,,1,1,,,,1,,,1,1,,1,1,,,,1,,1,,1,1,,,,1,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Waccamaw Center for Mental Health,Williamsburg Clinic,501 Nelson Boulevard,,Kingstree,SC,29556,4026,Williamsburg,843-354-5453,Intake,,800-354-5456,http://www.waccamawmentalhealth.org/,33.660651,-79.820402,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,1,1,,1,,1,1,,,1,1,,1,,,,1,,1,1,1,,,,1,1,1,1,,,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowglen Academy,Psych Residential Treatment Fac,1370 Williamsburg County Highway North,,Kingstree,SC,29556,,Williamsburg,843-201-4888,Intake,803-473-4656,,http://www.phoenixcaresystems.com,33.716016,-79.810205,MH,1,,1,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,,1,,,,,,,,,1,1,,1,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,1,,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,1,,,,1,,1,1,,,1,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee Mental Health Center,Lake City Clinic,675 North Matthews Road,,Lake City,SC,29560,7027,Florence,843-394-7600,Intake,,843-661-4882,http://www.scdmh.net,33.8892453,-79.7643012,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,,,1,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,,,,,1,,,1,,,,1,,,,1,,1,,1,1,,,1,,,,,,,1,,1,1,,,,,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Community Mental Health Ctr,,403 Stony Landing Road,P.O. Box 1030,Moncks Corner,SC,29461,,Berkeley,843-761-8282 x370,Intakes,843-761-8282 x300,888-202-1381 x300,http://www.berkeleymentalhealth.org,33.1970381,-79.9915257,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,,,1,,,,,,,,1,1,,,1,1,1,,,,,1,1,,1,1,1,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Florence Clinic,6439 Garners Ferry Road,,Columbia,SC,29209,1638,Richland,843-292-8383 x6823,,,,http://www.columbiasc.va.gov/,34.2208479,-79.800825,MH,1,,,,,,,,,1,,1,1,,1,,1,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,,,,1,1,,,,,,1,,,1,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLeod Behavioral Health Services,,701 Cashua Ferry Road,,Darlington,SC,29532,,Darlington,843-395-4200,Intake,843-395-4234,,http://www.mcleodhealth.org/,34.3133249,-79.8399159,MH,1,1,,,,,,,,1,1,1,1,,,1,,1,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,1,,,,,1,1,,,,,1,1,,1,,,,,1,,,1,1,1,,,1,,,1,,1,,1,1,,,,,,,,1,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Summerville Behavioral Health,,225 Midland Parkway,,Summerville,SC,29485,,Dorchester,843-851-5015 x2201,Intake,843-851-5015,,http://www.palmettosummerville.com,32.9656108,-80.1609559,MH,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston/Dorchester CDMHC,Dorchester County Mental Health,106 Springview Lane,,Summerville,SC,29485,,Dorchester,843-873-5063,Intake,843-832-3086,,http://www.charlestondorchestermhc.org/,32.959879,-80.1618489,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,,1,1,,,,1,,1,,1,1,,,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,1,,1,1,,1,,,,,1,,1,,,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee Mental Health Center,Executive Offices,125 East Cheves Street,,Florence,SC,29506,2526,Florence,843-317-4089,Intake,843-317-4073,,http://www.peedeementalhealth.org,34.195306,-79.764989,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,,,1,,1,,1,,1,1,,,1,1,,,,,,1,,1,1,1,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee Mental Health Center,Florence County Clinic,125 East Cheves Street,,Florence,SC,29506,,Florence,843-317-4073,,,,http://www.peedeementalhealth.org,34.1965837,-79.7651334,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,,1,,1,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Beh and Medical Group LLC,,181 East Evans Street,Suite 314,Florence,SC,29506,,Florence,843-407-5959,,,,http://,34.1975711,-79.7646078,MH,1,,,,,,1,,,1,1,1,1,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,1,,,1,,,,,,,,1,,1,1,,,1,1,1,1,1,,1,,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident Medical Center,Lowcountry Transitions,9330 Medical Plaza Drive,,Charleston,SC,29406,9195,Charleston,843-843-3010,Intake,854-900-5000,,http://tridenthealthsystem.com/service/behavioral-health,32.9765421,-80.0736317,MH,1,1,,,,,,,,,,1,1,,,1,,1,1,1,1,,,1,,1,,,,,,,,1,1,1,1,1,1,1,,,,1,,,,1,1,1,,,1,,1,1,1,1,1,,1,1,1,,1,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,1,1,,1,,,,1,,1,,1,1,1,,,,,1,,1,,,1,1,,1,1,1,,1,1,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Greenville Mental Health,Simpsonville Clinic,20 Powderhorn Road,,Simpsonville,SC,29681,,Greenville,864-963-3421,,,,http://www.greenvillementalhealth.org/,34.7220931,-82.2494172,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,1,1,1,,,,,1,1,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri County Mental Health Center,Chesterfield Clinic,207 Perry Wiley Way,,Chesterfield,SC,29709,,Chesterfield,843-623-2229,,,,http://tricountycmhc.org/,34.7288105,-80.0545637,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,,,1,,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg Medical Center,Mary Black,1700 Skylyn Drive,,Spartanburg,SC,29307,,Spartanburg,864-573-3725,,,,http://www.spartanburgregional.com,34.9783003,-81.8951782,MH,1,1,,,,,,,,1,1,1,1,,,1,,1,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,,1,,,1,,1,,,,,,1,,,,,1,,,,,,,1,,,,,1,1,,1,,,1,,,1,1,,,,1,,,,1,1,,,1,,,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,,1,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg Area Mental Health Center,Spartanburg Mental Health Clinic,250 Dewey Avenue,,Spartanburg,SC,29303,,Spartanburg,864-585-0366,,,,http://www.SCDMH.org,34.9626889,-81.9422878,MH,1,,,,,,,1,,1,1,1,1,,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,,1,1,,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg Area Mental Health Center,Cherokee Mental Health Clinic,125 East Robinson Street,,Gaffney,SC,29340,,Cherokee,864-487-2710,,,,http://www.SCDMH.org,35.076934,-81.647113,MH,1,,,,,,,1,,1,1,1,1,,,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,,,1,,1,,1,,1,,1,1,,1,1,1,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Empire Community MH Ctr,Jasper County Mental Health Clinic,1510 Grays Highway,,Ridgeland,SC,29936,,Jasper,843-726-8030,,,,http://www.cecmhc.org,32.4960362,-80.9843662,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Center for Behavioral Health,,2700 East Phillips Road,,Greer,SC,29650,4815,Greenville,864-235-2335,Intake,,800-866-4673,http://www.thecarolinacenter.com,34.8650705,-82.2291509,MH,1,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,1,,1,1,1,1,,1,,,,1,,1,,1,1,1,1,,,,,,1,,,,1,,1,1,,,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston/Dorchester MH Center,Charleston Clinic,2100 Charlie Hall Boulevard,,Charleston,SC,29414,,Charleston,843-414-2351,Intake,843-414-2350,,http://charlestondorchestermhc.org,32.814377,-80.046196,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,,,1,1,1,,1,,1,,1,1,1,,1,1,1,,1,1,,1,,,,1,,1,,1,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
First Responder Support Team,First Responder Support Team,2090 Executive Hall Road,Suite 150,Charleston,SC,29407,,Charleston,843-212-8980,,,,http://www.charlestondorchestermhc.org/,32.8068124,-80.0360757,MH,1,,,,,,,1,,1,1,,1,1,,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,,,,,,1,1,,1,,1,1,1,,1,,1,,,,,,,,1,,1,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Anderson County Clinic,3030 SC Highway 81,,Anderson,SC,29621,,Anderson,864-224-5450,,,,http://www.columbiasc.va.gov/,34.5724668,-82.6226687,MH,1,,,,,,,,,1,,1,1,,1,,1,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Greenville Mental Health,Greer Clinic,220 Executive Drive,,Greer,SC,29651,,Greenville,864-879-2111,,,,http://www.greenvillementalhealth.com/default.html,34.9522671,-82.2355083,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,1,,1,,,1,,,1,,,,,,,1,,1,1,,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Greenville Clinic,41 Park Creek Drive,,Greenville,SC,29605,,Greenville,864-299-1600,,,,http://www.columbiasc.va.gov/,34.8149371,-82.4161956,MH,1,,,,,,,,,1,,1,1,,1,1,1,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,1,1,1,,,,,,1,,,,1,,,,,1,1,,,,,,1,1,,1,,,,,,1,,1,,,,,1,1,1,,,,,1,1,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall I Pickens Hospital,Greenville Memorial Medical Campus,701 Grove Road,,Greenville,SC,29605,,Greenville,864-455-8988,Intake,,888-852-8520,http://www.ghspsych.org,34.8192557,-82.411677,MH,1,1,,,,,,,,1,1,1,1,,,,,1,1,,1,,,1,,1,1,,,,,,,1,1,1,,1,1,,,,,,,,,1,,1,,,1,1,1,,,,,,1,,1,1,1,,1,,1,,,,1,,,1,,1,,,,,,1,,,1,1,,,,1,,1,1,1,1,,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson/Oconee/Pickens MH Center,Anderson Adult Clinic,200 McGee Road,,Anderson,SC,29625,,Anderson,864-260-2220,,,,http://www.aopmentalhealth.org/,34.530977,-82.684651,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,,1,,1,,1,1,,1,1,1,,,,,,1,,1,1,1,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
