libid,libname,phone,hours,GEOID,tract_latitude,tract_longitude,lat,lon
SC0039-002,WILLIAMSBURG COUNTY LIBRARY,8433559486,1924,45089970600,+33.6990298,-079.8814089,33.66504,-79.8323
SC0039-003,HEMINGWAY LIBRARY,8435587679,1716,45089970300,+33.7322496,-079.4268421,33.7562,-79.447
SC0039-005,WILLIAMSBURG COUNTY LIBRARY BOOKMOBILE,8433555946,75,45089970600,+33.6990298,-079.8814089,33.66504,-79.8323
SC0039-006,DR. C. E. MURRAY BRANCH,8434262381,2106,45089970700,+33.6086383,-080.0059872,33.58162,-79.9919
SC0040-002,YORK COUNTY LIBRARY,8039815858,3386,45091060501,+34.9325443,-081.0382008,34.92495,-81.0281
SC0040-003,CLOVER PUBLIC LIBRARY,8032223474,2799,45091061802,+35.0920972,-081.2223217,35.10862,-81.2272
SC0040-004,FORT MILL PUBLIC LIBRARY,8035474114,3039,45091061004,+35.0120768,-080.9768143,35.0288,-80.9686
SC0040-005,LAKE WYLIE PUBLIC LIBRARY,8038317774,2799,45091061707,+35.1328855,-081.0658123,35.10994,-81.042
SC0040-006,YORK PUBLIC LIBRARY,8036843751,3039,45091061602,+34.9921871,-081.2207561,34.99345,-81.2405
SC0040-007,YORK COUNTY LIBRARY BOOKMOBILE,8039815841,1360,45091060501,+34.9325443,-081.0382008,34.92495,-81.0281
SC8001-001,NEWBERRY COUNTY LIBRARY,8032760854,2834,45071950502,+34.3098563,-081.6453407,34.27351,-81.6198
SC8001-002,WHITMIRE MEMORIAL LIBRARY,8036943961,2080,45071950300,+34.4418336,-081.6326682,34.50305,-81.6115
SC8002-001,SALUDA COUNTY LIBRARY,8644454500,2080,45081960202,+33.9835560,-081.7334123,34.00147,-81.772
SC8002-002,RIDGE SPRING BRANCH LIBRARY,8036852665,780,45081960400,+33.8896333,-081.6851220,33.84573,-81.6636
SC8003-001,ABBEVILLE COUNTY LIBRARY,8644594009,2782,45001950400,+34.2280103,-082.3768866,34.1865,-82.3978
SC8003-002,AGNEW BRANCH LIBRARY,8643798568,1872,45001950200,+34.3258512,-082.4084968,34.36798,-82.3524
SC8003-003,CALHOUN FALLS BRANCH LIBRARY,8644188724,1794,45001950600,+34.1246804,-082.5850722,34.09085,-82.5896
SC8004-001,GREENWOOD COUNTY LIBRARY,8649414650,3333,45047970400,+34.1698568,-082.2054546,34.18707,-82.1596
SC8004-002,NINETY-SIX BRANCH LIBRARY,8645434749,2439,45047970702,+34.1649441,-082.0235799,34.17452,-82.0238
SC8004-003,WARE SHOALS BRANCH LIBRARY,8644562813,2635,45047970102,+34.3181322,-082.2696150,34.39338,-82.2406
SC8004-004,GREENWOOD COUNTY LIBRARY BOOKMOBILE,8649414650,1275,45047970400,+34.1698568,-082.2054546,34.18707,-82.1596
