census_tract,state,county,urban,pop2010,ohu2010,group_quarters_flag,numgqtrs,pctgqtrs,lila_tracts_1and10,lila_tracts_half_and10,lila_tracts_1and20,lila_tracts_vehicle,hunv_flag,low_income_tracts,poverty_rate,median_family_income,la1and10,l_ahalfand10,la1and20,la_tracts_half,la_tracts1,la_tracts10,la_tracts20,la_tracts_vehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,tract_lowi,tract_kids,tract_seniors,tract_white,tract_black,tract_asian,tract_nhopi,tract_aian,tract_o_multir,tract_hispanic,tract_hunv,tract_snap,tract_latitude,tract_longitude
45009960300,South Carolina,Bamberg County,0,1291,531,0,0,0,0,0,0,0,0,1,21.6,58839,0,0,0,0,0,0,0,0,328,328,NULL,140,140,NULL,1291,100.00,473,36.63,276,21.38,245,18.98,815,63.13,437,33.85,2,0.15,1,0.08,5,0.39,31,2.40,34,2.63,19,3.53,91,17.22,1291,100.00,473,36.63,276,21.38,245,18.98,815,63.13,437,33.85,2,0.15,1,0.08,5,0.39,31,2.40,34,2.63,19,3.53,91,17.22,328,25.40,140,10.85,49,3.80,75,5.84,177,13.75,140,10.81,2,0.15,0,0.00,1,0.08,8,0.62,1,0.08,9,1.65,27,5.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,460,276,245,815,437,2,1,5,31,34,17,78,+33.1710465,-081.1518703
45009960400,South Carolina,Bamberg County,0,1554,637,0,8,0.51,0,0,0,0,0,0,14.8,54779,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,1301,83.70,549,35.30,290,18.68,234,15.06,839,53.97,440,28.34,2,0.16,0,0.00,2,0.13,17,1.10,20,1.27,40,6.24,115,18.03,1013,65.18,424,27.30,234,15.07,177,11.37,740,47.60,266,17.13,0,0.00,0,0.00,0,0.00,7,0.45,11,0.69,30,4.75,89,13.92,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,492,344,290,998,530,4,0,2,20,21,37,109,+33.1236266,-080.9867065
45011970100,South Carolina,Barnwell County,0,5701,2334,0,69,1.21,0,0,0,1,1,1,33.1,49856,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,4987,87.47,2533,44.44,1227,21.53,755,13.24,2705,47.44,2131,37.37,8,0.13,0,0.00,39,0.69,104,1.83,65,1.13,302,12.93,471,20.16,3883,68.11,1933,33.90,960,16.83,571,10.01,2223,39.00,1542,27.05,2,0.03,0,0.00,32,0.57,83,1.46,48,0.84,211,9.06,363,15.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2787,1417,874,2995,2538,8,0,43,117,73,370,512,+33.3910823,-081.3942081
45011970200,South Carolina,Barnwell County,0,3873,1489,0,89,2.3,0,0,0,1,1,1,37,30221,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,3271,84.47,2262,58.41,852,21.99,446,11.52,956,24.67,2218,57.27,3,0.08,0,0.00,8,0.20,87,2.24,70,1.82,248,16.66,477,32.06,2412,62.27,1641,42.36,608,15.71,331,8.55,852,21.99,1489,38.44,3,0.08,0,0.00,6,0.15,63,1.62,53,1.38,178,11.96,343,23.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2329,981,568,1241,2526,6,0,9,91,106,255,501,+33.3685118,-081.2762976
45011970300,South Carolina,Barnwell County,0,3846,1588,0,48,1.25,0,0,0,1,1,1,34.9,37038,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,2905,75.54,1425,37.05,815,21.20,405,10.52,1195,31.06,1581,41.12,62,1.62,0,0.00,5,0.14,61,1.60,24,0.63,159,10.04,419,26.38,1129,29.35,489,12.71,298,7.75,168,4.38,627,16.31,472,12.27,12,0.31,0,0.00,2,0.06,15,0.39,12,0.30,57,3.59,166,10.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1977,1080,550,1675,2008,72,0,8,83,35,241,550,+33.2731810,-081.3721662
45011970400,South Carolina,Barnwell County,0,5263,2047,0,79,1.5,0,0,0,0,0,0,10,63125,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4742,90.10,1870,35.53,1174,22.31,690,13.12,3856,73.26,733,13.94,27,0.51,1,0.02,20,0.38,105,1.99,104,1.97,74,3.60,97,4.74,4194,79.68,1677,31.86,1052,19.98,577,10.96,3571,67.85,490,9.31,26,0.49,1,0.02,15,0.29,90,1.72,96,1.82,60,2.91,85,4.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1906,1272,775,4061,1042,28,4,20,108,109,76,98,+33.2281969,-081.2774271
45011970500,South Carolina,Barnwell County,0,3938,1479,0,0,0,0,0,0,0,0,0,18.4,51161,0,0,0,0,0,0,0,0,7,7,NULL,3,3,NULL,3938,99.99,1731,43.96,1048,26.61,406,10.31,1927,48.93,1901,48.27,12,0.30,1,0.03,5,0.13,92,2.34,88,2.23,95,6.43,354,23.94,3885,98.65,1708,43.38,1034,26.25,399,10.12,1893,48.07,1887,47.93,8,0.21,1,0.03,5,0.13,90,2.29,88,2.22,94,6.34,349,23.59,7,0.18,3,0.08,1,0.03,0,0.00,6,0.15,0,0.00,0,0.00,0,0.00,0,0.00,1,0.03,0,0.00,0,0.01,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1615,1048,406,1927,1901,12,1,5,92,88,89,334,+33.1776388,-081.3817810
45013000100,South Carolina,Beaufort County,0,4269,1710,0,0,0,1,1,0,1,1,1,14.3,50391,1,1,0,0,0,1,0,1,1886,1886,NULL,888,888,NULL,4269,100.00,1963,45.97,1003,23.49,715,16.75,1260,29.52,2904,68.03,12,0.28,1,0.02,6,0.14,86,2.01,100,2.34,198,11.59,215,12.58,4269,100.00,1963,45.97,1003,23.49,715,16.75,1260,29.52,2904,68.03,12,0.28,1,0.02,6,0.14,86,2.01,100,2.34,198,11.59,215,12.58,1886,44.19,888,20.81,494,11.56,272,6.37,358,8.39,1480,34.66,8,0.19,0,0.00,5,0.12,36,0.83,53,1.25,99,5.79,94,5.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1897,1003,715,1260,2904,12,1,6,86,100,204,219,+32.5821594,-080.7263936
45013000200,South Carolina,Beaufort County,1,5201,1875,0,0,0,1,1,1,1,1,1,22.7,56250,1,1,1,1,1,0,0,1,4682,4981,4682,2263,2376,2263,4981,95.76,2376,45.67,1377,26.47,514,9.88,1937,37.25,2827,54.36,30,0.58,1,0.02,17,0.33,168,3.23,219,4.21,215,11.49,486,25.93,4682,90.02,2263,43.51,1288,24.76,485,9.33,1868,35.93,2605,50.08,28,0.54,1,0.02,16,0.31,164,3.15,216,4.14,193,10.29,455,24.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2895,1463,524,1965,3017,30,1,17,171,221,241,506,+32.5007617,-080.7468659
45013000300,South Carolina,Beaufort County,1,4850,1554,0,0,0,1,1,1,0,0,1,6.4,44112,1,1,1,1,1,0,0,0,4531,4850,4531,2211,2268,2211,4850,100.00,2268,46.77,1869,38.54,49,1.01,3576,73.73,805,16.60,70,1.44,5,0.10,44,0.91,350,7.22,599,12.35,83,5.35,90,5.77,4531,93.43,2211,45.59,1777,36.65,35,0.73,3361,69.30,722,14.89,61,1.26,5,0.10,42,0.87,340,7.01,584,12.05,77,4.94,83,5.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2072,1869,49,3576,805,70,5,44,350,599,80,85,+32.4676898,-080.7840865
45013000400,South Carolina,Beaufort County,0,997,127,1,713,71.51,0,0,0,0,0,1,100,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,997,100.00,997,100.00,50,5.02,5,0.50,764,76.63,121,12.14,21,2.11,3,0.30,5,0.50,83,8.32,144,14.44,0,0.00,0,0.00,997,100.00,997,100.00,50,5.02,5,0.50,764,76.63,121,12.14,21,2.11,3,0.30,5,0.50,83,8.32,144,14.44,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,50,5,764,121,21,3,5,83,144,0,0,+32.4796571,-080.7125383
45013000501,South Carolina,Beaufort County,1,6466,2413,0,0,0,0,0,0,0,1,0,16.9,72348,1,1,1,1,1,0,0,1,4751,6168,4751,1512,2062,1512,6168,95.39,2062,31.90,1646,25.45,526,8.13,3150,48.72,2389,36.95,45,0.70,8,0.12,25,0.39,550,8.51,722,11.17,301,12.47,405,16.78,4751,73.48,1512,23.38,1223,18.91,427,6.60,2611,40.39,1606,24.84,40,0.62,2,0.02,16,0.24,477,7.37,613,9.48,235,9.75,318,13.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2394,1728,547,3277,2510,45,9,32,593,772,341,446,+32.4255231,-080.7676172
45013000502,South Carolina,Beaufort County,1,4808,1968,0,4,0.08,1,1,1,1,1,1,23.3,52602,1,1,1,1,1,0,0,1,2865,4247,2865,1295,1831,1295,4247,88.34,1831,38.08,1164,24.21,366,7.61,2427,50.47,1468,30.53,88,1.82,10,0.21,11,0.22,244,5.08,367,7.63,120,6.10,309,15.72,2865,59.58,1295,26.93,784,16.30,235,4.89,1682,34.98,910,18.93,69,1.43,9,0.18,7,0.14,189,3.93,288,6.00,71,3.62,208,10.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3050,1331,393,2659,1745,99,10,12,283,405,155,435,+32.4178372,-080.7337269
45013000503,South Carolina,Beaufort County,1,4864,1841,0,0,0,0,0,0,0,0,0,10.5,67575,1,1,1,1,1,0,0,0,2831,4208,2831,935,1307,935,4208,86.51,1307,26.86,1080,22.19,543,11.16,3050,62.70,747,15.37,111,2.29,11,0.23,22,0.44,267,5.49,499,10.25,91,4.93,86,4.66,2831,58.21,935,19.22,749,15.40,347,7.13,2054,42.23,495,10.18,68,1.40,6,0.12,15,0.30,193,3.98,404,8.31,58,3.17,57,3.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1864,1261,602,3463,932,122,11,25,311,576,133,124,+32.3804562,-080.7359040
45013000600,South Carolina,Beaufort County,1,2157,964,0,0,0,0,1,0,0,0,1,17.9,53839,0,1,0,1,0,0,0,0,296,1552,296,113,614,113,1552,71.95,614,28.44,368,17.07,246,11.40,954,44.24,461,21.35,11,0.51,2,0.07,3,0.14,122,5.64,120,5.57,63,6.53,112,11.64,296,13.70,113,5.26,56,2.59,67,3.13,241,11.19,25,1.15,8,0.37,1,0.04,0,0.00,21,0.95,19,0.86,6,0.58,21,2.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,927,501,372,1322,660,24,3,3,145,138,89,163,+32.4494075,-080.6875512
45013000700,South Carolina,Beaufort County,1,6284,2599,0,490,7.8,0,0,0,0,0,0,16.7,64813,1,1,1,1,1,0,0,0,925,4480,925,138,1228,138,4480,71.29,1228,19.55,925,14.72,877,13.95,3329,52.98,875,13.92,60,0.95,1,0.02,12,0.19,203,3.23,265,4.22,74,2.85,181,6.95,925,14.72,138,2.20,186,2.97,214,3.40,806,12.83,84,1.34,15,0.24,0,0.00,1,0.01,18,0.29,20,0.32,16,0.63,39,1.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1778,1315,1248,4401,1479,96,13,21,274,358,117,224,+32.4169450,-080.6897104
45013000800,South Carolina,Beaufort County,1,5247,2395,0,81,1.54,1,1,1,1,1,1,16.1,46173,1,1,1,1,1,0,0,1,1634,3849,1634,469,1291,469,3849,73.36,1291,24.61,832,15.85,411,7.83,2544,48.48,993,18.92,84,1.60,0,0.00,24,0.46,204,3.90,279,5.32,128,5.35,240,10.00,1634,31.13,469,8.94,375,7.15,188,3.58,1156,22.04,370,7.05,36,0.69,0,0.00,5,0.09,66,1.26,100,1.90,20,0.85,98,4.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2498,1193,581,3228,1607,101,0,28,283,349,227,372,+32.3847275,-080.6965888
45013000901,South Carolina,Beaufort County,0,2650,1010,0,0,0,0,0,0,0,0,0,5.3,97991,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,2650,100.00,603,22.76,670,25.28,399,15.06,2108,79.55,461,17.40,15,0.57,2,0.08,7,0.26,57,2.15,75,2.83,24,2.34,33,3.23,2650,100.00,603,22.76,670,25.28,399,15.06,2108,79.55,461,17.40,15,0.57,2,0.08,7,0.26,57,2.15,75,2.83,24,2.34,33,3.23,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,645,670,399,2108,461,15,2,7,57,75,27,35,+32.4783136,-080.5652285
45013000902,South Carolina,Beaufort County,1,8142,3092,0,8,0.1,0,0,0,0,0,0,8.3,64574,1,1,1,1,1,0,0,0,7093,7650,7093,1966,2102,1966,7650,93.95,2102,25.81,2156,26.48,940,11.54,5831,71.62,1320,16.21,134,1.64,7,0.09,41,0.51,316,3.89,418,5.14,50,1.62,165,5.35,7093,87.11,1966,24.14,2031,24.95,857,10.53,5497,67.51,1147,14.09,121,1.49,7,0.09,39,0.48,281,3.46,382,4.69,46,1.49,152,4.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2601,2283,999,6204,1390,144,7,43,354,480,51,183,+32.4453561,-080.6342550
45013000903,South Carolina,Beaufort County,0,1778,689,0,0,0,0,0,0,0,0,0,10,78625,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1332,74.93,477,26.83,320,18.01,300,16.85,1025,57.66,263,14.78,24,1.33,0,0.00,1,0.04,20,1.13,31,1.72,26,3.80,75,10.82,853,47.96,305,17.17,211,11.86,207,11.64,757,42.55,70,3.93,20,1.14,0,0.00,0,0.00,6,0.33,10,0.56,16,2.34,46,6.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,829,435,363,1233,438,32,0,2,73,116,40,114,+32.3824780,-080.6515172
45013001000,South Carolina,Beaufort County,1,4469,263,1,3482,77.91,1,1,1,0,0,1,1.1,52721,1,1,1,1,1,0,0,0,4469,4469,4469,1230,1230,1230,4469,100.00,1230,27.53,494,11.05,1,0.02,3417,76.46,589,13.18,96,2.15,5,0.11,26,0.58,336,7.52,680,15.22,0,0.00,0,0.00,4469,100.00,1230,27.53,494,11.05,1,0.02,3417,76.46,589,13.18,96,2.15,5,0.11,26,0.58,336,7.52,680,15.22,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666,494,1,3417,589,96,5,26,336,680,0,0,+32.3175972,-080.6822133
45013001101,South Carolina,Beaufort County,0,3862,1740,0,0,0,0,0,0,0,1,0,13.5,67101,0,0,0,0,0,0,0,1,20,20,NULL,9,9,NULL,3862,100.00,1196,30.96,648,16.78,1277,33.07,2189,56.68,1540,39.88,15,0.39,11,0.28,5,0.13,102,2.64,84,2.18,126,7.27,160,9.20,3859,99.93,1195,30.94,647,16.76,1277,33.05,2189,56.67,1538,39.82,15,0.39,11,0.28,5,0.13,102,2.64,84,2.18,126,7.26,160,9.20,20,0.51,9,0.23,3,0.07,4,0.09,16,0.42,3,0.08,0,0.00,0,0.00,0,0.00,0,0.01,1,0.01,1,0.06,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1239,648,1277,2189,1540,15,11,5,102,84,120,156,+32.4230434,-080.5098578
45013001102,South Carolina,Beaufort County,0,4901,1890,0,22,0.45,0,0,0,1,1,1,25.5,51655,0,0,0,0,0,0,0,1,25,25,NULL,17,17,NULL,4901,100.00,2878,58.73,1275,26.02,624,12.73,1012,20.65,3650,74.47,6,0.12,2,0.04,12,0.24,219,4.47,284,5.79,137,7.24,386,20.44,4901,100.00,2878,58.73,1275,26.02,624,12.73,1012,20.65,3650,74.47,6,0.12,2,0.04,12,0.24,219,4.47,284,5.79,137,7.24,386,20.44,25,0.51,17,0.34,6,0.13,3,0.07,9,0.18,16,0.32,0,0.00,0,0.00,0,0.00,1,0.01,0,0.01,1,0.05,2,0.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3829,1275,624,1012,3650,6,2,12,219,284,130,393,+32.3630229,-080.5792222
45013001200,South Carolina,Beaufort County,0,718,381,0,0,0,0,0,0,0,0,0,4.5,107619,1,1,0,0,0,1,0,0,537,537,NULL,56,56,NULL,718,100.00,75,10.42,25,3.48,385,53.62,700,97.49,7,0.97,1,0.14,0,0.00,2,0.28,8,1.11,2,0.28,10,2.72,7,1.87,718,100.00,75,10.42,25,3.48,385,53.62,700,97.49,7,0.97,1,0.14,0,0.00,2,0.28,8,1.11,2,0.28,10,2.72,7,1.87,537,74.84,56,7.80,20,2.85,299,41.62,523,72.86,7,0.97,1,0.14,0,0.00,2,0.28,4,0.59,2,0.28,8,2.04,5,1.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117,25,385,700,7,1,0,2,8,2,16,11,+32.3270113,-080.5157637
45013002101,South Carolina,Beaufort County,0,416,204,0,0,0,0,0,0,0,0,0,0,140673,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,416,100.00,17,4.04,47,11.30,121,29.09,389,93.51,22,5.29,2,0.48,0,0.00,0,0.00,3,0.72,8,1.92,70,34.33,0,0.00,416,100.00,17,4.04,47,11.30,121,29.09,389,93.51,22,5.29,2,0.48,0,0.00,0,0.00,3,0.72,8,1.92,70,34.33,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,47,121,389,22,2,0,0,3,8,69,0,+32.1187058,-080.8611777
45013002102,South Carolina,Beaufort County,0,1517,604,0,0,0,0,0,0,0,0,0,5.2,77807,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1517,100.00,311,20.53,312,20.57,185,12.20,1228,80.95,137,9.03,10,0.66,0,0.00,5,0.33,137,9.03,194,12.79,12,1.94,17,2.89,1399,92.21,285,18.79,282,18.61,179,11.79,1134,74.77,132,8.70,9,0.59,0,0.00,5,0.31,119,7.85,169,11.16,11,1.84,16,2.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,576,312,185,1228,137,10,0,5,137,194,27,33,+32.1865732,-080.8986570
