PHARMACY NAME,MEDICAID ID,NPI,SPOKEN LANGUAGES,e-Rx,Delivery,Compound,Drive- Thru,Vaccines,Handicap Access,Cultural Comp- Training,Accepting New Customers,Website
STONE PLAZA PHARMACY,797368,1205900735,ENG,Y,Y,Y,N,Y,Y,Y,Y,https://www.stoneplazapharmacy.com/
INGLES PHARMACY,787883,1205910338,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
BUFORD STREET DRUG STORE,763581,1205914629,"ENG, SPA",Y,Y,Y,Y,Y,Y,Y,Y,https://www.bufordstreetrx.com
CVS PHARMACY #04523,745230,1205939063,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #03869,745285,1205939071,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715764,1215007679,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
CVS PHARMACY #03597,745241,1215030085,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07300,711328,1215030705,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07564,7N6729,1215030903,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #02555,711264,1215031026,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
PRESCRIPTION SHOPPE,721644,1215041298,ENG,Y,N,Y,Y,Y,Y,Y,Y,https://www.prescriptionshoppepharmacy.com
SANDHILLS MEDICAL PHARMACY #2,710149,1215180591,ENG,Y,N,N,N,N,Y,Y,Y,sandhillsmedical.org/services/pharmacy
CAROLINA HEALTH PHARMACY,715588,1215335336,ENG,Y,Y,Y,N,Y,Y,Y,Y,carolinahealthpharmacy.com/
WALGREENS,715820,1215940945,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
SAS PHARMACY 10-6353,770256,1215954482,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.sAsclub.com/sAs/
PROSPERITY DRUG COMPANY,787575,1215973334,ENG,Y,Y,Y,N,Y,Y,Y,Y,https://prosperitydrug.com
PUBLIX PHARMACY #0563,734282,1215978705,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
HEALTHQUEST PHARMACY,714902,1225070006,ENG,Y,Y,Y,N,N,Y,Y,Y,http://hqltcrx.com/Home_Page.html
CAROLINA PHARMACY OF THE LOWCOUNTRY,715492,1225394760,ENG,Y,N,Y,N,Y,Y,Y,Y,www.spartanburgregional.com/care-treatment/retail-pharmacies
GREENHILL SPECIALTY PHARMACY,716675,1225484074,ENG,Y,Y,Y,N,N,Y,Y,Y,thegreenhillpharmacy.com
RITE AID #11630,717736,1225551211,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
RITE AID #11662,71770D,1225552995,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
CVS PHARMACY #03542,745092,1235232000,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
SPARTANBURG REG HEALTHCARE SYSTEM OUTPATIENT PHARMACY,702355,1235232703,ENG,Y,N,Y,N,N,Y,Y,Y,www.spartanburgregional.com/care-treatment/retail-pharmacies
CVS PHARMACY #04382,742692,1235232901,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
HARRIS TEETER PHARMACY,715191,1235240706,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.harristeeter.com/pharmacy-services
NURSING HOME DISPENSARY,720445,1235289562,ENG,Y,Y,Y,N,N,Y,Y,Y,
MARGARET J WESTON CHC PHARMACY,730581,1235290149,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.state.sc.us/dmh
WALGREENS,715724,1235386012,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-5705,711157,1235445222,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WALMART PHARMACY 10-2870,716691,1235586884,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WARE SHOALS PHARMACY,7Z1110,1235743295,ENG,Y,Y,N,N,Y,Y,Y,Y,
CVS PHARMACY #16825,716314,1245252998,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALL DRUGS OF JOHNSONVILLE INC.,767338,1245321363,ENG,Y,Y,Y,N,Y,Y,Y,Y,https://www.facebook.com/WallDrugsOfJohnsonville/
CVS PHARMACY #03877,745877,1245333913,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07556,744543,1245333921,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
LONGS CLOSED DOOR PHARMACY,715046,1245390707,ENG,Y,Y,Y,N,N,Y,Y,Y,https://longsrx.com/
RITE AID #11590,717705,1245755909,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
WALMART PHARMACY 10-1244,724022,1255358404,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WALMART PHARMACY 10-1359,724710,1255358412,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
INTRAMED PLUS INC,726043,1255390993,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.intrAedplus.com
PLANTATION PHARMACY,780107,1255416616,ENG,Y,N,N,N,Y,Y,Y,Y,www.plantationpharmacy.com
CVS PHARMACY #07396,71138D,1255434791,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #05524,743492,1255434932,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
PAGELAND FAILY PHARMACY,792207,1255472627,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.facebook.com/pagelandfAilypharmacy
CVS PHARMACY #05386,745490,1255490314,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
FAILY PHARMACY AT GMH,711276,1255634069,ENG,Y,N,N,N,N,Y,Y,Y,www.tidelandshealth.org/care-treatment/fAily-pharmacy
PUBLIX PHARMACY #1464,715338,1255731097,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
RITE AID #11573,717678,1255857108,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
PUBLIX PHARRMACY #1608,717476,1255860243,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
VISTARA PHARMACY,717140,1255872107,ENG,Y,Y,N,N,N,Y,Y,Y,vistara-pharmacy.business.site
BUY LOW PHARMACY,7Z1111,1265045322,ENG,N,N,N,N,Y,Y,Y,Y,https://buylowrx.business.site
UPSTATE PHARMACY EASTSIDE,747056,1265417927,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.ghs.org/healthcareservices/upstate-pharmacy
WALMART PHARMACY 10-0630,722934,1265459416,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
PALMETTO INFUSION SERVICES,711512,1265462659,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.palmettoinfusion.com
CVS PHARMACY #05598,711398,1265535942,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
IRON CITY PHARMACY,715934,1265819205,ENG,Y,Y,N,N,Y,Y,Y,Y,https://www.medicineshoppe.com
FLEETWOOD PHARMACY OF LAURENS,717324,1265953251,ENG,Y,Y,N,N,Y,N,Y,Y,myfleetwoodpharmacy.com
RITE AID #11603,717695,1265957047,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
PREFERRED PHARMACY,717999,1275025942,"ENG, SPA",Y,N,N,N,Y,Y,Y,Y,
AVITA PHARMACY,717812,1275030645,ENG,Y,Y,N,N,N,Y,Y,Y,https://avitapharmacy.com
HEALTH CARE PARTNERS PHARMACY MARION,7Z1104,1275150815,Spanish,Y,N,N,Y,N,Y,Y,Y,hcpsc.org
WALGREENS,715806,1275548349,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715733,1275548364,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
DELTA OF MONCKS CORNER,719914,1275596249,ENG,Y,N,N,Y,Y,Y,Y,Y,https://delta-rx.com/
MULLINS DISCOUNT DRUG INC,763717,1275596876,ENG,Y,Y,Y,N,Y,Y,Y,Y,
CAROLINA PHARMACY,728680,1275671851,ENG,Y,Y,N,N,Y,Y,Y,Y,www.carolinapharmacysc.com
SA PHARMACY AND HEALTH FOOD,734167,1275686628,"Arabic, ENG",Y,N,Y,N,N,Y,Y,Y,
DELTA PHARMACY & MEDICAL SUPPLY,715854,1275929218,ENG,Y,N,N,N,Y,Y,Y,Y,https://delta-rx.com/
WALMART PHARMACY 10-6962,715586,1275937104,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
BLUE SKY PHARMACY,715688,1285027391,ENG,Y,Y,N,N,N,Y,Y,Y,https://www.blueskydrugs.com/
RICHBURG DISCOUNT PHARMACY,717278,1285162305,Hindi Gujarati,Y,Y,Y,N,Y,Y,Y,Y,https://www.facebook.com/richburgdiscountpharmacy
ROWLAND OLD MAIN PHARMACY,7N1314,1285171728,ENG,Y,Y,Y,Y,Y,Y,Y,Y,https://www.facebook.com/Rowland-OLD-MAIN-Pharmacy
THE PHARMACY,716744,1285181891,ENG,Y,N,N,Y,Y,Y,Y,Y,thepharmacyrx.com/
WALGREENS,715759,1285649350,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715801,1285649368,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715799,1285649376,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-2214,733106,1285651448,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
PUBLIX PHARMACY #0360,769760,1285674622,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
CVS PHARMACY #04114,71150D,1285731786,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
TRIANGLE PHARMACY,710709,1285746602,ENG,Y,N,Y,N,N,Y,Y,Y,https://trianglepharmacysc.com
INGLES PHARMACY,795564,1285826974,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
COLONIAL RX,713551,1285912170,ENG,Y,N,Y,N,Y,Y,Y,Y,www.colonialhealthcare.com/ServicesSpecialties/Pharmacy
CORAM CVS/SPECIALTY INFUSION SERVICES,715275,1295038438,ENG,Y,Y,Y,N/A,N/A,N,Y,Y,https://www.corAhc.com
RITE AID #11575,71767D,1295258358,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
WATERWAY PHARMACY,716793,1295289742,ENG,Y,Y,Y,N,N,Y,Y,Y,www.waterwaypharmacy.com
SCOTLAND PHARMACY - BENNETTSVILLE,7Z1105,1295359818,ENG,Y,Y,Y,N,N,Y,Y,Y,
INGLES PHARMACY,757157,1295740140,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
WALMART PHARMACY 10-1382,724771,1295752459,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #04156,741345,1295838050,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #03599,742475,1295838068,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
FAILY MEDICINE PHARMACY,708630,1295840148,ENG,Y,N,N,N,N,Y,Y,Y,www.muschealth.org/primary-care/locations/ufm-ellis-oak.html
PUBLIX PHARMACY #1205,710090,1306002167,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
WALGREENS,715772,1306004478,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
PUBLIX PHARMACY #1383,711280,1306149950,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
PUBLIX PHARMACY #1354,710995,1306164413,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
WALMART PHARMACY 10-3191,714470,1306187653,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
RITE AID #11616,717759,1306369335,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy
LAMAR FAMILY PHARMACY,7Z1098,1306467766,ENG,Y,N,Y,Y,Y,Y,Y,Y,
PROFESSIONAL PHARMACY AT MT VIEW INC,714316,1306829668,ENG,Y,N,N,N,N,Y,Y,Y,
SA'S PHARMACY 10-8283,769508,1306863576,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.sAsclub.com/sAs/
WALMART PHARMACY 10-0628,727812,1306864111,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
THE MEDICINE CABINET,714915,1306916481,ENG,Y,N,N,Y,Y,Y,Y,Y,
CVS PHARMACY #02251,710758,1306940119,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #03826,743548,1306949177,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
LIBERTY FAILY PHARMACY,744007,1306950381,ENG,Y,N,N,N,Y,Y,Y,Y,
F AND L DRUG STORE,743776,1306953096,ENG,N,N,Y,N,N,Y,Y,Y,
OCEAN LAKES PHARMACY INC,747216,1316020589,ENG,Y,N,Y,N,Y,Y,Y,Y,www.oceanlakespharmacy.com
CVS PHARMACY #04173,741846,1316040181,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #06958,71074D,1316121262,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
SELF REGIONAL HEALTHCARE,746553,1316135999,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.selfregional.org/
CVS PHARMACY #17351,71630D,1316155823,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715735,1316188105,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-3713,716092,1316326887,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
SENECA PHARMACY,715645,1316339906,ENG,Y,N,N,Y,Y,N,Y,Y,
AHF PHARMACY,714826,1316374507,ENG,N,Y,N,N,N,Y,Y,Y,www.ahfpharmacy.org/
REIDVILLE ROAD PHARMACY,718290,1316415755,Hindi,Y,N,Y,N,Y,Y,Y,Y,
"BRIOVARX INFUSION SERVICES 209, INC.",7G0025,1316918436,ENG,Y,Y,Y,N,N,Y,Y,Y,www.briovarxinfusion.com/
PUBLIX PHARMACY #0525,7G7859,1316987738,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
GILDER & WEEKS INC,705781,1326013517,ENG,Y,Y,N,N,N,Y,Y,Y,
CVS PHARMACY #04399,743144,1326141094,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715749,1326250952,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-5745,711102,1326366493,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #16859,716307,1336161082,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
PROFESSIONAL PHARMACY,718431,1336215581,ENG,Y,Y,Y,N,Y,Y,Y,Y,
PARKS PHARMACY,720296,1336217132,ENG,Y,Y,N,Y,N,Y,Y,Y,https://www.parkspharmacy.com
CVS PHARMACY #04386,71137D,1336242007,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07567,742384,1336242015,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #17613,716308,1336409846,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
LAKE WYLIE PHARMACY,713665,1336424167,ENG,Y,Y,Y,Y,Y,Y,Y,Y,https://lakewylierx.com
WALGREENS #16396,716416,1336504695,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
CSC COMMUNITY PHARMACY-LATTA,716297,1336506427,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.caresouth-carolina.com/care-services/pharmacy
PUBLIX PHARMACY #1095,716255,1336512623,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
SOCASTEE PHARMACY,7Z1129,1336745561,ENG,Y,Y,N,N,Y,Y,Y,Y,
WALMART PHARMACY 10-1146,723723,1346267598,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #07534,742418,1346343027,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #04153,742806,1346343787,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07388,742670,1346343886,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
INGLES PHARMACY,798660,1346412939,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
PALMETTO FAILY PHARMACY,710788,1346571460,ENG,Y,Y,Y,N,N,Y,Y,Y,https://palmettofAilypharmacy.com
WEST COLUMBIA COOP PHARMACY,718604,1346723004,ENG,Y,N,N,N,Y,Y,Y,Y,www.ecchc.org/Services/Pharmacy
HARLEYVILLE DRUG,717297,1346760592,ENG,Y,N,Y,N,N,Y,Y,Y,
WALMART PHARMACY 10-1123,722978,1356368500,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WALGREENS,715748,1356377402,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
BRIDGERS DRUG STORE,715086,1356393771,ENG,Y,Y,N,N,Y,Y,Y,Y,
CVS PHARMACY #05596,745354,1356444038,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #02192,710773,1356445159,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
G WERBER BRYAN PSYC HOSP,713792,1356487607,ENG,Y,N,Y,N,Y,N,Y,YES,https://scdmh.net/
THE FINKLIN CORPORATION,786638,1356490148,ENG,Y,Y,Y,Y,Y,Y,Y,Y,
WALGREENS,71577E,1356510820,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
CVS PHARMACY #08492,710629,1356674378,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
DELTA PHARMACY & MEDICAL SUPPLY,716078,1356726798,ENG,Y,N,Y,N,Y,Y,Y,Y,https://delta-rx.com/
INGLES PHARMACY,715100,1356767461,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
"POLARIS PHARMACY SERVICES OF NORTH CAROLINA, LLC",,1356812432,ENG,Y,Y,Y,N,N,Y,Y,Y,polarisrx.com
CHESTER FAMILY PHARMACY,7Z1034,1356906903,ENG,Y,N,N,N,Y,Y,Y,Y,
LEXINGTON PHARMACY,7Z1101,1366065468,Gujarati Hindi,Y,Y,N,N,Y,Y,Y,Y,lexingtonpharmacysc.com
WALGREENS,715777,1366457434,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715734,1366457459,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS #9637,715727,1366459323,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-2928,756277,1366469520,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #07090,7N0453,1366540916,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #02194,710772,1366546160,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
MOONS DRUG STORE,722422,1366597270,ENG,Y,Y,Y,N,N,Y,Y,Y,www.moonsdrugstore.com
CVS PHARMACY #01039,795702,1366640955,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALMART PHARMACY 10-4521,796091,1366642209,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
HEROLD'S PHARMACY,710956,1366774408,ENG,Y,Y,N,N,N,Y,Y,Y,www.heroldspharmacy.com
WALGREENS,715647,1366830408,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
GOLDEN TOWN PHARMACY,717613,1376057570,ENG,Y,N/A,N,N,N/A,Y,Y,Y,
WALGREENS,715815,1376550327,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS #4980,715753,1376558445,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715741,1376558452,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALGREENS,715794,1376558460,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-2348,731676,1376560532,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
PUBLIX PHARMACY #0874,770028,1376583716,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
THE MEDICINE MART,745707,1376614594,ENG,Y,N,N,N,N,Y,Y,Y,
CVS PHARMACY #04026,742624,1376646067,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
REDFERN HEALTH CENTER PHARMACY (CLEMSON UNIV),717152,1376669184,ENG,Y,N,Y,N,N,Y,Y,Y,clemson.edu/cApus-life/student-health/medical/index.html
WALGREENS,7N1738,1376979229,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
DILLON COMMUNITY PHARMACY,715101,1386066132,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.dilloncommunitypharmacy.com/
CAROLINA PHARMACY,7Z1102,1386277846,ENG,Y,Y,N,N,N,Y,Y,Y,
INTRAMED PLUS INC,769133,1386603025,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.intrAedplus.com
INGLES PHARMACY,783761,1386659233,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
KAITLYNS PHARMACY,7N9226,1386659985,ENG,Y,N,N,Y,N,Y,Y,Y,
WALMART PHARMACY 10-0621,726681,1386661544,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #07036,710835,1386747079,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715774,1386855377,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
CVS PHARMACY #08936,710531,1386872604,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
HEROLD'S PHARMACY NORTH,715074,1396166633,ENG,Y,N,Y,N,N,Y,Y,Y,www.heroldspharmacy.com
"BRIOVARX INFUSION SERVICES 200, INC.",763934,1396701447,ENG,Y,Y,Y,N,N,Y,Y,Y,www.briovarxinfusion.com/
KENS THRIFTEE PHARMACY,784743,1396796769,ENG,Y,Y,N,Y,Y,Y,Y,Y,https://stores.healthmart.com/kenspharmacy/stores.aspx
CARE PHARMACY LLC,767497,1396842233,ENG,Y,Y,Y,Y,Y,Y,Y,Y,
CVS PHARMACY #04111,742464,1396848156,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #03850,745252,1396848164,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #07351,741905,1396848883,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715738,1396890638,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-4379,792878,1396962395,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WALMART PHARMACY 10-4664,710410,1396988291,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
WALGREENS #12447,715830,1407189921,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-5279,716919,1407204613,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
CVS PHARMACY #05579,741950,1407959174,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #04150,711343,1407959273,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALMART PHARMACY 10-4593,710533,1417184334,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
HOLLY HILL PHARMACY,715323,1417356320,ENG,Y,Y,Y,Y,Y,Y,Y,Y,https://www.hollyhillpharmacy.com
FIVE POINTS COOPERATIVE PHARMACY,714345,1417385899,ENG,Y,N,N,N,N,Y,Y,Y,www.ecchc.org/Locations/FivePointsCooperativePharmacy
ORANGE NURSING HOME SERVICES,726828,1417952425,ENG,Y,Y,Y,N,N,N,Y,Y,
SAVITZ DRUG STORE INC,798809,1427069095,ENG,Y,Y,N,Y,N,Y,Y,Y,
CVS PHARMACY #16730,716300,1427070176,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
DANIELS PHARMACY OF BARNWELL,714329,1427146059,ENG,Y,Y,Y,Y,Y,Y,Y,Y,http://danielspharmacy.biz/
CVS PHARMACY #07384,743834,1427151109,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
