name,lat_34,long_35,address,city_2,state_2,zip_2,county_2,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Bryson's Apple Orchard,34.808533,-83.26373,1011 Chattooga Ridge Rd,Mountain Rest,SC,29664,Oconee County,US,Match,Non_Exact,25670912,L,45,073,030100,4006
Anderson Farmers' Market,34.50111,-82.651344,209 W Market St,Anderson,SC,29624,Anderson County,US,Match,Exact,25452512,L,45,007,000702,1010
Travelers Rest Farmers' Market,34.95482905,-82.44575184,2 Southcreek Dr,Travelers Rest,SC,29690,Greenville County,US,Match,Exact,38330764,R,45,045,003906,2021
Blythewood Farmers Market,34.2145,-80.97124,152 State Rd S-40-54,Blythewood,SC,29016,Richland County,US,No_Match,,,,,,,
Belue Farms Natural Market,35.028244,-81.95005,3754 Parris Bridge Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,19529964,L,45,083,021402,1008
Sandhills Farmers Market,34.12991,-80.87223,916 Clemson Rd,Columbia,SC,29229,Richland County,US,Match,Exact,71808927,R,45,079,011425,2012
Mauldin Open Air Market,34.79171,-82.28695,699 E Butler Rd,Mauldin,SC,29662,Greenville County,US,Match,Exact,38351407,L,45,045,002903,2006
Taylors Farmers Market,34.92005,-82.28643,250 Bl1151 Mill St,Taylors,SC,29687,Greenville County,US,No_Match,,,,,,,
Greer Farmers Market,34.936584,-82.22604,230 Trade St,Greer,SC,29651,Greenville County,US,Match,Exact,38311055,R,45,045,002505,1015
Indoor Farmers Market At Forx Farm,34.469944,-82.7704,5620 Dobbins Bridge Rd,Anderson,SC,29626,Anderson County,US,Match,Exact,25478663,L,45,007,012002,1033
Calhoun Fall Farmers' Market,34.092973,-82.595006,300 Cox Ave N,Calhoun Falls,SC,29628,Abbeville County,US,No_Match,,,,,,,
Greenville State Farmers Market,34.882896,-82.38036,1015 Rutherford Rd,Greenville,SC,29609,Greenville County,US,No_Match,,,,,,,
Howell Specialty Farmz,34.97153,-80.83675,8936 Pryor Dr,Fort Mill,SC,29707,Lancaster County,US,Match,Exact,40709843,R,45,057,011206,1021
Lemmons Farms,35.071957,-81.76121,104 Webber Rd,Gaffney,SC,29341,Cherokee County,US,Match,Exact,639347475,L,45,021,970102,2023
Pick Of The Season,35.107254,-82.04011,8350 Highway 9,Inman,SC,29349,Spartanburg County,US,Match,Non_Exact,19476387,R,45,083,022404,1025
The Peach Shed,35.08202,-81.717674,306 Nancy Creek Rd,Gaffney,SC,29341,Cherokee County,US,Match,Exact,18988158,R,45,021,970201,3020
The Garden Spot Produce,35.070389,-81.642199,601 E Frederick St,Gaffney,SC,29340,Cherokee County,US,Match,Non_Exact,19001570,R,45,021,970502,4003
Abbott Farms,35.09957,-81.67109,191 Wilcox Ave,Gaffney,SC,29341,Cherokee County,US,Match,Exact,18987913,R,45,021,970204,1039
Zach's Produce,33.94797,-81.23486,1163 S Lake Dr,Lexington,SC,29073,Lexington County,US,Match,Non_Exact,649562521,R,45,063,021051,1003
Battleground Produce,35.14341,-81.81958,203 Edsel Dr,Chesnee,SC,29323,Cherokee County,US,Match,Exact,19002476,R,45,021,970101,1022
The Peach Basket,35.132145,-82.04436,6410 Highway 11,Campobello,SC,29322,Spartanburg County,US,Match,Non_Exact,19457467,R,45,083,022408,2012
Allison's Produce,35.058388,-81.640945,1503 E Frederick St,Gaffney,SC,29340,Cherokee County,US,Match,Non_Exact,18989014,R,45,021,970502,5020
Buford St. Drug Store Produce Stand,35.07292529,-81.6513129,120 S Granard St,Gaffney,SC,29341,Cherokee County,US,Match,Non_Exact,18988575,L,45,021,970201,1058
Holliday's Veggie Patch,34.53729,-82.43342,121 Epps Farm Rd,Belton,SC,29627,Anderson County,US,Match,Exact,633073278,L,45,007,011402,3008
Calhoun County Council On Aging Farmer's Market,33.6732079,-80.7767554,302 Milligan Cir,Saint Matthews,SC,29135,Calhoun County,US,No_Match,,,,,,,
Colleton County Museum And Farmers Market,32.9040069,-80.661134,604 Wichman St,Walterboro,SC,29488,Colleton County,US,Match,Exact,19155986,L,45,029,970501,1045
Richland Library Sandhills Farmers Market At R2I2,34.12792,-80.8829,90 Promenade Pl,Columbia,SC,29229,Richland County,US,No_Match,,,,,,,
Richland Library Main,34.003914,-81.03674,1428 State Hwy 48,Columbia,SC,29202,Richland County,US,No_Match,,,,,,,
Mikell's Fruit Roadside Stand,32.484924,-80.74147,9 Poppy Hill Rd,Beaufort,SC,29906,Beaufort County,US,Match,Exact,87631897,R,45,013,000200,1042
Penn Center Farmer's Market,32.389095,-80.57652,92 Martin Luther King Jr Dr,Saint Helena Island,SC,29920,Beaufort County,US,Match,Exact,647912808,L,45,013,001103,1004
Freewoods Farm Market House,33.637535,-79.04907,904 Dunrobin Ln,Myrtle Beach,SC,29588,Horry County,US,Match,Exact,624688643,R,45,051,051603,3011
North Myrtle Beach Farmers Market,33.82705354,-78.68230008,100 S Hwy 17,North Myrtle Beach,SC,29582,Horry County,US,No_Match,,,,,,,
Sellers Farm Produce- Chesterfield,34.737186,-80.10562,1012 Main,Chesterfield,SC,29709,Chesterfield County,US,No_Match,,,,,,,
Lee County Farm And Garden Market (Ace Hardware Site- Bishopville),34.204326,-80.270365,1 County Rd 350,Bishopville,SC,29010,Lee County,US,No_Match,,,,,,,
Robert Farm Market Produce,34.3928487,-79.38451088,1698 US Hwy 301 S,Dillon,SC,29536,Dillon County,US,No_Match,,,,,,,
Us Hwy 1 Mcleod Market,34.48943,-80.24641,25455 Hwy 1,McBee,SC,29101,Chesterfield County,US,Match,Non_Exact,648194126,R,45,025,950800,1005
Jacobs Fresh Market,34.691235,-79.90306,117 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,14331452,L,45,025,950503,1004
King Mackerel,33.27357339,-81.38502975,12144 Hwy 278,Barnwell,SC,29812,Barnwell County,US,No_Match,,,,,,,
American Legion Post 15 Farmers Market (Newmans Farm House),33.91779874,-80.36048906,35 S Artillery Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672529,R,45,085,001300,1004
Sumter Farmers Market,33.93248,-80.37287,202 Miller Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202710106,R,45,085,000902,3001
Turkey Creek Bee Farmers Market,33.888953,-80.350954,1200 S Guignard Dr,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
Farm Fresh Produce,33.929024,-80.366425,440 N Guignard Dr,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202671080,L,45,085,000902,3006
South Sumter Farmers Market,33.910115,-80.341042,327 Manning Ave,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
Owens Field Farmers Market,33.976883,-81.00142,1433 Jim Hamilton Blvd,Columbia,SC,29205,Richland County,US,No_Match,,,,,,,
Latham's Produce,33.990784,-81.06783,910 Meeting St,West Columbia,SC,29169,Lexington County,US,Match,Exact,70055938,R,45,063,020300,3027
Zack's Produce And Flowers,33.9845405,-81.0919788,2035 Augusta Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,70084014,L,45,063,020601,4004
Cottle Strawberry Farm,33.946983,-80.90267,NA US 378,Columbia,SC,29209,Richland County,US,No_Match,,,,,,,
Jordan Fresh Farms,34.748672,-80.90065,1174 Seegars Rd,Fort Lawn,SC,29714,Chester County,US,Match,Exact,40558735,R,45,023,020800,2022
Old Town Farmers Market At Legal Remedy Brewing,34.930004,-81.02396,103 Oakland Ave,Rock Hill,SC,29730,York County,US,Match,Exact,642585756,L,45,091,060501,3013
Sara's Fresh Market,33.660263,-81.67451,2609 Columbia Hwy N,Aiken,SC,29805,Aiken County,US,Match,Exact,65035306,R,45,003,020200,2002
Marion Farmers' Market,34.180344,-79.40025,125 Arch St,Marion,SC,29571,Marion County,US,Match,Exact,28773923,R,45,067,950200,5022
Herbie's Produce at Sparky's,34.113598,-79.3405,NA US 501,Marion,SC,29571,Marion County,US,No_Match,,,,,,,
Indigo Farms Market,33.92593178,-78.6320316,1902 N Hwy 57,Little River,SC,29566,Horry County,US,No_Match,,,,,,,
Mary Beth's Sustainable Foods,33.44674014,-79.12160671,NA US 17,Pawleys Island,SC,29585,Georgetown County,US,No_Match,,,,,,,
Chops Produce and Community Cannery,33.8337767,-79.05920257,1612 5th Ave,Conway,SC,29526,Horry County,US,Match,Exact,29076122,L,45,051,070300,2041
"Patchwork Farm, LLC",34.084667,-81.68767,110 Dairy Ln,Saluda,SC,29138,Saluda County,US,Match,Exact,65523571,R,45,081,960100,2089
Lee Co. Farmers Market - Jared's Ace Hardware,34.204326,-80.270365,1 County Rd 350,Bishopville,SC,29010,Lee County,US,No_Match,,,,,,,
Williams Vineyard and Farm,33.66822,-79.59543,33 Gabriel Pl,Nesmith,SC,29580,Williamsburg County,US,Match,Exact,29192039,L,45,089,970400,1009
Ware Shoals Farmers Market,34.398033,-82.24598,2 Mill St,Ware Shoals,SC,29692,Greenwood County,US,Match,Exact,50801972,R,45,047,970102,1017
Crescent Farms,34.454931,-81.876649,201 Jacobs Hwy,Clinton,SC,29325,Laurens County,US,Match,Exact,642775517,R,45,059,920800,1031
Highway 221 South Peanuts and Produce,34.384967,-82.052464,8998 US Hwy 221 S,Waterloo,SC,29384,Laurens County,US,No_Match,,,,,,,
Mile Creek Farm and Produce,34.823795,-82.8393,830 Mt Olivet Rd,Six Mile,SC,29682,Pickens County,US,Match,Exact,26186116,R,45,077,010301,2037
Winslett's Produce Market,34.82318,-82.56093,210 Ginger Ln,Easley,SC,29642,Pickens County,US,Match,Non_Exact,26168936,R,45,077,010804,2038
Barefoot Farms of Belton,34.548313,-82.45879,296 Murphy Rd,Belton,SC,29627,Anderson County,US,Match,Exact,638642874,L,45,007,011402,1001
McClellanville Land and Sea Market,33.098907,-79.46836,1150 State Rd S-10-9,Mc Clellanville,SC,29458,Charleston County,US,No_Match,,,,,,,
East Cooper Community Outreach,32.839806,-79.81519,1149 6 Mile Rd,Mount Pleasant,SC,29466,Charleston County,US,No_Match,,,,,,,
Celadon’s Flea & Farmers Market,32.86549582,-79.9710757,2280 Ave D,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Fairfield Farmers and Artisans Market,34.30887865,-80.96213356,170 N Palmer St,Ridgeway,SC,29130,Fairfield County,US,Tie,,,,,,,
USC Farmers Market (Dorr Farms),33.93248,-80.37287,202 Miller Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202710106,R,45,085,000902,3001
USC Farmers Market (Wildfire Farms),33.93248,-80.37287,202 Miller Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202710106,R,45,085,000902,3001
American Legion Farmers Market (Newmans Farm House),33.91779874,-80.36048906,35 S Artillery Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672529,R,45,085,001300,1004
American Legion Farmers Market ( M & M Farms),33.91779874,-80.36048906,35 S Artillery Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672529,R,45,085,001300,1004
American Legion Farmers Market (Munoz),33.91779874,-80.36048906,35 S Artillery Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672529,R,45,085,001300,1004
American Legion Farmers Market (Harris Naturally Grown,33.91779874,-80.36048906,35 S Artillery Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202672529,R,45,085,001300,1004
USC Farmers' Market (The Veggie Patch),33.93248,-80.37287,202 Miller Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202710106,R,45,085,000902,3001
Sal's Ol' Timey Feed and Seed,34.090275,-81.011375,130 Hilltop Dr,Columbia,SC,29203,Richland County,US,Match,Exact,71819022,L,45,079,010702,1013
Pasture Shed Farm,32.40202193,-80.555966,46 Tom Fripp Rd,Saint Helena Island,SC,29920,Beaufort County,US,No_Match,,,,,,,
S & S Produce,33.29783776,-81.03747796,200 US Hwy 78,Bamberg,SC,29003,Bamberg County,US,No_Match,,,,,,,
Rosebank Farm,32.61777458,-80.15422315,4346 Betsy Kerrison Pkwy,Johns Island,SC,29455,Charleston County,US,No_Match,,,,,,,
Port Royal Farmers Market,32.39002552,-80.68682212,2331 Casablanca Cir,Port Royal,SC,29935,Beaufort County,US,Match,Exact,647855860,L,45,013,000800,3013
Farmer's Market Of Bluffton,32.2374171,-80.86239822,1 Promenade St,Bluffton,SC,29910,Beaufort County,US,Match,Non_Exact,638642866,L,45,013,002107,3031
Branton Produce,33.11136056,-79.46049426,10616 N Highway 17,Mc Clellanville,SC,29458,Charleston County,US,No_Match,,,,,,,
Boone Hall Farms Market Produce Stand,32.85221178,-79.80639255,NA US 17,Mount Pleasant,SC,29466,Charleston County,US,No_Match,,,,,,,
Rivers Vegetable Market,33.0097321,-80.24109315,107 Cone Ln,Summerville,SC,29483,Dorchester County,US,Match,Exact,178458372,L,45,035,010506,1002
Hampton County Farmer's Market,32.85834115,-81.09152242,896 W Palmetto Ave,Varnville,SC,29944,Hampton County,US,Match,Exact,630054274,R,45,049,920201,2057
Marshview Farm,32.34762517,-80.58450852,1238 Seaside Rd,Saint Helena Island,SC,29920,Beaufort County,US,No_Match,,,,,,,
Dempsey Farms,32.32828611,-80.60545881,1565 Seaside Rd,Saint Helena Island,SC,29920,Beaufort County,US,No_Match,,,,,,,
Barefoot Farms,32.40122042,-80.5704695,11 B Wilson Dr,Saint Helena Island,SC,29920,Beaufort County,US,No_Match,,,,,,,
Branchville Farmer's Market,33.25284535,-80.81533927,7408 Freedom Rd,Branchville,SC,29432,Orangeburg County,US,Match,Exact,19222977,L,45,075,011702,1088
Fields Family Farm,32.68285978,-80.02449962,3104 River Rd,Johns Island,SC,29455,Charleston County,US,No_Match,,,,,,,
Jaw's Produce,33.8602987,-78.8163573,4721 Southland Dr,Longs,SC,29568,Horry County,US,Match,Exact,29063920,L,45,051,060301,3002
Williamsburg County Farmers Market,33.66712055,-79.82096194,521 Franklin St,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29189848,L,45,089,970502,4037
Jackson's Peach Stand,33.59696669,-81.72536794,1316 Edgefield Hwy,Aiken,SC,29801,Aiken County,US,No_Match,,,,,,,
Lee's Farmers Market,33.54168449,-79.04980241,4842 Hwy 17 Business,Murrells Inlet,SC,29576,Georgetown County,US,No_Match,,,,,,,
Carrols Produce - Enoch Road,33.90794395,-79.13365146,300 Roleighn Rd,Conway,SC,29526,Horry County,US,No_Match,,,,,,,
Bobby's Produce,33.96230254,-79.18035726,NA US 501,Aynor,SC,29511,Horry County,US,No_Match,,,,,,,
Dean's Produce,33.92114725,-79.15241357,NA US 501,Conway,SC,29527,Horry County,US,No_Match,,,,,,,
Mcdowell Farms,35.14806684,-81.97464167,3740 Highway 11,Chesnee,SC,29323,Spartanburg County,US,No_Match,,,,,,,
The Fruit Stand,33.76145785,-80.35865944,12199 US Hwy 15,Manning,SC,29102,Clarendon County,US,Match,Exact,71428866,L,45,027,960400,2007
Wildfire Farm,34.03341207,-80.46334124,5265 Camden Hwy,Rembert,SC,29128,Sumter County,US,Match,Exact,202703380,R,45,085,000202,1001
Matthews Produce,34.03341207,-80.46334124,5265 Camden Hwy,Rembert,SC,29128,Sumter County,US,Match,Exact,202703380,R,45,085,000202,1001
Bradley's Produce,33.92138973,-80.35960188,87 Cherry St,Sumter,SC,29150,Sumter County,US,Match,Exact,202714409,L,45,085,001300,1001
Deaton Produce,33.95665351,-80.38381603,NA US 76 Business,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
Belton Farmer's Market,34.52804217,-82.49586968,313 N Main St,Belton,SC,29627,Anderson County,US,Match,Exact,636581631,R,45,007,011402,1055
Iva Farmer's Market,34.30671403,-82.66390094,707 W Front St,Iva,SC,29655,Anderson County,US,Match,Exact,25439191,L,45,007,011702,3067
Pendleton Farmers' Market,34.65214911,-82.78410114,106 W Queen St,Pendleton,SC,29670,Anderson County,US,Tie,,,,,,,
Manning Farmers Market,33.69627544,-80.20922248,NA US 521,Manning,SC,29102,Clarendon County,US,No_Match,,,,,,,
Williams Produce,34.47650334,-79.40174047,1556 Harllees Bridge Rd,Little Rock,SC,29567,Dillon County,US,Match,Exact,28818036,R,45,033,970100,2011
Johnston Farmers Market,33.83125671,-81.80194366,400 Calhoun,Johnston,SC,29832,Edgefield County,US,Match,Non_Exact,55835157,L,45,037,970300,2010
Edgefield Farmers' Market,33.79137819,-81.92903228,311 Lynch,Edgefield,SC,29824,Edgefield County,US,Match,Non_Exact,55833622,L,45,037,970203,1143
Lambs Produce,34.16783112,-79.76430551,1413 S Irby St,Florence,SC,29505,Florence County,US,Match,Non_Exact,640542306,R,45,041,001400,1021
Farmer Ed's Produce,33.44747286,-79.55136575,8 N Tupelo St,Georgetown,SC,29440,Georgetown County,US,No_Match,,,,,,,
Simpsonville Farmers' Market,34.73918772,-82.25067479,405 E Curtis St,Simpsonville,SC,29681,Greenville County,US,Match,Exact,38313168,L,45,045,003010,1050
Early Bird Farms,34.35403784,-82.21780764,6912 Hwy 25 N,Hodges,SC,29653,Greenwood County,US,No_Match,,,,,,,
Bellamy Farms,34.00741668,-78.76207107,4393 State Hwy 9,Loris,SC,29569,Horry County,US,Match,Non_Exact,29048574,R,45,051,030104,3021
Holmes Farms Produce,33.9970017,-78.86627547,3909 Hwy 66,Loris,SC,29569,Horry County,US,Match,Exact,29081683,L,45,051,020301,2001
Coastal Carolina University (CCU) Farmers Market,33.79626665,-79.00764925,102 E Chanticleer Dr,Conway,SC,29526,Horry County,US,Match,Exact,607111722,R,45,051,060405,1031
Market Common Farmers Market,33.67080881,-78.93922846,4017 Deville St,Myrtle Beach,SC,29577,Horry County,US,Match,Non_Exact,618472932,L,45,051,980100,1023
Surfside Beach Farmers Market,33.60839004,-78.97462174,416 1st Ave N,Surfside Beach,SC,29575,Horry County,US,Match,Exact,29060509,R,45,051,051201,2040
Rawl's,33.97954115,-81.33170187,585 Calks Ferry Rd,Lexington,SC,29072,Lexington County,US,Match,Exact,640812590,R,45,063,021045,1006
A & M Produce,34.54215975,-82.98020215,515 Dairy Farm Rd,Fair Play,SC,29643,Oconee County,US,No_Match,,,,,,,
Foothills Heritage Market,34.67010754,-83.02340341,NA US 123,Seneca,SC,29678,Oconee County,US,No_Match,,,,,,,
The Happy Berry,34.84093172,-82.8699442,510 Gap Hill Rd,Six Mile,SC,29682,Pickens County,US,No_Match,,,,,,,
Lever Farms,34.36029233,-81.47419858,5057 Sc34,Pomaria,SC,29126,Newberry County,US,No_Match,,,,,,,
Seneca Farmer's Market,34.68665033,-82.95125958,302 E North 2nd St,Seneca,SC,29678,Oconee County,US,Tie,,,,,,,
Hub City Farmer's Market - Wall St.,34.95040034,-81.93275434,100 Dunbar St,Spartanburg,SC,29306,Spartanburg County,US,Match,Exact,19508145,R,45,083,021200,1077
"Strawberry Hill, Usa",35.15089924,-81.95369474,3084 Highway 11,Chesnee,SC,29323,Spartanburg County,US,No_Match,,,,,,,
TD Saturday Market,34.85088821,-82.39940161,1 J N Main St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300991,L,45,045,000200,1013
3 Oaks Farm,34.66995638,-83.05820207,423 Old Seneca Rd,Westminster,SC,29693,Oconee County,US,Match,Exact,25638170,R,45,073,031000,4020
Robby's Roadside Market,34.15828467,-81.33910324,481 E Boundary St,Chapin,SC,29036,Lexington County,US,Match,Exact,70079803,R,45,063,021204,2063
Bewell Mauldin Market,34.78105548,-82.30639574,110 Sunrise Dr,Mauldin,SC,29662,Greenville County,US,Match,Exact,38353973,R,45,045,002903,3011
The Richburg Market Of Cotton Hills Farm,34.75191725,-81.05231754,2849 E Pinewood,Chester,SC,29706,Chester County,US,Match,Exact,615944280,L,45,023,020700,1023
Salem Open Air Market,34.89179359,-82.97765641,211 Municipal Dr,Salem,SC,29676,Oconee County,US,No_Match,,,,,,,
Carolina Fresh Market And More,34.64942107,-82.5242305,6633 Highway 29 N,Pelzer,SC,29669,Anderson County,US,No_Match,,,,,,,
Fisher's Orchard Pick Your Own Farm,35.03046675,-82.23343697,623 Fisher Rd,Greer,SC,29651,Greenville County,US,No_Match,,,,,,,
Craven's Produce,34.47080901,-81.89783091,761 W Carolina Ave,Clinton,SC,29325,Laurens County,US,Match,Exact,44443563,R,45,059,920700,2018
Maria's Produce,34.77032805,-80.23995284,21148 Hwy 9,Mount Croghan,SC,29727,Chesterfield County,US,Match,Non_Exact,14322055,L,45,025,950300,1039
Carroll's Produce Stand,34.12061841,-79.35456183,NA US 501,Marion,SC,29571,Marion County,US,No_Match,,,,,,,
Sellers Farm Produce - Mt Croghan,34.77032805,-80.23995284,21148 Hwy 9,Mount Croghan,SC,29727,Chesterfield County,US,Match,Non_Exact,14322055,L,45,025,950300,1039
Pop Up Farmers Market,34.41736512,-79.37254198,100 N Railroad Ave,Dillon,SC,29536,Dillon County,US,Tie,,,,,,,
Rembert Farmers Market,34.09796064,-80.53540428,12 Hagood St,Rembert,SC,29128,Sumter County,US,Match,Exact,202661874,L,45,085,000100,2033
Homestead Farmers Market,34.09620946,-80.92399141,9223 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
BELL FARMS PRODUCE,33.93899171,-78.73336011,1 E Hwy 9,Longs,SC,29568,Horry County,US,No_Match,,,,,,,
Mikes Produce and Seafood,33.77092574,-78.78873702,530 Lake Arrowhead Rd,Myrtle Beach,SC,29572,Horry County,US,No_Match,,,,,,,
Rivers Edge Market,34.04928744,-78.83446233,1925 E Hwy 9th Byp,Loris,SC,29569,Horry County,US,No_Match,,,,,,,
Baker Produce and More,34.66084233,-82.81392171,117 Walker St,Clemson,SC,29631,Pickens County,US,Match,Exact,26223815,L,45,077,011206,2007
Freeman's Fresh Produce,32.64751665,-80.1423936,3370 William Freeman Ln,Johns Island,SC,29455,Charleston County,US,Match,Exact,617913335,R,45,019,002103,4024
Bone Hall Plantation and Garden,32.85307411,-79.80545841,NA US 17,Mount Pleasant,SC,29466,Charleston County,US,No_Match,,,,,,,
