Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Florence County,Local Funding,1000000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,SCPRT,100000,State/Tribal Funding (non-section 128(a))&#10,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Bruce and Lee Foundation,Private/Other Funding,1700000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Darla Moore Foundation,100000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,City of Lake City,Local Funding,325000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Various small grants,48675,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,City of Lake City,Local Funding,325000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,SCPRT,100000,State/Tribal Funding (non-section 128(a))&#10,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,EPA,Brownfields RLF Grant Funds Loaned,500000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Various small grants,48675,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Bruce and Lee Foundation,Private/Other Funding,1700000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,SCPRT,100000,State/Tribal Funding (non-section 128(a))&#10,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Bruce and Lee Foundation,Private/Other Funding,1700000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Bruce and Lee Foundation,1800000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Bruce and Lee Foundation,Private/Other Funding,1700000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Various small grants,48675,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,City of Lake City,Local Funding,325000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Bruce and Lee Foundation,1800000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Florence County,Local Funding,1000000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Darla Moore Foundation,100000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,EPA,Brownfields RLF Grant Funds Loaned,500000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Bruce and Lee Foundation,1800000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,EPA,Brownfields RLF Grant Funds Loaned,500000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Darla Moore Foundation,100000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,City of Lake City,Local Funding,325000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Darla Moore Foundation,100000,Private/Other Funding,6/30/15,4/23/18
South Carolina Department of Health & Environmental Control,BCRLF,,232881,City of Lake City Wastewater Site,265 North Church Street,LAKE CITY,SC,29560,20.1,Government,Florence County,"The property was used by the City of Lake City as a wastewater treatment facility and landfill prior to landfill regulations.  Florence County entered into Voluntary Cleanup Contract 12-6105-NRP with the SCDHEC and then acquired the property for future use as a park.  Prior to use as a park, Florence County removed wastewater treatment facility components, identified the extent of the landfill area and placed a two foot clean soil cover over the landfill area.",,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,4/8/15,8/22/16,20.1,Florence County,Local Funding,1000000,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Various small grants,48675,Private/Other Funding,6/30/15,4/23/18
Town of Cheraw,Assessment,,210521,Brown Park,30 Tote Road,CHERAW,SC,29520,1.41,Government,Town of Cheraw,"The Property consists of a single parcel and is currently developed with a recreational park. A single groundwater monitoring well is located on the Property, due to assessment of an off-site petroleum release.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3300,Phase I Environmental Assessment,1/25/16,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,210542,Bluland LLC,"Maynard Street, Greene Stree, and Godfrey Street",CHERAW,SC,29520,15.14,Private,Bluland LLC,"The site was previously developed with a veneer and furniture parts manufacturer, including JL Anderson, Cheraw Box Company and Wood Components.  A review of historical information indicts the former use of solvents at the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,1/22/16,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,210542,Bluland LLC,"Maynard Street, Greene Stree, and Godfrey Street",CHERAW,SC,29520,15.14,Private,Bluland LLC,"The site was previously developed with a veneer and furniture parts manufacturer, including JL Anderson, Cheraw Box Company and Wood Components.  A review of historical information indicts the former use of solvents at the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,20700,Phase II Environmental Assessment,9/27/17,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,210582,McBride's Quality Cleaners,63 2nd Street,CHERAW,SC,29520,0.48,Private,"Charles H. McBride Jr., Trust","The Property consists of a single parcel and is developed with two vacant structures. A dry cleaner (McBride's Quality Cleaners) previously operated on the Property.  Additional data reviewed indicates the presence of a former fueling station and gas tank in the 1930s, and underground storage tanks associated with the former dry cleaner.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,37100,Phase II Environmental Assessment,9/27/17,Unknown,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,210582,McBride's Quality Cleaners,63 2nd Street,CHERAW,SC,29520,0.48,Private,"Charles H. McBride Jr., Trust","The Property consists of a single parcel and is developed with two vacant structures. A dry cleaner (McBride's Quality Cleaners) previously operated on the Property.  Additional data reviewed indicates the presence of a former fueling station and gas tank in the 1930s, and underground storage tanks associated with the former dry cleaner.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5130,Phase I Environmental Assessment,2/2/16,Unknown,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenville,Assessment,,227902,City Park Wetlands,Meadow Street & Trescott Street,GREENVILLE,SC,29601,2.93,Private,,"Property is an assemblage of 14 contiguous currently undeveloped parcels ranging in size from .0028 to 1.26 acres. The subject property was developed with at least 12 residential structures in the 1920s.  by the 1960s, only 2 residences remained and a portion of the site contained a church.  The remaining residential structures and the church were demolished by 2010 and the site is currently vacant.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,1/16/17,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228142,Former Cheraw Recycling Center,61 ACL Avenue,CHERAW,SC,29520,1.12,Private,Bobbie McElveen,"The Property is currently developed with a vacant warehouse.  The Property was previously occupied by the Cheraw Recycling Plant, and was also a portion of the Cheraw Oil and Fertilizer Company.  Based on historic data, oil tanks were present on the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,48100,Phase II Environmental Assessment,12/20/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228142,Former Cheraw Recycling Center,61 ACL Avenue,CHERAW,SC,29520,1.12,Private,Bobbie McElveen,"The Property is currently developed with a vacant warehouse.  The Property was previously occupied by the Cheraw Recycling Plant, and was also a portion of the Cheraw Oil and Fertilizer Company.  Based on historic data, oil tanks were present on the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,8/12/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228143,Pee Dee Ice & Fuel,23 Chestnut Street,CHERAW,SC,29520,0.82,Private,James E. Hill,"The Property is currently developed with a structure occupied by Pee Dee Ice & Fuel Inc., but the facility no longer dispenses fuel. The Property was previously developed with the Standard Ice and Coal Companty, Inc.  Historic data indicates the use of petroleum products, coal, and ammonia on the Property.  To date, no soil or groundwater assessments have been conducted on the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2700,Phase I Environmental Assessment,9/27/17,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228144,Second and Duvall Street,"243, 245, 249 Second Street",CHERAW,SC,29520,1.4,Private,Carl's Maintenance Service; Mohammed El Sherif; Morees Rental LLC,"The Property is currently developed with Carl's Maintenance Services, Inc. and T-Riffic Screen Printing & Embroidery, LLC. The Property was previously developed with a former service station and auto repair facility at 249 2nd Street (near the intersection of 2nd and Duvall).  Former printing business located on site as well. Historic data indicates the use of petroleum products and solvents on the Property.  To date, no soil or groundwater assessments have been conducted on the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3350,Phase I Environmental Assessment,4/26/17,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228145,Second & Kershaw Street,"304, 307, 311, & 315 Second Street",CHERAW,SC,29520,2.6,Private,Jackson Oil Company; Mohamed El Sherif,"The Property is currently developed with a vacant restaurant. The Property was previously with a service station and auto repair facility.  Historic data indicates the use of petroleum and other chemicals of concern on the Property.  To date, no soil or groundwater assessments have been conducted on the Property.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2800,Phase I Environmental Assessment,4/26/17,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228146,Chesterfield Highway Tract,Chesterfield Highway,CHERAW,SC,29520,12.6,Government,Town of Cheraw,The Property is mostly undeveloped.  A former tennis/basketball court is developed in the middle of the tract.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,1550,Phase I Environmental Assessment,4/5/17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Cheraw,Assessment,,228147,Cheraw Community Center,419 2nd Street,Cheraw,SC,29520,1.13,Government,"Town of Cheraw Community Development Corp., Town of Cheraw",The Property is currently undeveloped and cleared. The Property was previously developed with multiple residences.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2420,Phase I Environmental Assessment,6/21/17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,236783,American House Spinning,356 Mauldin Road,CENTRAL,SC,29630,88,Private,"American House Spinning, Inc","According to information from the Pickens County Geographical Information System (GIS), the approximately 88-acre site consists of two parcels (Pickens County Parcel Nos. 4065-13-14-8286 and 4065-09-15-5545) is located at 356 Mauldin Road in Central, Pickens County, South Carolina.  The site is currently vacant, but is developed with the former American House Spinning textile mill facility, including a main facility consisting of an original building with several additions, a boiler room, a chem",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4000,Phase I Environmental Assessment,5/1/18,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,236783,American House Spinning,356 Mauldin Road,CENTRAL,SC,29630,88,Private,"American House Spinning, Inc","According to information from the Pickens County Geographical Information System (GIS), the approximately 88-acre site consists of two parcels (Pickens County Parcel Nos. 4065-13-14-8286 and 4065-09-15-5545) is located at 356 Mauldin Road in Central, Pickens County, South Carolina.  The site is currently vacant, but is developed with the former American House Spinning textile mill facility, including a main facility consisting of an original building with several additions, a boiler room, a chem",EPA,US EPA - Brownfields Assessment Cooperative Agreement,13000,Supplemental Assessment,5/1/18,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2400,Phase I Environmental Assessment,6/26/18,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2625,Cleanup Planning,11/29/19,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,110000,Phase II Environmental Assessment,10/10/19,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2800,Supplemental Assessment,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3400,Phase I Environmental Assessment,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Saluda,Assessment,,236932,Riverside School,404 North Bouknight Ferry Road,SALUDA,SC,29138,48.68,,non-profit - Riverside Community Development Corporation,"The site is a former school building that is improved with approximately 64,469 square feet (Source&#58 Saluda County Tax Assessor) of building space. The site includes the school building and two smaller buildings as well as landscaped areas, asphalt parking, car/bus loop, and recreation fields. The remaining areas of the site are forestland. &#10At the time of the site inspection the site was mostly unutilized and undergoing renovation on the interior and exterior. A few classrooms are being utilize",EPA,US EPA - Brownfields Assessment Cooperative Agreement,20000,Phase I Environmental Assessment,7/25/17,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229321,Central Garage,704 West Main Street,CENTRAL,SC,29630,0.5,Government,Town of Central,"Central Garage is a former retail gas and service station which operated from 1949 to 1998. Site structures include an office area, restrooms, and four maintenance bays. Four USTs of various sizes and quantities were abandoned in place in 2000.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2000,Phase I Environmental Assessment,9/21/17,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Columbia,Assessment,,229342,Former Fox Theater (Nicklodeon),1607 Main Street,COLUMBIA,SC,29201,1,Private,Columbia Film Society,"The subject property building is an approximate 9,000 square foot, vacant former movie theater structure. The general vicinity of the subject property consists of the urban downtown commercial portion of Columbia, South Carolina. Several commercial businesses and offices are located in the area. The subject property building consists of a two story brick and concrete structure that was formerly used as a movie theater. A movie screen and seating remain in the upper level. A movie screen is also",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4202,Phase I Environmental Assessment,6/3/10,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,Private/Other Funding,1/1/11,12/15/12
City of Columbia,Assessment,,229343,Former Main and Taylor Shoes Site,1614 Main Street,COLUMBIA,SC,29201,0.21,Private,"Main and Taylor, LLC.","The interior consists of a main floor and basement. The basement was constructed of concrete walls, floor and ceiling. Standing water was observed in the basement at the time of CES's assessment. The interior of the main floor was constructed of sheet rock walls, mirrors, carpet, wood parque flooring, and vinyl tile flooring, with a portion of suspended ceiling with other areas having a plastered ceiling.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,6536,Phase I Environmental Assessment,7/25/12,No,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000,Private/Other Funding,7/1/12,12/31/12
City of Columbia,Assessment,,229344,Palmetto Compress & Warehouse Building,612 & 617 Devine Street,COLUMBIA,SC,29201,4.7,Private,Palmetto Preservation Corp.,"The site is located in a mixed use area southwest of downtown Columbia, SC. Surrounding properties include light industrial and commercial warehouse properties, railroad easements and restaurants.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,14619,Phase I Environmental Assessment,5/14/07,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000,Private/Other Funding,5/1/07,12/31/07
City of Columbia,Assessment,,229361,1209 Franklin Street,1209 Franklin Street,COLUMBIA,SC,29201,0.13,Private,Sue M. Harvell,"The subject property is approximately 0.13 acre. The subject property is developed with a garage style building, which is approximately 2,400 square feet. The building is single story and is constructed of brick and cinderblock on a concrete slab foundation. The building has a curved, hangar style roof.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4490,Phase I Environmental Assessment,3/23/15,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,350000,Private/Other Funding,3/1/15,12/31/15
City of Columbia,Assessment,,229362,1113 Lady Street & 1306 Assembly Street,1113 Lady Street & 1306 Assembly Street,COLUMBIA,SC,29201,0.23,Private,"Belk-Howard Company of Columbia, SC","The subject property is cumulatively approximately 0.23 acres. The buildings include approximately 23,000 square feet of interior space. The 1306 Assembly Street portion consists of two stories and is constructed on grade. The 1113 Lady Street portion is also two story and is constructed over a finished basement space. The buildings appear to be constructed on the lot lines.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,13103,Phase I Environmental Assessment,11/14/14,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,10700000,Private/Other Funding,1/1/14,12/31/14
City of Columbia,Assessment,,229364,601 CATAWBA STREET SITE,601 CATAWBA STREET,COLUMBIA,SC,29201,1,Private,Mr. Thomas Boruk,"The 1-acre site is located at 601 Catawba Street in Columbia, Richland County, South Carolina. The site has been improved with an approximate 20,400-square foot former steel fabrication/office structure and three mobile trailer -style offices. The site is currently vacant.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,64836,Phase II Environmental Assessment,7/22/11,Unknown,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
