site_name,bhcmis_org_id,bphc_assigned_number,site_telephone_number,GEOID,tract_latitude,tract_longitude,lat,lon
Winnsboro Pediatric and Family Practice,043270,BPS-H80-011279,803-635-1052,45039960500,+34.2860838,-081.1792971,34.37165744,-81.10312882
Tandem Health,0423590,BPS-H80-020999,803-774-3600,45085000700,+33.9552524,-080.3123100,33.93892999,-80.33765504
Genesis Health Care - Darlington,04E01160,BPS-H80-031143,843-944-8570,45031011100,+34.3032610,-079.8702831,34.30265799,-79.87009471
The Bethany Center,042780,BPS-H80-011321,864-229-4446,45047970600,+34.1890147,-082.0906631,34.20669132,-82.13968719
Foothills Community Health Care - Anderson - Westside,04E00503,BPS-H80-029529,864-722-0283,45007000700,+34.4939131,-082.6616905,34.49607116,-82.66311575
Columbia Community Family Practice,043270,BPS-H80-031863,803-995-8527,45079000100,+34.0497425,-081.0201576,34.04539982,-81.02843173
Lake Monticello Family Practice,043270,BPS-H80-013620,803-298-2068,45039960500,+34.2860838,-081.1792971,34.29631774,-81.28966221
Pee Dee Health Care,04E01160,BPS-H80-015658,843-393-7452,45031011100,+34.3032610,-079.8702831,34.30459513,-79.86880348
CareSouth Carolina Cheraw Center,045230,BPS-H80-018857,843-537-0961,45025950502,+34.7080062,-079.9249608,34.69501457,-79.91866639
HopeHealth Orangeburg,0452150,BPS-H80-028106,803-535-2272,45075010600,+33.4186687,-080.7840432,33.47315333,-80.84502345
Pendleton Place Youth Drop In Center - Medical Exam Room,042610,BPS-H80-030022,864-729-8330,45045000800,+34.8493143,-082.4271138,34.8449305,-82.42183965
Family Medical Center of Blackville,0416080,BPS-H80-024716,803-284-1045,45011970200,+33.3685118,-081.2762976,33.35590091,-81.26635898
Packing Shed Housing Camp,041110,BPS-H80-018938,843-722-4112,45019002101,+32.7430103,-080.0840064,32.76494467,-80.07120666
"Low Country Health Care System, Inc. dba Barnwell Pediatrics, P.A.",0416080,BPS-H80-013577,803-259-7337,45011970400,+33.2281969,-081.2774271,33.25813807,-81.35311012
Eastover Family Practice,043270,BPS-H80-024916,803-353-8741,45079012000,+33.9116689,-080.6752843,33.88082314,-80.70531197
CareSouth Carolina Latta Center,045230,BPS-H80-015579,843-627-6261,45033970600,+34.3374526,-079.4823899,34.33232409,-79.4261929
Little Mountain Pediatric and Family Practice,043270,BPS-H80-028162,803-945-1005,45071950602,+34.1483660,-081.4434453,34.19662046,-81.41510125
Bamberg Specialty Services,0416080,BPS-H80-027897,803-956-6100,45009960200,+33.2528574,-080.9598246,33.30744365,-81.03022923
"Family Health Centers, Inc. Optometry Mobile Unit",041180,BPS-H80-027847,803-531-6900,45075011100,+33.5450483,-080.8457594,33.52886919,-80.83889586
Carolina Community Pharmacy at Carolina Village,042780,BPS-H80-011080,864-330-8230,45047970800,+34.1118770,-082.1861034,34.17132295,-82.15753427
Affinity Health Center Main,04E00154,BPS-H80-022053,803-909-6363,45091060200,+34.9282234,-081.0056196,34.93198079,-80.997385
CareSouth Carolina Inc. Corporate Office,045230,BPS-H80-005094,843-857-0111,45031010700,+34.3541929,-080.0756425,34.37290601,-80.07252295
LRMC-Mobile Van #3,047060,BPS-H80-018088,843-663-8001,45051040104,+33.8868648,-078.6108585,33.88282526,-78.59913944
Carolina Community Pharmacy NW,042780,BPS-H80-008972,864-889-9300,45047970302,+34.2103000,-082.2139248,34.20323546,-82.19780731
Rosa Clark Medical Clinic at Memorial Drive,04E01242,BPS-H80-019314,864-882-4664,45073030601,+34.7033834,-082.9775697,34.69402719,-82.98776539
Genesis Health Care Florence,04E01160,BPS-H80-017257,843-673-9992,45041001400,+34.1570461,-079.7798661,34.166182,-79.77937896
Andrews Healthcare Center,048430,BPS-H80-013962,843-264-2680,45043920201,+33.4085413,-079.4854138,33.46058459,-79.55819286
Walterboro Family Care,04E01160,BPS-H80-018599,843-781-7428,45029970402,+32.9671267,-080.6527418,32.91935005,-80.67224267
RIDGELAND HARDEEVILLE HIGH SCHOOL,041190,BPS-H80-004860,843-717-1510,45053950202,+32.5364880,-080.8861724,32.49932945,-80.98771303
Whale Branch Early College High School,041190,BPS-H80-010353,843-466-2700,45013000200,+32.5007617,-080.7468659,32.5145378,-80.75673958
Foothills Community Health Care-Easley,04E00503,BPS-H80-018873,864-343-1220 x201,45077010801,+34.8349715,-082.6269605,34.83803177,-82.61023935
CSC HARTSVILLE CENTER,045230,BPS-H80-001036,843-332-3422,45031010700,+34.3541929,-080.0756425,34.35781196,-80.06000508
Ocab Head Start Center,041180,BPS-H80-029823,803-531-6900,45075010600,+33.4186687,-080.7840432,33.47467758,-80.84328957
"HopeHealth, Inc.",0452150,BPS-H80-008173,843-667-9414,45041000700,+34.1875889,-079.7527189,34.19416708,-79.75894388
ST. JAMES-SANTEE FAMILY HLTH CTR,048430,BPS-H80-004202,843-545-8723,45043920400,+33.5532527,-079.2329199,33.54830326,-79.33298654
Mobile Dental Unit,042610,BPS-H80-017248,864-801-2035,45045002504,+34.9441768,-082.2341056,34.94627447,-82.2233295
Cooperative Health Mobile Unit,043270,BPS-H80-028163,803-754-0151,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
Eau Claire Cooperative Health Center Administrative Offices,043270,BPS-H80-024827,803-733-5969,45063021106,+34.0583895,-081.1417975,34.05949202,-81.12953542
Plexus Health | Kershaw,04E01063,BPS-H80-013095,803-475-2083,45057010200,+34.5820726,-080.5578749,34.5487344,-80.57992984
Plexus Health | Lancaster,04E01063,BPS-H80-013108,803-285-2273,45057010800,+34.7162854,-080.7786524,34.71666392,-80.78908277
BJHCHS Ronald McDonald Mobile Unit,041190,BPS-H80-030222,843-987-7400,45053950201,+32.3984799,-080.9415727,32.31187011,-80.93488397
"Thaddeus J. Bell, MD Family Health Center",041110,BPS-H80-022065,843-821-3444,45015020710,+33.0923660,-080.1901804,33.03656146,-80.16497643
Tandem Health,0423590,BPS-H80-024753,803-774-4500,45085000700,+33.9552524,-080.3123100,33.94377198,-80.32961235
"BEAUFORT-JASPER HAMPTON COMP HLTH SERVICES, INC.",041190,BPS-H80-002644,843-987-7400,45013002202,+32.3376045,-080.8200441,32.36088518,-80.87221326
"Rose D. Gibbs, MD Family Health Center",041110,BPS-H80-022064,843-761-1995,45015020504,+33.2060781,-080.0069274,33.19668833,-80.01443477
Mobile ROADS,045230,BPS-H80-030061,843-309-8102,45031010700,+34.3541929,-080.0756425,34.35781196,-80.06000508
HopeHealth Irby Street,0452150,BPS-H80-017703,843-667-9414,45041000900,+34.2077622,-079.7859632,34.20227175,-79.76852524
CareSouth Carolina Bishopville Pediatric Dental Office,045230,BPS-H80-027715,843-857-0111,45061920302,+34.1505544,-080.2166106,34.21550149,-80.25214923
Clyburn Center for Primary Care Mobile Unit,045220,BPS-H80-018097,803-380-7000,45003021400,+33.5732059,-081.7228476,33.57281068,-81.71151887
CareSouth Carolina McColl Health and Wellness Center,045230,BPS-H80-027716,843-523-5751,45069960400,+34.6853318,-079.5843029,34.65287964,-79.56949659
THE CHILDREN'S CENTER,042780,BPS-H80-002822,864-941-8170,45047970400,+34.1698568,-082.2054546,34.17107782,-82.1675074
HopeHealth Greeleyville,0452150,BPS-H80-016921,843-667-9414,45089970700,+33.6086383,-080.0059872,33.58092165,-79.98881124
