Site Name,Site ID,EPA ID,Address,Address (cont),Zip Code,National Priorities List Status,Contaminated Ground Water Migration Status,Human Exposure to Contamination Status,lat...12,long...13,geo_method,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,city,county,state,postcode,country,country_code,commercial,hamlet,town,amenity,village,neighbourhood,building,street,lat...39,long...40,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
BARITE HILL/NEVADA GOLDFIELDS,407714,SCN000407714,State Road S-33-44 & Troy West Road,,29835,Currently on the Final NPL,,,33.87309,-82.30067,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,33.872411,-82.309731,0.93,nearest_street,838,State Rd S-33-44,,,McCormick,SC,McCormick County,29835,US,TIGER/Line® dataset from the US Census Bureau
,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
Location: South Carolina (State),,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
Point source: US EPA,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:",,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
https://www.policymap.com/terms/,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
https://www.policymap.com/citing/,,,,,,,,,,,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,0,0,0,,,,,,,,,,,
