npi,basic_organization_name,NPI,Hours of Operation,MEDICAID ID,SPOKEN LANGUAGES,e-Rx,Delivery,Compound,Drive- Thru,Vaccines,Handicap Access,Cultural Comp- Training,Accepting New Customers,Website,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number,lat,long,geo_method
1245755909,WALGREEN CO,1245755909,,717705,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/3/17,7/6/18,A,,ALYSSA,SWEETEN,217-709-2386,AUTHORIZED OFFICIAL,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,6118 SAINT ANDREWS RD,,COLUMBIA,SC,29210,803-798-4010,803-798-3327,34.050555,-81.1025904,osm
1255358404,WAL-MART STORES EAST LP,1255358404,,724022,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3027 WADE HAMPTON BLVD,,TAYLORS,SC,296872789,864-292-2014,,34.906067,-82.33067,census
1255358412,WAL-MART STORES EAST LP,1255358412,,724710,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,7400 RIVERS AVE,,NORTH CHARLESTON,SC,294064644,843-572-9616,,32.93556,-80.038536,census
1255390993,"INTRAMED PLUS, INC",1255390993,,726043,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.intrAedplus.com,NO,3/21/06,8/20/12,A,,SHELLEY,COOLEY,803-794-0200,REIMBURSEMENT DIRECTOR,"INTRAMED PLUS, INC",,,Y,,,,,,,,,,,US,United States,LOCATION,DOM,112 SALUDA RIDGE CT,SUITE 100,WEST COLUMBIA,SC,291693455,803-794-0200,803-794-1302,34.010765,-81.129326,census
1255416616,PLANTATION PHARMACY AT ELLIS OAKS,1255416616,,780107,ENG,Y,N,N,N,Y,Y,Y,Y,www.plantationpharmacy.com,NO,10/26/06,1/3/11,A,R.PH.,DEBORAH,DAPORE,843-795-9554,OWNER,PLANTATION PHARMACY AT ELLIS OAKS,,,,MS.,,,,,,,,,,US,United States,LOCATION,DOM,776 DANIEL ELLIS DR,2C,CHARLESTON,SC,294123094,843-795-9554,843-795-2660,32.749825,-79.96922,census
1255434791,SOUTH CAROLINA CVS PHARMACY LLC,1255434791,,71138D,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1010 HIGHWAY 17 N,,NORTH MYRTLE BEACH,SC,295822806,843-249-1451,,33.83928585,-78.66710243,Google Maps
1255434932,SOUTH CAROLINA CVS PHARMACY LLC,1255434932,,743492,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1370 HIGHWAY 17,,LITTLE RIVER,SC,295669219,843-249-7618,,33.8746,-78.61925,census
1255472627,M & S INVESTMENTS LLC,1255472627,,792207,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.facebook.com/pagelandfAilypharmacy,NO,2/9/07,12/1/16,A,RPH,KARLA,MILHORN,843-675-2323,PHRM MANG,M & S INVESTMENTS LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,214 SOUTH VAN LINGLE MUNGO BLVD,,PAGELAND,SC,29728,843-675-2323,843-675-2025,34.77412639,-80.38259916,osm
1255490314,SOUTH CAROLINA CVS PHARMACY LLC,1255490314,,745490,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,12/6/06,3/1/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,8523 OLD STATE RD,,HOLLY HILL,SC,29059,803-496-3954,,33.322857,-80.4136,census
1255634069,FAMILY PHARMACY AT GMH,1255634069,,711276,ENG,Y,N,N,N,N,Y,Y,Y,www.tidelandshealth.org/care-treatment/fAily-pharmacy,YES,12/16/10,5/1/20,A,,GAYLE,RESETAR,843-652-1002,CHEIF OPERATIONS OFFICER,FAMILY PHARMACY AT GMH,<UNAVAIL>,GEORGETOWN MEMORIAL HOSPITAL,,MRS.,,5/1/20,,,,,,,,US,United States,LOCATION,DOM,606 BLACK RIVER RD,,GEORGETOWN,SC,294403304,843-520-8550,,33.379955,-79.28571,census
1255731097,PUBLIX SUPER MARKETS INC,1255731097,,715338,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,8/29/14,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,479 BYPASS 72 NW STE 100,,GREENWOOD,SC,296491405,864-223-8909,864-538-6489,34.20923535,-82.18697023,Google Maps
1255857108,WALGREEN CO,1255857108,,717678,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/22/17,11/30/18,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,515 S HAMPTON ST,,KERSHAW,SC,290671834,803-475-7370,803-475-5531,34.537872,-80.582825,census
1255860243,"PUBLIX SUPER MARKETS, INC.",1255860243,,717476,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/5/17,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,"PUBLIX SUPER MARKETS, INC.",,,,,,,,,,,,,,US,United States,LOCATION,DOM,704 FAIRVIEW RD.,,SIMPSONVILLE,SC,29680,863-688-1188,,34.70411,-82.25771,census
1255872107,SHRI AARNA INC,1255872107,,717140,ENG,Y,Y,N,N,N,Y,Y,Y,vistara-pharmacy.business.site,NO,3/12/17,4/5/17,A,,THITA,BORSANIA,843-713-1575,PHARMACIST IN CHARGE,SHRI AARNA INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,817 S CASHUA DR STE C,,FLORENCE,SC,295016398,843-713-1575,877-839-0075,34.17623615,-79.81327513,Google Maps
1265045322,PTVP,1265045322,,7Z1111,ENG,N,N,N,N,Y,Y,Y,Y,https://buylowrx.business.site,NO,8/28/20,11/4/20,A,,PAYAL,THADANI,864-572-5727,PHARMACIST IN CHARGE,PTVP,,,,MRS.,,11/4/20,,,,,,,,US,United States,LOCATION,DOM,8007 WARREN H ABERNATHY HWY,,SPARTANBURG,SC,293012449,864-572-5727,864-572-5728,34.93659987,-82.0040553,Google Maps
1265417927,GREENVILLE HEALTH CORPORATION,1265417927,,747056,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.ghs.org/healthcareservices/upstate-pharmacy,NO,12/14/05,4/14/21,A,,POLLY,MILLER,864-522-2286,VP PAYOR STATEGIES & ALIGNMENT,GREENVILLE HEALTH CORPORATION,,,H.,,,4/14/21,,,,,,,,US,United States,LOCATION,DOM,200 PATEWOOD DR,SUITE B-150,GREENVILLE,SC,296153593,864-454-2369,,34.853878,-82.32632,census
1265459416,WAL-MART STORES EAST LP,1265459416,,722934,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,230 N BELTLINE DR,,FLORENCE,SC,295017403,843-664-0909,,34.19537168,-79.82136453,Google Maps
1265462659,PALMETTO INFUSION SERVICES LLC,1265462659,,711512,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.palmettoinfusion.com,NO,7/3/06,6/5/17,A,,CONNIE,HARTLEY,803-227-5447,VICE PRESIDENT REIMBURSEMENT,PALMETTO INFUSION SERVICES LLC,,,C,,,,,,,,,,,US,United States,LOCATION,DOM,3105 SUNSET BLVD,,WEST COLUMBIA,SC,291693425,800-809-1265,803-772-7782,34.007088,-81.12412,census
1265535942,SOUTH CAROLINA CVS PHARMACY LLC,1265535942,,711398,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,9/10/15,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,118 W MAIN ST,,LIBERTY,SC,296571141,864-843-2726,,34.78924766,-82.69547842,Google Maps
1265819205,KARMA HEALTHCARE LLC,1265819205,,715934,ENG,Y,Y,N,N,Y,Y,Y,Y,https://www.medicineshoppe.com,NO,4/29/15,7/19/18,A,,SURYAKANT,PATEL,864-761-4566,OWNER,KARMA HEALTHCARE LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,301 W CHEROKEE ST STE B,,BLACKSBURG,SC,297021558,864-761-4566,864-761-0003,35.11961,-81.5192,census
1265953251,RPVR CORPORATION,1265953251,,717324,ENG,Y,Y,N,N,Y,N,Y,Y,myfleetwoodpharmacy.com,YES,6/29/17,6/29/17,A,,BHAVESH,PATEL,864-416-4927,OWNER,RPVR CORPORATION,<UNAVAIL>,RPVR CORPORATION,,,,,,,,,,,,US,United States,LOCATION,DOM,100D FLEMING ST,,LAURENS,SC,293601902,864-416-4927,864-416-4928,34.50587497,-82.01000783,Google Maps
1265957047,WALGREEN CO,1265957047,,717695,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/14/17,2/25/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,501 N HARPER ST,,LAURENS,SC,293602337,864-984-3026,864-984-9257,34.50663623,-82.01001501,Google Maps
1275025942,PREFERRED PHARMACY LLC,1275025942,,717999,"ENG, SPA",Y,N,N,N,Y,Y,Y,Y,,NO,5/30/18,4/26/19,A,PHARMD,JEREMY,SIMMONS,843-729-5583,OWNER,PREFERRED PHARMACY LLC,,,MICHAEL,,,,,,,,,,,US,United States,LOCATION,DOM,101 COMMERCE PL W STE H,,OKATIE,SC,299094678,843-227-3501,843-705-4444,32.298515,-80.93639,census
1275030645,LONGS DRUGSTORES OF SC INC,1275030645,,717812,ENG,Y,Y,N,N,N,Y,Y,Y,https://avitapharmacy.com,NO,4/11/18,6/27/18,A,,ASHLEY,ELLIS,704-641-7967,CORPORATE COUNSEL/AO,LONGS DRUGSTORES OF SC INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,455 LAKESHORE PKWY,,ROCK HILL,SC,297304205,803-992-3263,844-641-3263,34.93088,-81.00164,census
1275150815,HEALTH CARE PARTNERS PHARMACY,1275150815,,7Z1104,Spanish,Y,N,N,Y,N,Y,Y,Y,hcpsc.org,YES,6/30/20,6/30/20,A,,JIM,EUBANKS,843-488-6363,CEO,HEALTH CARE PARTNERS PHARMACY,<UNAVAIL>,"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC.",,,,6/30/20,,,,,,,,US,United States,LOCATION,DOM,145 PALMETTO POINTE RD,,MARION,SC,295716721,843-488-6341,843-488-6346,34.18617138,-79.37072304,Google Maps
1275548349,WALGREEN CO,1275548349,,715806,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/26/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4779 HIGHWAY 501,,MYRTLE BEACH,SC,295799444,843-903-5695,,33.75535,-78.96531,census
1275548364,WALGREEN CO,1275548364,,715733,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,11/28/15,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,868 FORDING ISLAND RD,,BLUFFTON,SC,299108663,843-815-9953,,32.266293,-80.85913,census
1275596249,DELTA PHARMACY INC,1275596249,,719914,ENG,Y,N,N,Y,Y,Y,Y,Y,https://delta-rx.com/,NO,4/10/06,11/25/15,A,,ANDRIA,WELCH,843-761-5255,OWNER,DELTA PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,402 E MAIN ST,,MONCKS CORNER,SC,294613616,843-761-5255,843-899-4970,33.1947477,-80.00478916,Google Maps
1275596876,"MULLINS DISCOUNT DRUG, INC",1275596876,,763717,ENG,Y,Y,Y,N,Y,Y,Y,Y,,NO,4/6/06,11/19/07,A,R.PH.,DOUGLAS,JOHNSON,843-464-1757,OWNER/PHARMACIST IN CHARGE,"MULLINS DISCOUNT DRUG, INC",,,TODD,MR.,,,,,,,,,,US,United States,LOCATION,DOM,310 S MAIN ST,,MULLINS,SC,295743112,843-464-1757,843-464-1751,34.20384107,-79.25386348,Google Maps
1275671851,BHP LAX LLC,1275671851,,728680,ENG,Y,Y,N,N,Y,Y,Y,Y,www.carolinapharmacysc.com,NO,2/3/07,1/25/19,A,,VIPUL,PATEL,803-804-4735,OWNER/AO,BHP LAX LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1228 COLONIAL COMMONS CT,,LANCASTER,SC,297202215,803-286-8444,803-286-8466,34.71763927,-80.79555339,Google Maps
1275686628,HUSAM BADR,1275686628,,734167,"Arabic, ENG",Y,N,Y,N,N,Y,Y,Y,,NO,1/19/07,11/4/16,A,,HUSAM,BADR,864-233-9532,OWNER,HUSAM BADR,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1803 AUGUSTA ST STE F,,GREENVILLE,SC,296052980,864-233-9532,864-233-2075,34.827625,-82.39823,census
1275929218,DELTA OF ISLE OF PALMS LLC,1275929218,,715854,ENG,Y,N,N,N,Y,Y,Y,Y,https://delta-rx.com/,NO,4/7/15,11/25/15,A,,ANDRIA,WELCH,843-761-5255,MANAGER,DELTA OF ISLE OF PALMS LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1400 PALM BLVD,,ISLE OF PALMS,SC,294512280,843-885-8008,843-899-4970,32.788822,-79.78692,census
1275937104,WAL-MART STORES EAST LP,1275937104,,715586,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,10/21/14,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1225 CHERRY RD,,ROCK HILL,SC,297322507,803-324-1260,803-324-1275,34.95243,-81.01658,census
1285027391,RON GROUP,1285027391,,715688,ENG,Y,Y,N,N,N,Y,Y,Y,https://www.blueskydrugs.com/,NO,3/13/15,6/3/20,A,,CURT,NESBITT,843-276-1950,CEO,RON GROUP,,,,MR.,,6/3/20,,,,,,,,US,United States,LOCATION,DOM,570 LONG POINT RD STE 170,,MOUNT PLEASANT,SC,294647931,843-352-7662,843-352-7629,32.83916785,-79.86458501,Google Maps
1285162305,RICHBURG DISCOUNT PHARMACY LLC,1285162305,,717278,Hindi Gujarati,Y,Y,Y,N,Y,Y,Y,Y,https://www.facebook.com/richburgdiscountpharmacy,NO,6/2/17,10/22/18,A,PHARMACIST,HITESH,BHIMANI,803-500-2998,PHARMACIST IN CHARGE,RICHBURG DISCOUNT PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3191 LANCASTER HWY STE H,,RICHBURG,SC,29729,803-500-2998,803-619-2211,34.744724,-81.032234,census
1285181891,THE PHARMACY,1285181891,,716744,ENG,Y,N,N,Y,Y,Y,Y,Y,thepharmacyrx.com/,NO,9/1/16,9/28/16,A,RPH,JARROD,TIPPINS,843-496-8041,"OWNER, PIC, AO",THE PHARMACY,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2500 HOFFMEYER RD,,FLORENCE,SC,295017407,843-773-2821,843-773-2822,34.19834,-79.82035,census
1285649350,WALGREEN CO,1285649350,,715759,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/25/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2872 S HIGHWAY 17,,MURRELLS INLET,SC,295767621,843-357-3985,,33.58874437,-79.0126711,Google Maps
1285649368,WALGREEN CO,1285649368,,715801,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/26/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2700 WADE HAMPTON BLVD,,GREENVILLE,SC,296151152,864-268-7123,,34.897636,-82.33975,census
1285649376,WALGREEN CO,1285649376,,715799,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/5/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,6057 WHITE HORSE RD,,GREENVILLE,SC,296113842,864-295-0243,,34.850163,-82.4493,census
1285651448,WAL-MART STORES EAST LP,1285651448,,733106,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,5420 FOREST DR,,COLUMBIA,SC,292065401,803-782-8428,,34.023045,-80.954735,census
1285674622,PUBLIX SUPER MARKETS INC,1285674622,,769760,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/7/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1611 E GREENVILLE ST,,ANDERSON,SC,296212006,864-231-5246,864-231-5251,34.52936,-82.63473,census
1285731786,SOUTH CAROLINA CVS PHARMACY LLC,1285731786,,71150D,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/20/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3700 TWO NOTCH RD,,COLUMBIA,SC,292042872,803-254-6871,,34.04068,-80.99742,census
1285746602,"TRIANGLE PHARMACY AND HOME MEDICAL EQUIPMENT, INC.",1285746602,,710709,ENG,Y,N,Y,N,N,Y,Y,Y,https://trianglepharmacysc.com,NO,8/31/06,1/9/12,A,,WILLIAMS,STROUD,803-794-4840,PHARMACY MANAGER,"TRIANGLE PHARMACY AND HOME MEDICAL EQUIPMENT, INC.",,,JENNINGS,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1239 D AVE,,WEST COLUMBIA,SC,291696307,803-794-4840,803-791-7776,33.984257,-81.07225,census
1285826974,INGLES MARKETS INC,1285826974,,795564,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info,NO,8/16/07,8/14/19,A,RPH,STEPHEN,CUCCHI,828-669-2941,VP OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4396 HIGHWAY 24,,ANDERSON,SC,296265212,864-226-2398,864-226-7598,34.508366,-82.74508,census
1285912170,"COLONIAL FAMILY PRACTICE, LLC",1285912170,,713551,ENG,Y,N,Y,N,Y,Y,Y,Y,www.colonialhealthcare.com/ServicesSpecialties/Pharmacy,NO,7/27/11,3/15/21,A,,STEPHANIE,DISHER,803-773-5227,CREDENTIALING MANAGER,"COLONIAL FAMILY PRACTICE, LLC",,,,,,3/15/21,,,,,,,,US,United States,LOCATION,DOM,325 BROAD ST,SUITE 100,SUMTER,SC,291504167,803-773-5227,803-774-5400,33.934315,-80.35517,census
1295038438,CORAM ALTERNATE SITE SERVICES INC,1295038438,,715275,ENG,Y,Y,Y,N/A,N/A,N,Y,Y,https://www.corAhc.com,YES,12/9/10,8/19/19,A,,WILLIAM,BOLGAR,720-895-3211,PRESIDENT/TREASURER,CORAM ALTERNATE SITE SERVICES INC,<UNAVAIL>,CORAM ALTERNATE SITE SERVICES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,5955 CORE AVE STE 512,,NORTH CHARLESTON,SC,294066085,843-744-4183,843-743-2902,32.901787,-80.02644,census
1295258358,WALGREEN CO,1295258358,,71767D,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,7/20/17,4/29/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1233 WILSON RD,,NEWBERRY,SC,291084000,803-597-3202,803-597-3202,34.283287,-81.59654,census
1295289742,WATERWAY PHARMACY LLC,1295289742,,716793,ENG,Y,Y,Y,N,N,Y,Y,Y,www.waterwaypharmacy.com,NO,8/12/16,9/20/17,A,MS PHARMACOLOGY,MOHIT,PAWAR,843-734-0612,PHARMACIST,WATERWAY PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3373 HIGHWAY 9 E,,LITTLE RIVER,SC,295667826,843-734-0612,843-734-0793,33.87512135,-78.6736182,Google Maps
1295359818,SCOTLAND MEMORIAL HOSPITAL INC,1295359818,,7Z1105,ENG,Y,Y,Y,N,N,Y,Y,Y,,NO,5/29/20,5/29/20,A,,MATTHEW,PRACHT,910-291-7000,CFO,SCOTLAND MEMORIAL HOSPITAL INC,,,D.,,,5/29/20,,,,,,,,US,United States,LOCATION,DOM,957 CHERAW ST,,BENNETTSVILLE,SC,295122420,843-456-7735,843-456-7739,34.631104,-79.69584,census
1295740140,INGLES MARKETS INC,1295740140,,757157,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info,NO,7/29/06,8/14/19,A,RPH,STEPHEN,CUCCHI,828-669-2941,VP OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1500 POINSETT HWY,,GREENVILLE,SC,296092929,864-235-7183,864-235-7534,34.8886782,-82.40385291,Google Maps
1295752459,WAL-MART STORES EAST LP,1295752459,,724771,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,508 BYPASS 72 NW,,GREENWOOD,SC,296491300,864-229-6722,,34.21013985,-82.19286283,Google Maps
1295838050,SOUTH CAROLINA CVS PHARMACY LLC,1295838050,,741345,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,100 OUTLET POINTE BLVD,,COLUMBIA,SC,292105669,803-772-0403,,34.032715,-81.12437,census
1295838068,SOUTH CAROLINA CVS PHARMACY LLC,1295838068,,742475,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,7647 HIGHWAY 76,,PENDLETON,SC,296709162,864-646-7553,864-646-6184,34.633045,-82.783394,census
1295840148,MEDICAL UNIVERSITY OF SC,1295840148,,708630,ENG,Y,N,N,N,N,Y,Y,Y,www.muschealth.org/primary-care/locations/ufm-ellis-oak.html,NO,8/20/06,4/6/21,A,MD,PATRICK,CAWLEY,843-792-4000,CEO/HOSPITAL ADMINISTRATION,MEDICAL UNIVERSITY OF SC,,,,,,4/6/21,,,,,,,,US,United States,LOCATION,DOM,650 ELLIS OAK DR RM 119,,CHARLESTON,SC,294123089,843-876-2969,843-876-2967,32.746605,-79.96937,census
1306002167,PUBLIX SUPER MARKETS INC,1306002167,,710090,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,7/31/08,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,101 BUCKWATER PLACE BLVD,,BLUFFTON,SC,29910,843-815-6435,843-815-6447,32.271492,-80.916336,census
1306004478,WALGREEN CO,1306004478,,715772,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,5/27/08,1/12/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1532 LAKE MURRAY BLVD,,COLUMBIA,SC,292128622,803-732-1975,,34.083397,-81.19005,census
1306149950,PUBLIX SUPER MARKETS INC,1306149950,,711280,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,12/20/10,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,847 HIGHWAY 378,,LEXINGTON,SC,290728316,803-996-6171,803-996-6180,33.99273992,-81.3067589,Google Maps
